t_ms,B_MB
0,5000
100,5000
200,5000
300,5000
400,5000
500,5000
600,5000
700,5000
800,5000
900,5000
1000,5000
1100,5000
1200,5000
1300,5000
1400,5000
1500,5000
1600,5000
1700,5000
1800,5000
1900,5000
2000,5000
2100,5000
2200,5000
2300,5000
2400,5000
2500,5000
2600,5000
2700,5000
2800,5000
2900,5000
3000,2000
3100,2000
3200,2000
3300,2000
3400,2000
3500,2000
3600,2000
3700,2000
3800,2000
3900,2000
4000,2000
4100,2000
4200,2000
4300,2000
4400,2000
4500,2000
4600,2000
4700,2000
4800,2000
4900,2000
5000,2000
5100,2000
5200,2000
5300,2000
5400,2000
5500,2000
5600,2000
5700,2000
5800,2000
5900,2000
6000,2000
6100,2000
6200,2000
6300,2000
6400,2000
6500,2000
6600,2000
6700,2000
6800,2000
6900,2000
7000,2000
7100,2000
7200,2000
7300,2000
7400,2000
7500,2000
7600,2000
7700,2000
7800,2000
7900,2000
8000,3500
8100,3500
8200,3500
8300,3500
8400,3500
8500,3500
8600,3500
8700,3500
8800,3500
8900,3500
9000,3500
9100,3500
9200,3500
9300,3500
9400,3500
9500,3500
9600,3500
9700,3500
9800,3500
9900,3500
10000,3500
10100,3500
10200,3500
10300,3500
10400,3500
10500,3500
10600,3500
10700,3500
10800,3500
10900,3500
11000,3500
11100,3500
11200,3500
11300,3500
11400,3500
11500,3500
11600,3500
11700,3500
11800,3500
11900,3500
12000,3500
12100,3500
12200,3500
12300,3500
12400,3500
12500,3500
12600,3500
12700,3500
12800,3500
12900,3500
13000,3500
13100,3500
13200,3500
13300,3500
13400,3500
13500,3500
13600,3500
13700,3500
13800,3500
13900,3500
14000,3500
14100,3500
14200,3500
14300,3500
14400,3500
14500,3500
14600,3500
14700,3500
14800,3500
14900,3500
15000,5000
15100,5000
15200,5000
15300,5000
15400,5000
15500,5000
15600,5000
15700,5000
15800,5000
15900,5000
16000,5000
16100,5000
16200,5000
16300,5000
16400,5000
16500,5000
16600,5000
16700,5000
16800,5000
16900,5000
17000,5000
17100,5000
17200,5000
17300,5000
17400,5000
17500,5000
17600,5000
17700,5000
17800,5000
17900,5000
18000,5000
18100,5000
18200,5000
18300,5000
18400,5000
18500,5000
18600,5000
18700,5000
18800,5000
18900,5000
19000,5000
19100,5000
19200,5000
19300,5000
19400,5000
19500,5000
19600,5000
19700,5000
19800,5000
19900,5000
20000,5000
20100,5000
20200,5000
20300,5000
20400,5000
20500,5000
20600,5000
20700,5000
20800,5000
20900,5000
21000,5000
21100,5000
21200,5000
21300,5000
21400,5000
21500,5000
21600,5000
21700,5000
21800,5000
21900,5000
22000,5000
22100,5000
22200,5000
22300,5000
22400,5000
22500,5000
22600,5000
22700,5000
22800,5000
22900,5000
23000,5000
23100,5000
23200,5000
23300,5000
23400,5000
23500,5000
23600,5000
23700,5000
23800,5000
23900,5000
24000,5000
24100,5000
24200,5000
24300,5000
24400,5000
24500,5000
24600,5000
24700,5000
24800,5000
24900,5000
25000,2500
25100,2500
25200,2500
25300,2500
25400,2500
25500,2500
25600,2500
25700,2500
25800,2500
25900,2500
26000,2500
26100,2500
26200,2500
26300,2500
26400,2500
26500,2500
26600,2500
26700,2500
26800,2500
26900,2500
27000,2500
27100,2500
27200,2500
27300,2500
27400,2500
27500,2500
27600,2500
27700,2500
27800,2500
27900,2500
28000,2500
28100,2500
28200,2500
28300,2500
28400,2500
28500,2500
28600,2500
28700,2500
28800,2500
28900,2500
29000,2500
29100,2500
29200,2500
29300,2500
29400,2500
29500,2500
29600,2500
29700,2500
29800,2500
29900,2500
30000,2500
30100,2500
30200,2500
30300,2500
30400,2500
30500,2500
30600,2500
30700,2500
30800,2500
30900,2500
31000,2500
31100,2500
31200,2500
31300,2500
31400,2500
31500,2500
31600,2500
31700,2500
31800,2500
31900,2500
32000,2500
32100,2500
32200,2500
32300,2500
32400,2500
32500,2500
32600,2500
32700,2500
32800,2500
32900,2500
33000,2500
33100,2500
33200,2500
33300,2500
33400,2500
33500,2500
33600,2500
33700,2500
33800,2500
33900,2500
34000,2500
34100,2500
34200,2500
34300,2500
34400,2500
34500,2500
34600,2500
34700,2500
34800,2500
34900,2500
35000,2500
35100,2500
35200,2500
35300,2500
35400,2500
35500,2500
35600,2500
35700,2500
35800,2500
35900,2500
36000,2500
36100,2500
36200,2500
36300,2500
36400,2500
36500,2500
36600,2500
36700,2500
36800,2500
36900,2500
37000,2500
37100,2500
37200,2500
37300,2500
37400,2500
37500,2500
37600,2500
37700,2500
37800,2500
37900,2500
38000,2500
38100,2500
38200,2500
38300,2500
38400,2500
38500,2500
38600,2500
38700,2500
38800,2500
38900,2500
39000,2500
39100,2500
39200,2500
39300,2500
39400,2500
39500,2500
39600,2500
39700,2500
39800,2500
39900,2500
40000,5000
40100,5000
40200,5000
40300,5000
40400,5000
40500,5000
40600,5000
40700,5000
40800,5000
40900,5000
41000,5000
41100,5000
41200,5000
41300,5000
41400,5000
41500,5000
41600,5000
41700,5000
41800,5000
41900,5000
42000,5000
42100,5000
42200,5000
42300,5000
42400,5000
42500,5000
42600,5000
42700,5000
42800,5000
42900,5000
43000,5000
43100,5000
43200,5000
43300,5000
43400,5000
43500,5000
43600,5000
43700,5000
43800,5000
43900,5000
44000,5000
44100,5000
44200,5000
44300,5000
44400,5000
44500,5000
44600,5000
44700,5000
44800,5000
44900,5000
45000,5000
45100,5000
45200,5000
45300,5000
45400,5000
45500,5000
45600,5000
45700,5000
45800,5000
45900,5000
46000,5000
46100,5000
46200,5000
46300,5000
46400,5000
46500,5000
46600,5000
46700,5000
46800,5000
46900,5000
47000,5000
47100,5000
47200,5000
47300,5000
47400,5000
47500,5000
47600,5000
47700,5000
47800,5000
47900,5000
48000,5000
48100,5000
48200,5000
48300,5000
48400,5000
48500,5000
48600,5000
48700,5000
48800,5000
48900,5000
49000,5000
49100,5000
49200,5000
49300,5000
49400,5000
49500,5000
49600,5000
49700,5000
49800,5000
49900,5000
50000,5000
50100,5000
50200,5000
50300,5000
50400,5000
50500,5000
50600,5000
50700,5000
50800,5000
50900,5000
51000,5000
51100,5000
51200,5000
51300,5000
51400,5000
51500,5000
51600,5000
51700,5000
51800,5000
51900,5000
52000,5000
52100,5000
52200,5000
52300,5000
52400,5000
52500,5000
52600,5000
52700,5000
52800,5000
52900,5000
53000,5000
53100,5000
53200,5000
53300,5000
53400,5000
53500,5000
53600,5000
53700,5000
53800,5000
53900,5000
54000,5000
54100,5000
54200,5000
54300,5000
54400,5000
54500,5000
54600,5000
54700,5000
54800,5000
54900,5000
55000,5000
55100,5000
55200,5000
55300,5000
55400,5000
55500,5000
55600,5000
55700,5000
55800,5000
55900,5000
56000,5000
56100,5000
56200,5000
56300,5000
56400,5000
56500,5000
56600,5000
56700,5000
56800,5000
56900,5000
57000,5000
57100,5000
57200,5000
57300,5000
57400,5000
57500,5000
57600,5000
57700,5000
57800,5000
57900,5000
58000,5000
58100,5000
58200,5000
58300,5000
58400,5000
58500,5000
58600,5000
58700,5000
58800,5000
58900,5000
59000,5000
59100,5000
59200,5000
59300,5000
59400,5000
59500,5000
59600,5000
59700,5000
59800,5000
59900,5000
60000,5000
