t_ms,B_MB
0,2000
100,2000
200,2000
300,2000
400,2000
500,2000
600,2000
700,2000
800,2000
900,2000
1000,2000
1100,2000
1200,2000
1300,2000
1400,2000
1500,2000
1600,2000
1700,2000
1800,2000
1900,2000
2000,2000
2100,2000
2200,2000
2300,2000
2400,2000
2500,2000
2600,2000
2700,2000
2800,2000
2900,2000
3000,2000
3100,2000
3200,2000
3300,2000
3400,2000
3500,2000
3600,2000
3700,2000
3800,2000
3900,2000
4000,2000
4100,2000
4200,2000
4300,2000
4400,2000
4500,2000
4600,2000
4700,2000
4800,2000
4900,2000
5000,2000
5100,2000
5200,2000
5300,2000
5400,2000
5500,2000
5600,2000
5700,2000
5800,2000
5900,2000
6000,2000
6100,2000
6200,2000
6300,2000
6400,2000
6500,2000
6600,2000
6700,2000
6800,2000
6900,2000
7000,2000
7100,2000
7200,2000
7300,2000
7400,2000
7500,2000
7600,2000
7700,2000
7800,2000
7900,2000
8000,2000
8100,2000
8200,2000
8300,2000
8400,2000
8500,2000
8600,2000
8700,2000
8800,2000
8900,2000
9000,2000
9100,2000
9200,2000
9300,2000
9400,2000
9500,2000
9600,2000
9700,2000
9800,2000
9900,2000
10000,2000
10100,2000
10200,2000
10300,2000
10400,2000
10500,2000
10600,2000
10700,2000
10800,2000
10900,2000
11000,2000
11100,2000
11200,2000
11300,2000
11400,2000
11500,2000
11600,2000
11700,2000
11800,2000
11900,2000
12000,2000
12100,2000
12200,2000
12300,2000
12400,2000
12500,2000
12600,2000
12700,2000
12800,2000
12900,2000
13000,2000
13100,2000
13200,2000
13300,2000
13400,2000
13500,2000
13600,2000
13700,2000
13800,2000
13900,2000
14000,2000
14100,2000
14200,2000
14300,2000
14400,2000
14500,2000
14600,2000
14700,2000
14800,2000
14900,2000
15000,2000
15100,2000
15200,2000
15300,2000
15400,2000
15500,2000
15600,2000
15700,2000
15800,2000
15900,2000
16000,2000
16100,2000
16200,2000
16300,2000
16400,2000
16500,2000
16600,2000
