time_sec,budget_mb
0.000,5080.8
0.000,5079.9
2.000,5077.3
2.000,5077.1
4.000,5075.8
4.000,5077.0
6.000,5080.4
6.000,5083.2
8.000,5083.7
8.000,5083.1
10.000,5086.5
10.000,5089.8
12.000,5089.7
12.000,4867.6
14.000,4868.0
14.000,4868.5
16.000,4867.9
16.000,4867.9
18.000,4864.0
18.000,4861.4
20.000,4861.4
20.000,4860.0
22.000,4858.2
22.000,4856.3
24.000,4855.7
24.000,4854.9
26.000,4858.7
26.000,4859.4
28.000,4856.2
28.000,4854.3
30.000,4853.4
30.000,4850.9
32.000,4850.1
32.000,4925.8
34.000,5031.9
34.000,5137.4
36.000,5473.9
36.000,5576.1
38.000,5668.6
38.000,5763.9
40.000,5850.1
40.000,5921.0
42.000,5985.6
42.000,6044.4
44.000,6093.0
44.000,6135.7
46.000,6171.4
46.000,6190.6
48.000,6197.7
48.000,6198.6
50.000,6191.9
50.000,6168.5
52.000,6137.1
52.000,6092.7
54.000,6037.5
54.000,5199.0
56.000,5128.5
56.000,5051.3
58.000,4965.7
58.000,4879.2
60.000,4780.9
60.000,4680.6
62.000,4577.2
62.000,4471.7
64.000,4364.5
64.000,4312.9
66.000,4313.0
66.000,4309.4
68.000,4311.4
68.000,4661.3
70.000,4664.8
70.000,4667.9
72.000,4669.2
72.000,4668.1
74.000,4669.0
74.000,4669.6
76.000,4669.0
76.000,4667.6
78.000,4665.4
78.000,4662.7
80.000,4661.9
80.000,4660.3
82.000,4656.1
82.000,4653.5
84.000,4654.9
84.000,4656.5
86.000,4657.4
86.000,4652.9
88.000,4655.9
88.000,4658.0
90.000,4661.2
90.000,4666.2
92.000,4667.9
92.000,4666.5
94.000,4664.2
94.000,4667.0
96.000,4041.8
96.000,4044.2
98.000,4042.2
98.000,4036.3
100.000,4033.6
100.000,4036.6
102.000,4037.4
102.000,4036.7
104.000,4037.8
104.000,4036.8
106.000,4038.4
106.000,4322.9
108.000,4323.1
108.000,4318.2
110.000,4317.5
110.000,4317.0
112.000,4318.7
112.000,4315.6
114.000,4313.5
114.000,4313.3
116.000,4315.5
116.000,4321.5
118.000,4321.8
118.000,4804.3
120.000,4800.9
120.000,4805.5
122.000,4809.4
122.000,3991.2
124.000,3992.8
124.000,3990.7
126.000,3990.7
126.000,3989.8
128.000,3991.8
128.000,3990.5
130.000,4376.3
130.000,4377.6
132.000,4377.5
132.000,4377.4
134.000,4380.1
134.000,4382.3
136.000,4379.4
136.000,4379.0
138.000,4383.1
138.000,4385.2
140.000,4384.2
140.000,4742.0
142.000,4740.2
142.000,4738.7
144.000,4741.9
144.000,4741.6
146.000,4738.5
146.000,4735.2
148.000,4732.2
148.000,4735.1
150.000,4736.0
150.000,4737.1
152.000,4733.0
152.000,4732.1
154.000,4734.2
154.000,4731.0
156.000,4731.8
156.000,4728.6
158.000,4726.2
158.000,4728.2
160.000,4732.2
160.000,4734.8
162.000,4735.1
162.000,4738.1
164.000,4740.0
164.000,4741.6
166.000,4743.8
166.000,4740.6
168.000,4740.1
168.000,4743.3
170.000,4743.1
170.000,4743.7
172.000,4742.5
172.000,4740.8
174.000,4742.1
174.000,4746.4
176.000,4746.2
176.000,4742.3
178.000,4742.1
178.000,4740.0
180.000,4740.9
180.000,4740.1
182.000,4739.1
182.000,4739.4
184.000,4743.9
184.000,4744.7
186.000,4745.0
186.000,4746.2
188.000,4742.5
188.000,3757.4
190.000,3759.0
190.000,3761.6
192.000,3755.9
192.000,3754.7
194.000,3752.1
194.000,4196.0
196.000,4200.7
196.000,4198.7
198.000,4197.0
198.000,4189.6
200.000,4190.6
200.000,4191.8
202.000,4193.8
202.000,4197.0
204.000,4198.2
204.000,4203.0
206.000,4200.9
206.000,4201.2
208.000,4202.7
208.000,4202.7
210.000,4202.0
210.000,4200.3
212.000,4197.2
212.000,4191.8
214.000,4193.9
214.000,4195.3
216.000,4477.2
216.000,4474.7
218.000,4473.1
218.000,4470.2
220.000,4467.6
220.000,4466.6
222.000,4467.1
222.000,4470.0
224.000,4470.4
224.000,4470.8
226.000,4472.5
226.000,4471.9
228.000,4472.5
228.000,4474.7
230.000,4475.6
230.000,4471.6
232.000,4469.4
232.000,4469.5
234.000,4262.3
234.000,4263.8
236.000,4265.2
236.000,4265.8
238.000,4263.7
238.000,4265.8
240.000,4269.7
240.000,4270.9
242.000,4271.5
242.000,4273.7
244.000,4276.8
244.000,4276.1
246.000,4280.1
246.000,4279.5
248.000,4276.7
248.000,4698.7
250.000,4697.1
250.000,4695.0
252.000,4695.9
252.000,4693.7
254.000,4690.3
254.000,4688.0
256.000,4691.0
256.000,4696.7
258.000,4790.6
258.000,4793.0
260.000,4790.2
260.000,4793.1
262.000,4793.5
262.000,4795.5
264.000,4792.8
264.000,4791.1
266.000,4790.4
266.000,4789.1
268.000,4789.2
268.000,4791.6
270.000,4795.0
270.000,4795.8
272.000,4795.6
272.000,4795.7
274.000,4796.5
274.000,4795.0
276.000,4793.0
276.000,4789.5
278.000,4782.0
278.000,4783.4
280.000,4787.2
280.000,4787.4
282.000,4786.2
282.000,4786.7
284.000,4787.9
284.000,4787.3
286.000,4792.0
286.000,5132.3
288.000,5126.4
288.000,5128.7
290.000,5130.7
290.000,4994.9
292.000,4995.4
292.000,4996.6
294.000,4995.0
294.000,4994.8
296.000,4996.4
296.000,4994.8
298.000,4995.1
298.000,4993.1
300.000,4994.0
300.000,4994.7
302.000,4996.7
302.000,4998.3
304.000,4999.6
304.000,5113.9
306.000,5116.7
306.000,5115.2
308.000,5115.8
308.000,5114.9
310.000,5543.6
310.000,5542.8
312.000,5544.5
312.000,5543.2
314.000,5542.0
314.000,5542.9
316.000,5538.5
316.000,5537.3
318.000,5534.2
318.000,5533.3
320.000,5533.6
320.000,5535.0
322.000,5532.4
322.000,5529.5
324.000,5530.5
324.000,5532.1
326.000,5534.2
326.000,5534.3
328.000,5528.8
328.000,5525.2
330.000,5528.9
330.000,5531.9
332.000,5531.0
332.000,5527.3
334.000,5529.6
334.000,5530.3
336.000,5532.6
336.000,5537.1
338.000,5535.4
338.000,5535.1
340.000,5540.9
340.000,5541.3
342.000,5539.5
342.000,5540.1
344.000,5538.8
344.000,5538.6
346.000,5539.4
346.000,5537.8
348.000,5533.3
348.000,5531.4
350.000,5529.3
