t_sec,mem_available_mb
0,4411.9
1,3767.7
2,3766.4
4,3767.2
4,4057.3
6,4058.5
6,4062.9
8,4067.4
8,4074.1
9,4071.1
10,3863.6
11,3861.0
12,3862.4
13,3864.3
14,3860.3
15,3853.9
16,3850.8
17,3849.0
18,3941.1
19,3940.3
20,3939.1
21,3934.1
22,3932.6
23,3934.7
24,3932.1
25,3936.6
26,3944.5
27,3947.6
28,3946.7
29,3945.8
30,3948.8
31,3949.8
32,3951.9
34,3949.7
34,3943.2
36,3942.1
36,3943.2
38,3944.0
38,3940.0
40,3935.7
40,3934.2
42,3933.6
42,3934.9
44,3937.4
44,3937.8
46,3944.4
46,3951.3
48,3955.6
48,3959.1
50,3960.2
50,3959.4
52,3953.9
52,3953.6
54,3949.7
54,3949.0
56,3949.0
56,3949.0
58,3949.5
58,3950.2
60,3950.0
60,3950.6
62,3951.1
62,3947.2
64,3949.4
64,3944.3
66,3943.9
66,3945.1
68,3949.8
68,3949.9
70,3949.5
70,3950.2
72,3946.5
72,3948.5
74,3948.0
74,3942.4
76,3943.8
76,3939.5
78,3938.7
78,3940.0
80,3944.5
80,3941.4
82,3938.4
82,3940.5
84,3940.5
84,3945.0
86,3946.0
86,3946.4
88,3941.0
88,3945.6
90,3949.5
90,3949.0
92,3947.8
92,3946.3
94,3942.5
94,3940.3
96,3944.6
96,3942.1
98,3940.7
98,3940.3
100,3940.2
100,3942.6
102,3952.3
102,3955.3
104,3951.8
104,3952.7
106,3953.2
106,3955.7
108,3958.2
108,3956.9
110,3950.6
110,3952.0
112,3959.1
112,3956.6
114,3953.6
114,3951.2
116,3948.7
116,3945.6
118,3944.0
118,3938.3
120,3936.9
120,3939.4
122,3937.7
122,3938.1
124,3938.3
124,3941.9
126,3939.2
126,3942.8
128,3940.2
128,3943.2
130,3947.2
130,3948.4
132,3948.8
132,3946.9
134,3951.6
134,3951.4
136,2925.7
136,2926.5
138,2927.1
138,2928.5
140,2928.4
140,2932.6
142,2935.9
142,2938.4
144,2936.4
144,2934.8
146,2932.6
146,2929.6
148,2926.0
148,2922.9
150,2918.2
150,2915.8
152,2913.8
152,2921.4
154,3035.5
154,3166.6
156,3295.2
156,3421.0
158,3541.1
158,3657.7
160,3772.8
160,3886.4
162,3983.5
162,4084.4
164,4172.9
164,4248.9
166,4322.2
166,4387.2
168,4438.1
168,4473.7
170,4488.0
170,4488.0
172,4488.0
172,4488.0
174,4488.0
174,4488.0
176,4465.2
176,4428.0
178,4373.0
178,4306.4
180,4228.2
180,4144.7
182,4050.9
182,3947.7
184,3837.7
184,4075.2
186,3962.5
186,3847.9
188,3726.9
188,3600.0
190,3472.4
190,3343.5
192,3278.0
192,3282.3
194,3282.4
194,3279.4
196,3278.2
196,3277.2
198,3276.9
198,3394.4
200,3389.6
200,3392.1
202,3388.4
202,3382.2
204,3383.6
204,3386.5
206,3382.8
206,3377.8
208,3380.1
208,3375.8
210,3379.6
210,3385.2
212,3381.4
212,3380.0
214,3382.9
214,3383.7
216,3382.8
216,3382.0
218,3379.4
218,3377.1
220,3381.8
220,3385.6
222,3385.5
222,3386.4
224,3386.5
224,3387.2
226,3387.3
226,3390.4
228,3390.1
228,3388.6
230,3386.9
230,3387.9
232,3387.2
232,3392.5
234,3398.7
234,3395.9
236,3392.7
236,3390.4
238,3393.3
238,3389.6
240,3391.2
240,3385.0
242,3378.6
242,3379.4
244,3383.4
244,3389.1
246,3390.1
246,3396.5
248,3396.1
248,3399.4
250,3402.5
250,3398.3
252,3392.8
252,3387.0
254,3380.6
254,3375.8
256,3377.4
256,3378.7
258,3381.5
258,3387.5
260,3391.2
260,3396.6
262,3401.3
262,3402.2
264,3399.4
264,3396.5
266,3392.5
266,3388.2
268,3387.2
268,3382.7
270,3381.7
270,3386.3
272,3391.6
272,3396.0
274,3396.6
274,3402.7
276,3404.8
276,3406.9
278,3407.5
278,3402.0
280,3399.5
280,3395.4
282,3393.8
282,3850.4
284,3595.1
284,3571.9
286,3572.2
286,3570.4
288,3566.8
288,3566.0
290,3563.2
290,3563.9
292,3562.1
292,3561.4
294,3559.0
294,3562.5
296,3567.0
296,3569.8
298,3578.2
298,3582.2
300,3582.4
300,3585.1
302,3590.5
302,3174.8
304,3174.0
304,3170.6
306,3162.6
306,3156.1
308,3158.3
308,3155.9
310,3152.1
310,3152.1
312,3646.2
312,3646.7
314,3648.4
314,3653.8
316,3654.2
316,3652.7
318,3653.1
318,3654.6
320,3654.8
320,3654.9
322,3658.9
322,3658.1
324,3655.3
324,3659.4
326,3658.9
326,3657.2
328,3655.9
328,3656.2
330,3651.4
330,3647.0
332,3650.0
332,3649.4
334,3649.4
334,3030.0
336,3036.1
336,3038.6
338,3043.8
338,3050.9
340,3047.2
340,3045.7
342,3045.5
342,3046.4
344,3044.8
344,3040.0
346,3039.1
346,3034.8
348,3031.2
348,3028.9
350,3030.5
350,3028.4
352,3028.1
352,3030.6
354,3027.8
354,3027.9
356,3031.9
356,3035.7
358,3033.7
358,3035.5
360,3036.6
360,3039.5
362,3038.4
362,3041.0
364,3040.8
364,3037.9
366,3036.6
366,3032.4
368,3027.5
368,3301.7
370,3302.4
370,2836.4
372,2837.0
372,2856.7
374,3002.8
374,3172.6
376,3337.4
376,3496.8
378,3650.6
378,3791.7
380,3925.3
380,4048.0
382,4157.0
382,4251.9
384,4331.4
384,4393.7
386,4439.7
386,4465.9
388,4470.8
388,4455.4
390,4428.6
390,4385.4
392,4326.8
392,4460.7
394,4363.7
394,3958.5
396,3999.0
396,3867.4
398,3717.6
398,3561.6
400,3398.7
400,3228.3
402,3055.0
402,2629.2
404,2616.0
404,2611.8
406,2612.3
406,2610.3
408,2608.8
408,2611.1
410,2617.5
410,2927.8
412,2617.9
412,2624.7
414,2626.3
414,2624.1
416,2627.4
416,2627.4
418,2626.0
418,2624.6
420,2622.7
420,2619.2
422,2623.5
422,2631.0
424,2631.1
424,2634.4
426,2635.2
426,2634.7
428,2638.4
428,2637.3
430,2639.4
430,2638.5
432,2634.6
432,2632.5
434,2631.0
434,2628.3
436,2625.7
436,2625.9
438,2621.3
438,2618.1
440,2619.1
440,2915.0
442,2916.1
442,2919.2
444,2919.2
444,2922.4
446,2922.3
446,2921.5
448,2924.6
448,2922.3
450,2919.3
450,2916.4
452,2915.3
452,2916.5
454,2919.1
454,2919.4
456,2919.2
456,2918.8
458,2922.8
458,2927.1
460,2927.8
460,2927.0
462,2921.4
462,2920.1
464,2920.2
464,2924.7
466,2920.7
466,2920.0
468,2920.7
468,2919.2
