t_sec,mem_available_mb
0,4411.9
1,3767.7
2,3766.4
4,3767.2
4,4057.3
6,4058.5
6,4062.9
8,4067.4
8,4074.1
9,4071.1
10,3863.6
11,3861.0
12,3862.4
13,3864.3
14,3860.3
15,3853.9
16,3850.8
17,3849.0
18,3941.1
19,3940.3
20,3939.1
21,3934.1
22,3932.6
23,3934.7
24,3932.1
25,3936.6
26,3944.5
27,3947.6
28,3946.7
29,3945.8
30,3948.8
31,3949.8
32,3951.9
34,3949.7
34,3943.2
36,3942.1
36,3943.2
38,3944.0
38,3940.0
40,3935.7
40,3934.2
42,3933.6
42,3934.9
44,3937.4
44,3937.8
46,3944.4
46,3951.3
48,3955.6
48,3959.1
50,3960.2
50,3959.4
52,3953.9
52,3953.6
54,3949.7
54,3949.0
56,3949.0
56,3949.0
58,3949.5
58,3950.2
60,3950.0
60,3950.6
62,3951.1
62,3947.2
64,3949.4
64,3944.3
66,3943.9
66,3945.1
68,3949.8
68,3949.9
70,3949.5
70,3950.2
72,3946.5
72,3948.5
74,3948.0
74,3942.4
76,3943.8
76,3939.5
78,3938.7
78,3940.0
80,3944.5
80,3941.4
82,3938.4
82,3940.5
84,3940.5
84,3945.0
86,3946.0
86,3946.4
88,3941.0
88,3945.6
90,3949.5
90,3949.0
92,3947.8
92,3946.3
94,3942.5
94,3940.3
96,3944.6
96,3942.1
98,3940.7
98,3940.3
100,3940.2
100,3942.6
102,3952.3
102,3955.3
104,3951.8
104,3952.7
106,3953.2
106,3955.7
108,3958.2
108,3956.9
110,3950.6
110,3952.0
112,3959.1
112,3956.6
114,3953.6
114,3951.2
116,3948.7
116,3945.6
118,3944.0
118,3938.3
120,3936.9
120,3939.4
122,3937.7
122,3938.1
124,3938.3
124,3941.9
126,3939.2
126,3942.8
128,3940.2
128,3943.2
130,3947.2
130,3948.4
132,3948.8
132,3946.9
134,3951.6
134,3951.4
136,2925.7
136,2926.5
138,2927.1
138,2928.5
140,2928.4
140,2932.6
142,2935.9
142,2938.4
144,2936.4
144,2934.8
146,2932.6
146,2929.6
148,2926.0
148,2922.9
150,2918.2
150,2915.8
152,2913.8
152,2921.4
154,3035.5
154,3166.6
156,3295.2
156,3421.0
158,3541.1
158,3657.7
160,3772.8
160,3886.4
162,3983.5
162,4084.4
164,4172.9
164,4248.9
166,4322.2
166,4387.2
168,4438.1
168,4473.7
170,4488.0
170,4488.0
172,4488.0
172,4488.0
174,4488.0
174,4488.0
176,4465.2
176,4428.0
178,4373.0
178,4306.4
180,4228.2
180,4144.7
