t_sec,mem_available_mb
0,6574.0
0,6570.3
2,6569.0
2,6570.4
4,6573.7
4,6574.1
6,6573.8
6,6573.4
8,6578.4
8,6583.9
10,6584.8
10,6583.8
12,6576.7
12,6575.0
14,6575.2
14,6580.8
16,6575.8
16,6574.9
18,6575.8
18,6573.8
20,6578.7
20,6582.1
22,6585.5
22,6582.7
24,6590.7
24,6593.2
26,6590.9
26,5431.6
28,5428.7
28,5423.6
30,5414.5
30,5408.6
32,5405.0
32,5593.9
34,5592.0
34,5599.4
36,5605.0
36,5606.2
38,5604.7
38,5610.2
40,5608.5
40,5604.4
42,6376.4
42,6370.0
44,6365.3
44,6884.6
46,6302.3
46,6306.1
48,6309.5
48,6312.8
50,6319.1
50,6326.2
52,6328.9
52,6331.6
54,6337.3
54,6332.6
56,6327.3
56,6331.4
58,6326.2
58,6323.7
60,6320.0
60,6319.1
62,6314.5
62,6312.3
64,6309.5
64,6303.7
66,6306.4
66,6308.9
68,6312.5
68,6313.2
70,6318.4
70,6320.0
72,6325.6
72,6325.6
74,6321.3
74,6319.9
76,6319.0
76,6328.9
78,6328.9
78,6328.6
80,6327.3
80,6331.8
82,6333.3
82,6325.2
84,6325.6
84,6320.8
86,6390.4
86,6386.3
88,6389.8
88,6387.2
90,6384.8
90,6392.8
92,6396.6
92,6392.2
94,6391.5
94,6397.4
96,6391.9
96,6389.2
98,6389.5
98,6384.4
100,6376.5
100,6377.1
102,6376.1
102,6371.2
104,6374.4
104,6381.0
106,6383.8
106,6385.8
108,6387.3
108,6380.5
110,6378.1
110,6383.2
112,6382.3
112,6379.2
114,6378.4
114,6384.4
116,6385.4
116,6390.6
118,6395.7
118,6396.5
120,6394.4
120,6393.7
122,6390.7
122,6389.4
124,6385.7
124,6391.5
126,6391.3
126,6389.2
128,6391.8
128,6393.2
130,6402.0
130,6399.4
132,6408.2
132,6407.9
134,6406.7
134,6348.0
136,6352.1
136,6350.6
138,6340.7
138,6337.0
140,6330.8
140,6807.3
142,6805.6
142,6805.0
144,6796.5
144,6792.9
146,6794.8
146,6794.7
148,6797.0
148,6792.8
150,6790.1
150,6788.6
152,6792.0
152,6794.4
154,6799.0
154,6801.5
156,6802.7
156,6806.7
158,6808.6
158,6807.5
160,6808.9
160,6811.7
162,6809.5
162,6805.9
164,6802.8
164,6797.9
166,6793.2
166,6792.9
168,6789.4
168,6791.4
170,6794.2
170,7256.5
172,7256.5
172,7257.5
174,7265.2
174,7270.7
176,7276.6
176,7262.4
178,7258.3
178,7256.5
180,7254.9
180,7252.6
182,7254.9
182,7322.3
184,7315.1
184,7317.6
186,7320.2
186,7321.7
188,7325.1
188,7328.7
190,7329.1
190,7325.0
192,7325.4
192,7324.5
194,7324.7
194,7323.5
196,7321.6
196,7317.0
198,7315.3
198,7309.7
200,7310.9
200,7311.1
202,7305.6
202,7308.1
204,7312.7
204,7314.5
206,7309.9
206,7315.3
208,7315.3
208,7318.8
210,7321.6
210,7318.3
212,7314.8
212,7319.3
214,7322.4
214,7323.9
216,7324.5
216,7324.8
218,7320.7
218,7323.9
220,7327.0
220,7321.6
222,7319.2
222,7317.6
224,7316.2
224,7316.1
226,7317.7
226,7309.0
228,7306.3
228,7308.1
230,7309.3
230,7311.1
232,7317.3
232,7315.1
234,7320.2
234,7323.3
236,7323.8
236,7324.8
238,7325.1
238,7326.0
240,7317.1
240,7318.5
242,7314.2
242,7314.9
244,7317.9
244,7321.3
246,7318.9
246,7316.2
248,7320.1
248,7320.5
250,7326.6
250,7324.5
252,7319.5
252,7319.3
254,7322.9
254,7323.5
256,7323.8
256,7323.2
258,7316.8
258,7318.6
260,7323.9
260,7320.5
262,7311.1
262,7310.3
264,7313.0
264,7307.7
266,7306.3
266,7308.1
268,7303.2
268,7305.3
270,7318.2
270,7319.3
272,7319.0
272,7321.6
274,7322.9
274,7324.7
276,7327.6
276,7326.0
278,7321.0
278,7321.1
280,7322.2
280,7323.9
282,7325.9
282,7324.5
284,7317.1
284,7320.7
286,7321.0
286,7321.0
288,7317.9
288,7316.2
290,7309.9
290,7313.1
292,7320.2
292,7320.8
294,7325.6
294,7325.3
296,7329.5
296,7335.0
298,7345.4
298,7340.9
300,7342.3
300,7344.3
302,7344.8
302,7344.5
304,7339.0
304,7334.9
306,7333.1
306,7334.7
308,7327.8
308,7318.8
310,7310.0
310,7310.3
312,7310.0
312,7310.0
314,7307.5
314,7303.5
316,7308.0
316,7305.7
318,7303.8
318,7305.7
320,7309.0
320,7305.4
322,7301.4
322,7304.3
324,7301.4
324,7305.9
326,7310.5
326,7305.3
328,7306.8
328,7314.8
330,7318.6
330,7319.0
332,7323.3
332,7322.7
334,7325.1
334,7330.9
336,7328.1
336,7328.5
338,7334.1
338,7334.9
340,7333.8
340,7333.8
342,7330.1
342,7316.8
344,7319.0
344,7317.6
346,7313.9
346,7313.3
348,7309.9
348,7306.2
350,7307.7
350,7321.0
352,7322.9
352,7320.5
354,7317.9
354,7316.5
356,7318.3
356,7325.9
358,7325.7
358,7319.3
360,7314.0
360,7313.6
362,7320.5
362,7321.9
364,7324.4
364,7317.7
366,7312.7
366,7315.1
368,7320.8
368,7315.3
370,7304.0
370,7302.6
372,7300.6
372,7304.0
374,7305.9
374,7304.6
376,7303.1
376,7304.3
378,7307.5
378,7312.7
380,7313.7
380,7234.3
382,7324.4
382,7842.5
384,7841.0
384,7844.3
386,7844.7
386,7836.8
388,7834.8
388,7838.2
390,7836.6
390,7835.6
392,7839.0
392,7841.8
394,7847.1
394,7855.8
396,7854.4
396,7855.5
398,7858.6
398,7858.9
400,7854.2
400,7851.3
402,7852.1
402,7846.7
404,7851.0
404,7846.4
406,7847.9
406,7851.4
408,7848.3
408,7860.9
410,7953.6
410,8058.2
412,8159.8
412,8268.2
414,8368.2
414,8461.6
416,8558.0
416,8558.0
418,8558.0
418,8558.0
420,8558.0
420,8558.0
422,8558.0
422,8558.0
424,8558.0
424,8558.0
426,8558.0
426,8558.0
428,8558.0
428,8558.0
430,8558.0
430,8558.0
432,8558.0
432,8558.0
434,8558.0
434,8558.0
436,8558.0
436,8532.6
438,8444.0
438,8344.7
440,8237.0
440,8126.4
442,8014.4
442,7904.4
444,7835.7
444,7839.9
446,7832.5
446,7832.3
448,7837.8
448,7839.6
450,7843.4
450,7844.3
452,7842.7
452,7844.4
454,7850.7
454,7847.4
456,7839.9
456,7838.4
