policy,gate_hits,gate_misses,estimated_runtime_misses,hit_rate_pct
lru,8156,3080,9240,72.58810964756141
lfu_decay_32,8156,3080,9240,72.58810964756141
lfu_decay_64,8224,3012,9036,73.1933072267711
lfu_decay_128,8352,2884,8652,74.33250266998932
lfu_decay_256,8348,2888,8664,74.29690281238875
lfu_decay_512,8384,2852,8556,74.61730153079388
lfu_decay_1024,8384,2852,8556,74.61730153079388
lfu_no_decay,8384,2852,8556,74.61730153079388
two_q_probation_2,1678,9558,28674,14.934140263438946
two_q_probation_4,5417,5819,17457,48.211107155571376
two_q_probation_8,7342,3894,11682,65.3435386258455
two_q_probation_12,7883,3353,10059,70.15841936632253
two_q_probation_16,8142,3094,9282,72.46351014595942
belady_runtime_resize_lower_bound,9196,2040,6120,81.84407262370951
