seq,graph_id,weight,budget_mib,capacity,expert_ids
0,1,blk.23.ffn_gate_exps.weight,7645,44,38;59;58;40
1,36,blk.0.ffn_gate_exps.weight,8453,48,18;5;9;31
2,84,blk.1.ffn_gate_exps.weight,8330,48,56;3;30;51
3,131,blk.2.ffn_gate_exps.weight,8161,48,57;52;14;44
4,177,blk.3.ffn_gate_exps.weight,8039,44,40;19;26;43
5,223,blk.4.ffn_gate_exps.weight,7876,44,4;35;36;17
6,269,blk.5.ffn_gate_exps.weight,7753,44,32;3;10;16
7,315,blk.6.ffn_gate_exps.weight,7647,44,4;40;23;21
8,361,blk.7.ffn_gate_exps.weight,7647,44,13;49;26;32
9,407,blk.8.ffn_gate_exps.weight,7646,44,37;49;21;44
10,453,blk.9.ffn_gate_exps.weight,7646,44,33;42;31;45
11,499,blk.10.ffn_gate_exps.weight,7646,44,53;20;25;28
12,545,blk.11.ffn_gate_exps.weight,7646,44,16;56;43;9
13,591,blk.12.ffn_gate_exps.weight,7645,44,5;21;9;33
14,637,blk.13.ffn_gate_exps.weight,7645,44,38;39;36;44
15,683,blk.14.ffn_gate_exps.weight,7645,44,33;5;45;36
16,730,blk.15.ffn_gate_exps.weight,7645,44,29;49;25;59
17,776,blk.16.ffn_gate_exps.weight,7645,44,23;57;10;40
18,822,blk.17.ffn_gate_exps.weight,7645,44,1;22;10;0
19,868,blk.18.ffn_gate_exps.weight,7645,44,38;23;17;9
20,914,blk.19.ffn_gate_exps.weight,7646,44,8;42;53;17
21,960,blk.20.ffn_gate_exps.weight,7646,44,20;53;59;58
22,1006,blk.21.ffn_gate_exps.weight,7646,44,14;21;53;40
23,1052,blk.22.ffn_gate_exps.weight,7646,44,26;37;14;47
24,1100,blk.23.ffn_gate_exps.weight,7646,44,20;16;37;35
25,1151,blk.0.ffn_gate_exps.weight,7646,44,10;15;37;54
26,1199,blk.1.ffn_gate_exps.weight,7646,44,47;14;54;41
27,1246,blk.2.ffn_gate_exps.weight,8013,44,58;26;34;24
28,1292,blk.3.ffn_gate_exps.weight,8013,44,4;54;48;59
29,1338,blk.4.ffn_gate_exps.weight,8013,44,42;22;39;9
30,1384,blk.5.ffn_gate_exps.weight,8013,44,37;5;57;4
31,1430,blk.6.ffn_gate_exps.weight,8013,44,18;10;44;16
