t_sec,mem_available_mb
0,7861.0
0,7864.1
2,7862.1
2,7862.5
4,7862.8
4,7867.4
6,7864.0
6,7868.4
8,7865.2
8,7869.0
10,7874.0
10,7875.5
12,7876.1
12,7873.6
14,7879.7
14,7879.4
16,6582.1
16,6583.2
18,6583.9
18,6585.7
20,6585.5
20,6590.9
22,6595.0
22,6598.1
24,6595.6
24,6593.7
26,6590.9
26,6587.0
28,6582.4
28,6578.6
30,6572.7
30,6569.6
32,6567.0
32,6576.7
34,6721.0
34,6886.8
36,7049.4
36,7208.6
38,7360.5
38,7507.9
40,7653.5
40,7797.1
42,7919.9
42,8047.5
44,8159.5
44,8255.7
46,8348.3
46,8430.5
48,8494.8
48,8540.0
50,8558.0
50,8558.0
52,8558.0
52,8558.0
54,8558.0
54,8558.0
56,8529.2
56,8482.1
58,8412.6
58,8328.3
60,8229.5
60,8123.9
