t_sec,mem_available_mb
0,6574.0
0,6570.3
2,6569.0
2,6570.4
4,6573.7
4,6574.1
6,6573.8
6,6573.4
8,6578.4
8,6583.9
10,6584.8
10,6583.8
12,6576.7
12,6575.0
14,6575.2
14,6580.8
16,6575.8
16,6574.9
18,6575.8
18,6573.8
20,6578.7
20,6582.1
22,6585.5
22,6582.7
24,6590.7
24,6593.2
26,6590.9
26,5431.6
28,5428.7
28,5423.6
30,5414.5
30,5408.6
32,5405.0
32,5593.9
34,5592.0
34,5599.4
36,5605.0
36,5606.2
38,5604.7
38,5610.2
40,5608.5
40,5604.4
42,6376.4
42,6370.0
44,6365.3
44,6884.6
46,6302.3
46,6306.1
48,6309.5
48,6312.8
50,6319.1
50,6326.2
52,6328.9
52,6331.6
54,6337.3
54,6332.6
56,6327.3
56,6331.4
58,6326.2
58,6323.7
60,6320.0
60,6319.1
62,6314.5
62,6312.3
64,6309.5
64,6303.7
66,6306.4
66,6308.9
68,6312.5
68,6313.2
70,6318.4
70,6320.0
72,6325.6
72,6325.6
74,6321.3
74,6319.9
76,6319.0
76,6328.9
78,6328.9
78,6328.6
80,6327.3
80,6331.8
82,6333.3
82,6325.2
84,6325.6
84,6320.8
86,6390.4
86,6386.3
88,6389.8
88,6387.2
90,6384.8
90,6392.8
