t_sec,mem_available_mb
0,6574.0
0,6570.3
2,6569.0
2,6570.4
4,6573.7
4,6574.1
6,6573.8
6,6573.4
8,6578.4
8,6583.9
10,6584.8
10,6583.8
12,6576.7
12,6575.0
14,6575.2
14,6580.8
16,6575.8
16,6574.9
18,6575.8
18,6573.8
20,6578.7
20,6582.1
22,6585.5
22,6582.7
24,6590.7
24,6593.2
26,6590.9
26,5431.6
28,5428.7
28,5423.6
30,5414.5
30,5408.6
32,5405.0
32,5593.9
34,5592.0
34,5599.4
36,5605.0
36,5606.2
38,5604.7
38,5610.2
40,5608.5
40,5604.4
42,6376.4
42,6370.0
44,6365.3
44,6884.6
46,6302.3
46,6306.1
48,6309.5
48,6312.8
50,6319.1
50,6326.2
52,6328.9
52,6331.6
54,6337.3
54,6332.6
56,6327.3
56,6331.4
58,6326.2
58,6323.7
60,6320.0
60,6319.1
62,6314.5
62,6312.3
64,6309.5
64,6303.7
66,6306.4
66,6308.9
68,6312.5
68,6313.2
70,6318.4
70,6320.0
72,6325.6
72,6325.6
74,6321.3
74,6319.9
76,6319.0
76,6328.9
78,6328.9
78,6328.6
80,6327.3
80,6331.8
82,6333.3
82,6325.2
84,6325.6
84,6320.8
86,6390.4
86,6386.3
88,6389.8
88,6387.2
90,6384.8
90,6392.8
92,6396.6
92,6392.2
94,6391.5
94,6397.4
96,6391.9
96,6389.2
98,6389.5
98,6384.4
100,6376.5
100,6377.1
102,6376.1
102,6371.2
104,6374.4
104,6381.0
106,6383.8
106,6385.8
108,6387.3
108,6380.5
110,6378.1
110,6383.2
112,6382.3
112,6379.2
114,6378.4
114,6384.4
116,6385.4
116,6390.6
118,6395.7
118,6396.5
120,6394.4
120,6393.7
122,6390.7
122,6389.4
124,6385.7
124,6391.5
126,6391.3
126,6389.2
128,6391.8
128,6393.2
130,6402.0
130,6399.4
132,6408.2
132,6407.9
134,6406.7
134,6348.0
136,6352.1
136,6350.6
138,6340.7
138,6337.0
140,6330.8
140,6807.3
142,6805.6
142,6805.0
144,6796.5
144,6792.9
146,6794.8
146,6794.7
148,6797.0
148,6792.8
150,6790.1
150,6788.6
