t_sec,mem_available_mb
0,7970.4
1,6806.3
2,6804.0
4,6805.5
4,7329.6
6,7331.9
6,7339.8
8,7348.0
8,7360.1
9,7354.6
10,6979.6
11,6975.0
12,6977.5
13,6980.9
14,6973.7
15,6962.1
16,6956.6
17,6953.2
18,7119.8
19,7118.3
20,7116.2
21,7107.1
22,7104.3
23,7108.1
24,7103.5
25,7111.5
26,7125.9
27,7131.4
28,7129.9
29,7128.2
30,7133.7
31,7135.4
32,7139.2
34,7135.2
34,7123.6
36,7121.4
36,7123.6
38,7125.0
38,7117.6
40,7110.0
40,7107.3
42,7106.2
42,7108.6
44,7113.0
44,7113.8
46,7125.7
46,7138.1
48,7146.0
48,7152.3
50,7154.2
50,7152.7
52,7142.8
52,7142.4
54,7135.2
54,7133.9
56,7133.9
56,7133.9
58,7135.0
58,7136.2
60,7135.8
60,7136.9
62,7137.7
62,7130.7
64,7134.8
64,7125.5
66,7124.8
66,7126.9
68,7135.4
68,7135.6
70,7135.0
70,7136.2
72,7129.5
72,7133.1
74,7132.2
74,7122.1
76,7124.6
76,7116.8
78,7115.3
78,7117.6
80,7125.9
80,7120.2
82,7114.9
82,7118.7
84,7118.7
84,7126.7
86,7128.6
86,7129.3
88,7119.5
88,7127.8
90,7135.0
90,7133.9
92,7131.8
92,7129.1
94,7122.3
94,7118.3
96,7126.1
96,7121.4
98,7118.9
98,7118.3
100,7118.1
100,7122.5
102,7140.0
102,7145.3
104,7139.0
104,7140.7
106,7141.5
106,7146.2
108,7150.6
108,7148.3
110,7136.9
110,7139.4
112,7152.3
112,7147.7
114,7142.4
114,7137.9
116,7133.5
116,7127.8
118,7125.0
118,7114.7
120,7112.1
120,7116.6
122,7113.6
122,7114.3
124,7114.7
124,7121.2
126,7116.4
126,7122.7
128,7118.1
128,7123.6
130,7130.7
130,7132.9
132,7133.7
132,7130.1
134,7138.8
134,7138.4
136,5284.9
136,5286.4
138,5287.4
138,5289.9
140,5289.7
140,5297.3
142,5303.3
142,5307.7
144,5304.1
144,5301.4
146,5297.3
146,5291.8
148,5285.3
148,5279.8
150,5271.3
150,5266.9
152,5263.3
152,5277.1
154,5483.3
154,5720.2
156,5952.5
156,6179.9
158,6397.0
158,6607.7
160,6815.6
160,7020.8
162,7196.3
162,7378.7
164,7538.6
164,7676.0
166,7808.3
166,7925.8
168,8017.8
168,8082.2
170,8108.0
170,8108.0
172,8108.0
172,8108.0
174,8108.0
174,8108.0
176,8066.8
176,7999.6
178,7900.2
178,7779.8
180,7638.6
180,7487.7
182,7318.2
182,7131.6
184,6932.9
184,7362.0
186,7158.4
186,6951.3
188,6732.6
188,6503.3
190,6272.7
190,6039.8
192,5921.4
192,5929.3
194,5929.5
194,5924.0
196,5921.9
196,5920.0
198,5919.5
198,6131.7
200,6123.1
200,6127.7
202,6120.9
202,6109.7
204,6112.3
204,6117.6
206,6110.8
206,6101.7
208,6105.9
208,6098.1
210,6105.1
210,6115.2
212,6108.3
212,6105.7
214,6111.0
214,6112.5
216,6110.8
216,6109.3
218,6104.7
218,6100.4
220,6109.1
220,6115.9
222,6115.7
222,6117.4
224,6117.6
224,6118.8
226,6119.0
226,6124.5
228,6124.1
228,6121.4
230,6118.2
230,6120.1
232,6118.8
232,6128.3
234,6139.5
234,6134.5
236,6128.8
236,6124.5
238,6129.8
238,6123.1
240,6126.0
240,6114.8
242,6103.2
242,6104.7
244,6111.9
244,6122.2
246,6124.1
246,6135.5
248,6134.9
248,6140.8
250,6146.5
250,6138.9
252,6129.0
252,6118.4
254,6106.8
254,6098.1
256,6101.1
256,6103.4
258,6108.5
258,6119.3
260,6126.0
260,6135.7
262,6144.2
262,6145.9
264,6140.8
264,6135.5
266,6128.3
266,6120.5
268,6118.8
268,6110.6
270,6108.9
270,6117.1
272,6126.7
272,6134.7
274,6135.7
274,6146.7
276,6150.5
276,6154.3
278,6155.4
278,6145.5
280,6141.0
280,6133.6
282,6130.7
282,6955.8
284,6494.4
284,6452.5
286,6453.2
286,6449.8
288,6443.2
288,6442.0
290,6436.9
290,6438.2
292,6434.8
292,6433.5
294,6429.3
294,6435.6
296,6443.7
296,6448.7
298,6464.0
298,6471.1
300,6471.6
300,6476.4
302,6486.1
302,5735.0
304,5733.6
304,5727.4
306,5712.8
306,5701.2
308,5705.2
308,5700.8
310,5694.0
310,5694.0
312,6586.7
312,6587.8
314,6590.8
314,6600.5
316,6601.3
316,6598.6
318,6599.2
318,6602.0
320,6602.4
320,6602.6
322,6609.8
322,6608.3
324,6603.2
324,6610.6
326,6609.8
326,6606.6
328,6604.3
328,6604.9
330,6596.3
330,6588.2
332,6593.7
332,6592.7
334,6592.7
334,5473.4
336,5484.4
336,5488.8
338,5498.3
338,5511.0
340,5504.5
340,5501.7
342,5501.3
342,5503.0
344,5500.0
344,5491.4
346,5489.7
346,5482.1
348,5475.5
348,5471.3
350,5474.2
350,5470.4
352,5469.8
352,5474.4
354,5469.4
354,5469.6
356,5476.8
356,5483.5
358,5479.9
358,5483.3
360,5485.2
360,5490.5
362,5488.4
362,5493.3
364,5492.8
364,5487.6
366,5485.2
366,5477.6
368,5468.7
368,5964.3
370,5965.6
370,5123.4
372,5124.5
372,5160.2
374,5424.1
374,5731.0
376,6028.8
376,6316.9
378,6594.8
378,6849.7
380,7091.2
380,7312.9
382,7509.9
382,7681.3
384,7825.0
384,7937.7
386,8020.7
386,8068.1
388,8076.9
388,8049.0
390,8000.6
390,7922.7
392,7816.8
392,8058.8
394,7883.3
394,7151.2
396,7224.4
396,6986.6
398,6715.9
398,6433.9
400,6139.5
400,5831.6
402,5518.4
402,4749.1
404,4725.2
404,4717.6
406,4718.5
406,4714.9
408,4712.1
408,4716.4
410,4728.0
410,5288.7
412,4728.6
412,4740.9
414,4743.8
414,4739.8
416,4745.7
416,4745.7
418,4743.2
418,4740.7
420,4737.3
420,4730.9
422,4738.8
422,4752.3
424,4752.5
424,4758.4
426,4759.9
426,4759.0
428,4765.6
428,4763.7
430,4767.5
430,4765.8
432,4758.8
432,4755.0
434,4752.3
434,4747.4
436,4742.8
436,4743.0
438,4734.7
438,4729.0
440,4730.7
440,5265.4
442,5267.5
442,5273.0
444,5273.0
444,5279.0
446,5278.7
446,5277.3
448,5282.8
448,5278.7
450,5273.2
450,5268.0
452,5266.1
452,5268.2
454,5272.8
454,5273.5
456,5273.0
456,5272.4
458,5279.6
458,5287.4
460,5288.7
460,5287.2
462,5277.1
462,5274.7
464,5274.9
464,5283.0
466,5275.8
466,5274.5
468,5275.8
468,5273.0
470,5280.0
470,5284.9
472,5289.7
472,5285.7
474,5297.1
474,5300.7
476,5297.3
476,3641.0
478,3636.8
478,3629.6
480,3616.5
480,3608.1
482,3603.0
482,3872.9
484,3870.1
484,3880.7
486,3888.7
486,3890.4
488,3888.3
488,3896.1
490,3893.8
490,3887.9
492,4990.9
492,4981.8
494,4975.0
494,5717.1
496,4885.0
496,4890.5
498,4895.4
498,4900.0
500,4909.1
500,4919.2
502,4923.1
502,4926.9
504,4935.1
504,4928.3
506,4920.7
506,4926.6
508,4919.2
508,4915.7
510,4910.4
510,4909.1
512,4902.6
512,4899.4
514,4895.4
514,4887.1
516,4890.9
516,4894.5
518,4899.6
518,4900.6
520,4908.0
520,4910.4
522,4918.4
522,4918.4
524,4912.3
524,4910.2
526,4908.9
526,4923.1
528,4923.1
528,4922.6
530,4920.7
530,4927.3
532,4929.4
532,4917.8
534,4918.4
534,4911.4
536,5011.0
536,5005.1
538,5010.1
538,5006.3
540,5002.9
540,5014.4
542,5019.8
542,5013.5
544,5012.5
544,5020.9
546,5013.1
546,5009.3
548,5009.7
548,5002.3
550,4991.1
550,4992.0
552,4990.5
552,4983.5
554,4988.1
554,4997.4
556,5001.5
556,5004.4
558,5006.5
558,4996.8
560,4993.4
560,5000.6
562,4999.3
562,4994.9
564,4993.9
564,5002.3
566,5003.8
566,5011.2
568,5018.6
568,5019.6
570,5016.7
570,5015.6
572,5011.4
572,5009.5
574,5004.2
574,5012.5
576,5012.2
576,5009.3
578,5012.9
578,5015.0
580,5027.5
580,5023.9
582,5036.3
582,5035.9
584,5034.2
584,4950.3
586,4956.2
586,4954.1
588,4940.0
588,4934.7
590,4925.8
590,5606.5
592,5604.2
592,5603.4
594,5591.1
594,5586.0
596,5588.8
596,5588.6
598,5592.0
598,5585.8
600,5582.0
600,5579.9
602,5584.8
602,5588.2
604,5594.7
604,5598.3
606,5600.0
606,5605.7
608,5608.4
608,5607.0
610,5608.9
610,5612.9
612,5609.7
612,5604.6
614,5600.2
614,5593.2
616,5586.5
616,5586.0
618,5581.0
618,5583.9
620,5587.9
620,6248.4
622,6248.4
622,6249.9
624,6260.9
624,6268.7
626,6277.1
626,6256.8
628,6250.9
628,6248.4
630,6246.1
630,6242.9
632,6246.1
632,6342.4
634,6332.1
634,6335.7
636,6339.5
636,6341.6
638,6346.5
638,6351.5
640,6352.2
640,6346.2
642,6346.9
642,6345.6
644,6345.8
644,6344.1
646,6341.4
646,6334.8
648,6332.5
648,6324.5
650,6326.2
650,6326.4
652,6318.6
652,6322.1
654,6328.7
654,6331.2
656,6324.7
656,6332.5
658,6332.5
658,6337.4
660,6341.4
660,6336.7
662,6331.7
662,6338.2
664,6342.6
664,6344.8
666,6345.6
666,6346.0
668,6340.1
668,6344.8
670,6349.2
670,6341.4
672,6338.0
672,6335.7
674,6333.8
674,6333.6
676,6335.9
676,6323.4
678,6319.6
678,6322.1
680,6323.8
680,6326.4
682,6335.2
682,6332.1
684,6339.5
684,6343.9
686,6344.5
686,6346.0
688,6346.5
688,6347.7
690,6335.0
690,6336.9
692,6330.8
692,6331.9
694,6336.1
694,6341.0
696,6337.6
696,6333.8
698,6339.3
698,6339.9
700,6348.6
700,6345.6
702,6338.4
702,6338.2
704,6343.3
704,6344.1
706,6344.5
706,6343.7
708,6334.6
708,6337.2
710,6344.8
710,6339.9
712,6326.4
712,6325.3
714,6329.1
714,6321.5
716,6319.6
716,6322.1
718,6315.2
718,6318.1
720,6336.5
720,6338.2
722,6337.8
722,6341.4
724,6343.3
724,6345.8
726,6350.0
726,6347.7
728,6340.5
728,6340.7
730,6342.2
730,6344.8
732,6347.5
732,6345.6
734,6335.0
734,6340.1
736,6340.5
736,6340.5
738,6336.1
738,6333.8
740,6324.7
740,6329.3
742,6339.5
742,6340.3
744,6347.1
744,6346.7
746,6352.8
746,6360.6
748,6375.4
748,6369.1
750,6371.0
750,6373.9
752,6374.6
752,6374.1
754,6366.3
754,6360.4
756,6357.9
756,6360.2
758,6350.3
758,6337.4
760,6324.9
760,6325.3
762,6324.9
762,6324.9
764,6321.3
764,6315.6
766,6321.9
766,6318.8
768,6316.0
768,6318.8
770,6323.4
770,6318.3
772,6312.6
772,6316.7
774,6312.6
774,6319.0
776,6325.5
776,6318.1
778,6320.2
778,6331.7
780,6337.2
780,6337.8
782,6343.9
782,6343.1
784,6346.5
784,6354.7
786,6350.7
786,6351.3
788,6359.3
788,6360.4
790,6358.9
790,6358.9
792,6353.6
792,6334.6
794,6337.8
794,6335.7
796,6330.4
796,6329.5
798,6324.7
798,6319.4
800,6321.5
800,6340.5
802,6343.3
802,6339.9
804,6336.1
804,6334.2
806,6336.7
806,6347.5
808,6347.3
808,6338.2
810,6330.6
810,6330.0
812,6339.9
812,6341.8
814,6345.4
814,6335.9
816,6328.7
816,6332.1
818,6340.3
818,6332.5
820,6316.2
820,6314.3
822,6311.4
822,6316.2
824,6319.0
824,6317.1
826,6315.0
826,6316.7
828,6321.3
828,6328.7
830,6330.2
830,6216.7
832,6345.4
832,7085.7
834,7083.6
834,7088.3
836,7088.9
836,7077.5
838,7074.7
838,7079.6
840,7077.3
840,7075.8
842,7080.7
842,7084.7
844,7092.3
844,7104.8
846,7102.6
846,7104.3
848,7108.8
848,7109.2
850,7102.4
850,7098.2
852,7099.5
852,7091.6
854,7097.8
854,7091.2
856,7093.3
856,7098.4
858,7094.0
858,7111.9
860,7244.5
860,7393.9
862,7539.1
862,7694.0
864,7836.8
864,7970.2
866,8108.0
866,8108.0
868,8108.0
868,8108.0
870,8108.0
870,8108.0
872,8108.0
872,8108.0
874,8108.0
874,8108.0
876,8108.0
876,8108.0
878,8108.0
878,8108.0
880,8108.0
880,8108.0
882,8108.0
882,8108.0
884,8108.0
884,8108.0
886,8108.0
886,8071.6
888,7945.1
888,7803.2
890,7649.4
890,7491.3
892,7331.3
892,7174.1
894,7076.0
894,7081.9
896,7071.4
896,7071.1
898,7079.0
898,7081.5
900,7087.0
900,7088.3
902,7085.9
902,7088.5
904,7097.4
904,7092.7
906,7081.9
906,7079.8
908,7077.9
908,7076.9
910,7079.8
910,7080.7
912,7081.3
912,7087.8
914,7096.1
914,7094.6
916,7094.8
916,7099.3
918,7097.8
918,7088.7
920,7084.3
920,7088.7
922,7089.1
922,7088.1
924,7092.3
924,7083.6
926,7064.0
926,7068.2
928,7073.9
928,7070.5
930,7072.0
930,7079.2
932,7079.2
932,7094.4
934,7111.9
934,7116.2
936,7112.6
936,7111.5
938,7109.2
938,7105.0
940,7105.2
940,7094.0
942,7090.0
942,7080.0
944,7079.0
944,7088.5
946,7087.6
946,7093.8
948,7087.6
948,7083.6
950,7087.2
950,7093.1
952,7089.5
952,7080.2
954,7081.1
954,7083.0
956,7093.1
956,7098.4
958,6838.2
958,6835.5
960,6835.3
960,6837.0
962,6834.2
962,6826.8
964,6822.0
964,6823.7
966,6827.5
966,6833.4
968,6836.3
968,6833.2
970,6831.1
970,6833.4
972,6836.6
972,6835.9
974,6830.9
974,6827.0
976,6830.4
976,6833.8
978,6833.2
978,6824.5
980,6815.0
980,6810.8
982,6808.4
982,6804.4
984,6797.5
984,6790.7
986,6792.6
986,6802.1
988,6807.6
988,6803.8
990,6807.8
990,6816.3
992,6825.8
992,6825.4
994,6824.9
994,6825.4
996,6830.4
996,6832.1
998,6823.0
998,6822.8
1000,6818.8
1000,6825.6
1002,6829.8
1002,6826.8
1004,6822.6
1004,6829.8
1006,6834.9
1006,6834.9
1008,6837.6
1008,6843.3
1010,6847.1
1010,6848.2
1012,6846.3
1012,7735.6
1014,7733.9
1014,7850.8
1016,7852.3
1016,7844.9
1018,7841.7
1018,7844.5
1020,7843.4
1020,7846.1
1022,7848.7
1022,7847.4
1024,6600.3
1024,6602.4
1026,6608.5
1026,6605.6
1028,6595.2
1028,6590.1
1030,6591.2
1030,6586.1
1032,6580.6
1032,6578.1
1034,6574.7
1034,6576.6
1036,6585.5
1036,6585.5
1038,6588.4
1038,6595.2
1040,6600.9
1040,6264.4
1042,6254.7
1042,6250.9
1044,6253.9
1044,6256.0
1046,6258.7
1046,6257.1
1048,6254.5
1048,6259.0
1050,6265.1
1050,6262.5
1052,6255.4
1052,6252.6
1054,6242.9
1054,6239.3
1056,6239.5
1056,6230.2
1058,6237.8
1058,6245.0
1060,6244.4
1060,6256.0
1062,6256.4
1062,6257.5
1064,6258.1
1064,6264.0
1066,6258.7
1066,6254.1
1068,6254.9
1068,6249.4
1070,6249.0
1070,6259.0
1072,6270.8
1072,6268.3
1074,6266.4
1074,6267.4
1076,6274.8
1076,6275.4
1078,6283.3
1078,6277.8
1080,6273.1
1080,6281.4
1082,6280.9
1082,6281.1
1084,6273.7
1084,6268.3
1086,6265.1
1086,6263.4
1088,6251.1
1088,6242.3
1090,6220.5
1090,6218.8
1092,6223.9
1092,6235.5
1094,6236.6
1094,6244.4
1096,6245.2
1096,6239.7
1098,6252.8
1098,6254.5
1100,6252.4
1100,6243.9
1102,6247.5
1102,6241.8
1104,6251.1
1104,6259.4
1106,6258.5
1106,6257.9
1108,6261.5
1108,6265.5
1110,6171.7
1110,6169.6
1112,6166.8
1112,6695.0
1114,6691.2
1114,5021.1
1116,5024.1
1116,5018.6
1118,5020.1
1118,5020.5
1120,5015.2
1120,5020.7
1122,5014.6
1122,5002.1
1124,4995.1
1124,4999.3
1126,5000.8
1126,5002.3
1128,4999.8
1128,4992.8
1130,5004.0
1130,5006.3
1132,4997.2
1132,4991.3
1134,4994.3
1134,4998.3
1136,5002.7
1136,5009.3
1138,5000.8
1138,5001.7
1140,5008.9
1140,5010.5
1142,5004.0
1142,4996.6
1144,4991.1
1144,5049.2
1146,5049.9
1146,5058.5
1148,4974.4
1148,4979.7
1150,4981.6
1150,4980.7
1152,4987.9
1152,4992.6
1154,4993.9
1154,5001.2
1156,4996.2
1156,4999.8
1158,4998.1
1158,5003.4
1160,5002.9
1160,5006.5
1162,5008.0
1162,4992.0
1164,4992.6
1164,4989.2
1166,4988.4
1166,4985.4
1168,4980.7
1168,4976.3
1170,4982.7
1170,4990.5
1172,5001.2
1172,5002.5
1174,4998.9
1174,4999.3
1176,4997.0
1176,4996.6
1178,4993.0
1178,4990.9
1180,4987.5
1180,4983.7
1182,4990.0
1182,4986.9
1184,4976.1
1184,4971.9
1186,4964.9
1186,4968.1
1188,4962.8
1188,4961.5
1190,4961.1
1190,4969.1
1192,5015.4
1192,5028.7
1194,4983.9
1194,5109.9
1196,5817.7
1196,5896.3
1198,5481.6
1198,5433.7
1200,5437.0
1200,5447.6
1202,5447.2
1202,5446.1
1204,5447.2
1204,5447.4
1206,5445.3
1206,5441.9
1208,5437.7
1208,5425.8
1210,5425.0
1210,5424.8
1212,5426.9
1212,5427.3
1214,5429.4
1214,5430.7
1216,5437.5
1216,5433.2
1218,5435.8
1218,5432.6
1220,5429.2
1220,5428.2
1222,5427.3
1222,5432.6
1224,5422.7
1224,5426.7
1226,5424.6
1226,5422.2
1227,5421.2
