t_sec,mem_available_mb
0,7970.4
1,6806.3
2,6804.0
4,6805.5
4,7329.6
6,7331.9
6,7339.8
8,7348.0
8,7360.1
9,7354.6
10,6979.6
11,6975.0
12,6977.5
13,6980.9
14,6973.7
15,6962.1
16,6956.6
17,6953.2
18,7119.8
19,7118.3
20,7116.2
21,7107.1
22,7104.3
23,7108.1
24,7103.5
25,7111.5
26,7125.9
27,7131.4
28,7129.9
29,7128.2
30,7133.7
31,7135.4
32,7139.2
34,7135.2
34,7123.6
36,7121.4
36,7123.6
38,7125.0
38,7117.6
40,7110.0
40,7107.3
42,7106.2
42,7108.6
44,7113.0
44,7113.8
46,7125.7
46,7138.1
48,7146.0
48,7152.3
50,7154.2
50,7152.7
52,7142.8
52,7142.4
54,7135.2
54,7133.9
56,7133.9
56,7133.9
58,7135.0
58,7136.2
60,7135.8
60,7136.9
62,7137.7
62,7130.7
64,7134.8
64,7125.5
66,7124.8
66,7126.9
68,7135.4
68,7135.6
70,7135.0
70,7136.2
72,7129.5
72,7133.1
74,7132.2
74,7122.1
76,7124.6
76,7116.8
78,7115.3
78,7117.6
80,7125.9
80,7120.2
82,7114.9
82,7118.7
84,7118.7
84,7126.7
86,7128.6
86,7129.3
88,7119.5
88,7127.8
90,7135.0
90,7133.9
92,7131.8
92,7129.1
94,7122.3
94,7118.3
96,7126.1
96,7121.4
98,7118.9
98,7118.3
100,7118.1
100,7122.5
102,7140.0
102,7145.3
104,7139.0
104,7140.7
106,7141.5
106,7146.2
108,7150.6
108,7148.3
110,7136.9
110,7139.4
112,7152.3
112,7147.7
114,7142.4
114,7137.9
116,7133.5
116,7127.8
118,7125.0
118,7114.7
120,7112.1
120,7116.6
122,7113.6
122,7114.3
124,7114.7
124,7121.2
126,7116.4
126,7122.7
128,7118.1
128,7123.6
130,7130.7
130,7132.9
132,7133.7
132,7130.1
134,7138.8
134,7138.4
136,5284.9
136,5286.4
138,5287.4
138,5289.9
140,5289.7
140,5297.3
142,5303.3
142,5307.7
144,5304.1
144,5301.4
146,5297.3
146,5291.8
148,5285.3
148,5279.8
150,5271.3
150,5266.9
152,5263.3
152,5277.1
154,5483.3
154,5720.2
156,5952.5
156,6179.9
158,6397.0
158,6607.7
160,6815.6
160,7020.8
162,7196.3
162,7378.7
164,7538.6
164,7676.0
166,7808.3
166,7925.8
168,8017.8
168,8082.2
170,8108.0
170,8108.0
172,8108.0
172,8108.0
174,8108.0
174,8108.0
176,8066.8
176,7999.6
178,7900.2
178,7779.8
180,7638.6
180,7487.7
