t_sec,mem_available_mb
0,7970.4
1,6806.3
2,6804.0
4,6805.5
4,7329.6
6,7331.9
6,7339.8
8,7348.0
8,7360.1
9,7354.6
10,6979.6
11,6975.0
12,6977.5
13,6980.9
14,6973.7
15,6962.1
16,6956.6
17,6953.2
18,7119.8
19,7118.3
20,7116.2
21,7107.1
22,7104.3
23,7108.1
24,7103.5
25,7111.5
26,7125.9
27,7131.4
28,7129.9
29,7128.2
30,7133.7
31,7135.4
32,7139.2
34,7135.2
34,7123.6
36,7121.4
36,7123.6
38,7125.0
38,7117.6
40,7110.0
40,7107.3
42,7106.2
42,7108.6
44,7113.0
44,7113.8
46,7125.7
46,7138.1
48,7146.0
48,7152.3
50,7154.2
50,7152.7
52,7142.8
52,7142.4
54,7135.2
54,7133.9
56,7133.9
56,7133.9
58,7135.0
58,7136.2
60,7135.8
60,7136.9
62,7137.7
62,7130.7
64,7134.8
64,7125.5
66,7124.8
66,7126.9
68,7135.4
68,7135.6
70,7135.0
70,7136.2
72,7129.5
72,7133.1
74,7132.2
74,7122.1
76,7124.6
76,7116.8
78,7115.3
78,7117.6
80,7125.9
80,7120.2
82,7114.9
82,7118.7
84,7118.7
84,7126.7
86,7128.6
86,7129.3
88,7119.5
88,7127.8
90,7135.0
90,7133.9
92,7131.8
92,7129.1
94,7122.3
94,7118.3
96,7126.1
96,7121.4
98,7118.9
98,7118.3
100,7118.1
100,7122.5
102,7140.0
102,7145.3
104,7139.0
104,7140.7
106,7141.5
106,7146.2
108,7150.6
108,7148.3
110,7136.9
110,7139.4
112,7152.3
112,7147.7
114,7142.4
114,7137.9
116,7133.5
116,7127.8
118,7125.0
118,7114.7
120,7112.1
120,7116.6
122,7113.6
122,7114.3
124,7114.7
124,7121.2
126,7116.4
126,7122.7
128,7118.1
128,7123.6
130,7130.7
130,7132.9
132,7133.7
132,7130.1
134,7138.8
134,7138.4
136,5284.9
136,5286.4
138,5287.4
138,5289.9
140,5289.7
140,5297.3
142,5303.3
142,5307.7
144,5304.1
144,5301.4
146,5297.3
146,5291.8
148,5285.3
148,5279.8
150,5271.3
150,5266.9
152,5263.3
152,5277.1
154,5483.3
154,5720.2
156,5952.5
156,6179.9
158,6397.0
158,6607.7
160,6815.6
160,7020.8
162,7196.3
162,7378.7
164,7538.6
164,7676.0
166,7808.3
166,7925.8
168,8017.8
168,8082.2
170,8108.0
170,8108.0
172,8108.0
172,8108.0
174,8108.0
174,8108.0
176,8066.8
176,7999.6
178,7900.2
178,7779.8
180,7638.6
180,7487.7
182,7318.2
182,7131.6
184,6932.9
184,7362.0
186,7158.4
186,6951.3
188,6732.6
188,6503.3
190,6272.7
190,6039.8
192,5921.4
192,5929.3
194,5929.5
194,5924.0
196,5921.9
196,5920.0
198,5919.5
198,6131.7
200,6123.1
200,6127.7
202,6120.9
202,6109.7
204,6112.3
204,6117.6
206,6110.8
206,6101.7
208,6105.9
208,6098.1
210,6105.1
210,6115.2
212,6108.3
212,6105.7
214,6111.0
214,6112.5
216,6110.8
216,6109.3
218,6104.7
218,6100.4
220,6109.1
220,6115.9
222,6115.7
222,6117.4
224,6117.6
224,6118.8
226,6119.0
226,6124.5
228,6124.1
228,6121.4
230,6118.2
230,6120.1
232,6118.8
232,6128.3
234,6139.5
234,6134.5
236,6128.8
236,6124.5
238,6129.8
238,6123.1
240,6126.0
240,6114.8
242,6103.2
242,6104.7
244,6111.9
244,6122.2
246,6124.1
246,6135.5
248,6134.9
248,6140.8
250,6146.5
250,6138.9
252,6129.0
252,6118.4
254,6106.8
254,6098.1
256,6101.1
256,6103.4
258,6108.5
258,6119.3
260,6126.0
260,6135.7
262,6144.2
262,6145.9
264,6140.8
264,6135.5
266,6128.3
266,6120.5
268,6118.8
268,6110.6
270,6108.9
270,6117.1
272,6126.7
272,6134.7
274,6135.7
274,6146.7
276,6150.5
276,6154.3
278,6155.4
278,6145.5
280,6141.0
280,6133.6
282,6130.7
282,6955.8
284,6494.4
284,6452.5
286,6453.2
286,6449.8
288,6443.2
288,6442.0
290,6436.9
290,6438.2
292,6434.8
292,6433.5
294,6429.3
294,6435.6
296,6443.7
296,6448.7
298,6464.0
298,6471.1
300,6471.6
300,6476.4
302,6486.1
302,5735.0
304,5733.6
304,5727.4
306,5712.8
306,5701.2
308,5705.2
308,5700.8
310,5694.0
310,5694.0
312,6586.7
312,6587.8
314,6590.8
314,6600.5
316,6601.3
316,6598.6
318,6599.2
318,6602.0
320,6602.4
320,6602.6
322,6609.8
322,6608.3
324,6603.2
324,6610.6
326,6609.8
326,6606.6
328,6604.3
328,6604.9
330,6596.3
330,6588.2
332,6593.7
332,6592.7
334,6592.7
334,5473.4
336,5484.4
336,5488.8
338,5498.3
338,5511.0
340,5504.5
340,5501.7
342,5501.3
342,5503.0
344,5500.0
344,5491.4
346,5489.7
346,5482.1
348,5475.5
348,5471.3
350,5474.2
350,5470.4
352,5469.8
352,5474.4
354,5469.4
354,5469.6
356,5476.8
356,5483.5
358,5479.9
358,5483.3
360,5485.2
360,5490.5
362,5488.4
362,5493.3
364,5492.8
364,5487.6
366,5485.2
366,5477.6
368,5468.7
368,5964.3
370,5965.6
370,5123.4
372,5124.5
372,5160.2
374,5424.1
374,5731.0
376,6028.8
376,6316.9
378,6594.8
378,6849.7
380,7091.2
380,7312.9
382,7509.9
382,7681.3
384,7825.0
384,7937.7
386,8020.7
386,8068.1
388,8076.9
388,8049.0
390,8000.6
390,7922.7
392,7816.8
392,8058.8
394,7883.3
394,7151.2
396,7224.4
396,6986.6
398,6715.9
398,6433.9
400,6139.5
400,5831.6
402,5518.4
402,4749.1
404,4725.2
404,4717.6
406,4718.5
406,4714.9
408,4712.1
408,4716.4
410,4728.0
410,5288.7
412,4728.6
412,4740.9
414,4743.8
414,4739.8
416,4745.7
416,4745.7
418,4743.2
418,4740.7
420,4737.3
420,4730.9
422,4738.8
422,4752.3
424,4752.5
424,4758.4
426,4759.9
426,4759.0
428,4765.6
428,4763.7
430,4767.5
430,4765.8
432,4758.8
432,4755.0
434,4752.3
434,4747.4
436,4742.8
436,4743.0
438,4734.7
438,4729.0
440,4730.7
440,5265.4
442,5267.5
442,5273.0
444,5273.0
444,5279.0
446,5278.7
446,5277.3
448,5282.8
448,5278.7
450,5273.2
450,5268.0
452,5266.1
452,5268.2
454,5272.8
454,5273.5
456,5273.0
456,5272.4
458,5279.6
458,5287.4
460,5288.7
460,5287.2
462,5277.1
462,5274.7
464,5274.9
464,5283.0
466,5275.8
466,5274.5
468,5275.8
468,5273.0
470,5280.0
470,5284.9
472,5289.7
472,5285.7
474,5297.1
474,5300.7
476,5297.3
476,3641.0
478,3636.8
478,3629.6
480,3616.5
480,3608.1
482,3603.0
482,3872.9
484,3870.1
484,3880.7
486,3888.7
486,3890.4
488,3888.3
488,3896.1
490,3893.8
490,3887.9
492,4990.9
492,4981.8
494,4975.0
494,5717.1
496,4885.0
496,4890.5
498,4895.4
498,4900.0
500,4909.1
500,4919.2
502,4923.1
502,4926.9
504,4935.1
504,4928.3
506,4920.7
506,4926.6
508,4919.2
508,4915.7
510,4910.4
510,4909.1
512,4902.6
512,4899.4
514,4895.4
514,4887.1
516,4890.9
516,4894.5
518,4899.6
518,4900.6
520,4908.0
520,4910.4
522,4918.4
522,4918.4
524,4912.3
524,4910.2
526,4908.9
526,4923.1
528,4923.1
528,4922.6
530,4920.7
530,4927.3
532,4929.4
532,4917.8
534,4918.4
534,4911.4
536,5011.0
536,5005.1
538,5010.1
538,5006.3
540,5002.9
540,5014.4
542,5019.8
542,5013.5
544,5012.5
544,5020.9
546,5013.1
546,5009.3
548,5009.7
548,5002.3
550,4991.1
550,4992.0
552,4990.5
552,4983.5
554,4988.1
554,4997.4
556,5001.5
556,5004.4
558,5006.5
558,4996.8
560,4993.4
560,5000.6
562,4999.3
562,4994.9
564,4993.9
564,5002.3
566,5003.8
566,5011.2
568,5018.6
568,5019.6
570,5016.7
570,5015.6
572,5011.4
572,5009.5
574,5004.2
574,5012.5
576,5012.2
576,5009.3
578,5012.9
578,5015.0
580,5027.5
580,5023.9
582,5036.3
582,5035.9
584,5034.2
584,4950.3
586,4956.2
586,4954.1
588,4940.0
588,4934.7
590,4925.8
590,5606.5
592,5604.2
592,5603.4
594,5591.1
594,5586.0
596,5588.8
596,5588.6
598,5592.0
598,5585.8
600,5582.0
600,5579.9
