t_sec,mem_available_mb
0,7234.9
1,6684.1
2,6683.0
4,6683.7
4,6931.7
6,6932.8
6,6936.5
8,6940.4
8,6946.1
9,6943.5
10,6766.1
11,6763.9
12,6765.1
13,6766.7
14,6763.3
15,6757.8
16,6755.2
17,6753.6
18,6832.4
19,6831.7
20,6830.7
21,6826.4
22,6825.1
23,6826.9
24,6824.7
25,6828.5
26,6835.3
27,6837.9
28,6837.2
29,6836.4
30,6839.0
31,6839.8
32,6841.6
34,6839.7
34,6834.2
36,6833.2
36,6834.2
38,6834.9
38,6831.4
40,6827.8
40,6826.5
42,6826.0
42,6827.1
44,6829.2
44,6829.6
46,6835.2
46,6841.1
48,6844.8
48,6847.8
50,6848.7
50,6848.0
52,6843.3
52,6843.1
54,6839.7
54,6839.1
56,6839.1
56,6839.1
58,6839.6
58,6840.2
60,6840.0
60,6840.5
62,6840.9
62,6837.6
64,6839.5
64,6835.1
66,6834.8
66,6835.8
68,6839.8
68,6839.9
70,6839.6
70,6840.2
72,6837.0
72,6838.7
74,6838.3
74,6833.5
76,6834.7
76,6831.0
78,6830.3
78,6831.4
80,6835.3
80,6832.6
82,6830.1
82,6831.9
84,6831.9
84,6835.7
86,6836.6
86,6836.9
88,6832.3
88,6836.2
90,6839.6
90,6839.1
92,6838.1
92,6836.8
94,6833.6
94,6831.7
96,6835.4
96,6833.2
98,6832.0
98,6831.7
100,6831.6
100,6833.7
102,6842.0
102,6844.5
104,6841.5
104,6842.3
106,6842.7
106,6844.9
108,6847.0
108,6845.9
110,6840.5
110,6841.7
112,6847.8
112,6845.6
114,6843.1
114,6841.0
116,6838.9
116,6836.2
118,6834.9
118,6830.0
120,6828.8
120,6830.9
122,6829.5
122,6829.8
124,6830.0
124,6833.1
126,6830.8
126,6833.8
128,6831.6
128,6834.2
130,6837.6
130,6838.6
132,6839.0
132,6837.3
134,6841.4
134,6841.2
136,5964.2
136,5964.9
138,5965.4
138,5966.6
140,5966.5
140,5970.1
142,5972.9
142,5975.0
144,5973.3
144,5972.0
146,5970.1
146,5967.5
148,5964.4
148,5961.8
150,5957.8
150,5955.7
152,5954.0
152,5960.5
154,6058.1
154,6170.2
156,6280.1
156,6387.7
158,6490.4
158,6590.1
160,6688.5
160,6785.6
162,6868.6
162,6954.9
164,7030.6
164,7095.6
166,7158.2
166,7213.8
168,7257.3
168,7287.8
170,7300.0
170,7300.0
172,7300.0
172,7300.0
174,7300.0
174,7300.0
176,7280.5
176,7248.7
178,7201.7
178,7144.7
180,7077.9
180,7006.5
