t_sec,mem_available_mb
0,9705.5
1,8288.2
2,8285.3
4,8287.1
4,8925.3
6,8928.1
6,8937.6
8,8947.7
8,8962.4
9,8955.7
10,8499.2
11,8493.5
12,8496.6
13,8500.7
14,8492.0
15,8477.8
16,8471.1
17,8467.0
18,8669.8
19,8668.0
20,8665.4
21,8654.3
22,8651.0
23,8655.6
24,8650.0
25,8659.7
26,8677.2
27,8683.9
28,8682.1
29,8680.1
30,8686.8
31,8688.8
32,8693.5
34,8688.6
34,8674.4
36,8671.8
36,8674.4
38,8676.2
38,8667.2
40,8657.9
40,8654.6
42,8653.3
42,8656.1
44,8661.5
44,8662.6
46,8677.0
46,8692.2
48,8701.7
48,8709.4
50,8711.7
50,8709.9
52,8697.8
52,8697.3
54,8688.6
54,8687.0
56,8687.0
56,8687.0
58,8688.3
58,8689.8
60,8689.3
60,8690.6
62,8691.7
62,8683.2
64,8688.0
64,8676.7
66,8676.0
66,8678.5
68,8688.8
68,8689.1
70,8688.3
70,8689.8
72,8681.6
72,8686.0
74,8685.0
74,8672.6
76,8675.7
76,8666.2
78,8664.4
78,8667.2
80,8677.2
80,8670.3
82,8663.9
82,8668.5
84,8668.5
84,8678.3
86,8680.6
86,8681.4
88,8669.5
88,8679.6
90,8688.3
90,8687.0
92,8684.4
92,8681.1
94,8672.9
94,8668.0
96,8677.5
96,8671.8
98,8668.7
98,8668.0
100,8667.7
100,8673.1
102,8694.5
102,8700.9
104,8693.2
104,8695.3
106,8696.3
106,8701.9
108,8707.3
108,8704.5
110,8690.6
110,8693.7
112,8709.4
112,8703.7
114,8697.3
114,8691.9
116,8686.5
116,8679.6
118,8676.2
118,8663.6
120,8660.5
120,8665.9
122,8662.3
122,8663.1
124,8663.6
124,8671.6
126,8665.7
126,8673.4
128,8667.7
128,8674.4
130,8683.2
130,8685.7
132,8686.8
132,8682.4
134,8692.9
134,8692.4
136,6435.7
136,6437.5
138,6438.8
138,6441.9
140,6441.7
140,6450.9
142,6458.1
142,6463.5
144,6459.2
144,6455.8
146,6450.9
146,6444.2
148,6436.3
148,6429.6
150,6419.3
150,6413.9
152,6409.5
152,6426.2
154,6677.4
154,6965.8
156,7248.6
156,7525.5
158,7789.7
158,8046.3
160,8299.5
160,8549.4
162,8762.9
162,8985.0
164,9179.8
164,9347.0
166,9508.1
166,9651.2
168,9763.1
168,9841.6
170,9873.0
170,9873.0
172,9873.0
172,9873.0
174,9873.0
174,9873.0
176,9822.8
176,9741.0
178,9620.1
178,9473.4
180,9301.5
180,9117.8
182,8911.4
182,8684.2
184,8442.3
184,8964.7
186,8716.9
186,8464.7
188,8198.4
188,7919.2
190,7638.4
190,7354.9
192,7210.8
192,7220.3
194,7220.6
194,7213.9
196,7211.3
196,7209.0
198,7208.5
198,7466.8
200,7456.3
200,7461.9
202,7453.7
202,7440.1
204,7443.1
204,7449.6
206,7441.3
206,7430.3
208,7435.4
208,7425.9
210,7434.4
210,7446.7
212,7438.3
212,7435.2
214,7441.6
214,7443.4
216,7441.3
216,7439.5
218,7433.9
218,7428.7
220,7439.3
220,7447.5
222,7447.3
222,7449.3
224,7449.6
224,7451.1
226,7451.4
226,7458.1
228,7457.6
228,7454.2
230,7450.3
230,7452.7
232,7451.1
232,7462.7
234,7476.3
234,7470.2
236,7463.2
236,7458.1
238,7464.5
238,7456.3
240,7459.9
240,7446.2
242,7432.1
242,7433.9
244,7442.6
244,7455.2
246,7457.6
246,7471.4
248,7470.7
248,7477.9
250,7484.8
250,7475.6
252,7463.5
252,7450.6
254,7436.5
254,7425.9
256,7429.5
256,7432.3
258,7438.5
258,7451.6
260,7459.9
260,7471.7
262,7482.0
262,7484.1
264,7477.9
264,7471.4
266,7462.7
266,7453.2
268,7451.1
268,7441.1
270,7439.0
270,7449.1
272,7460.6
272,7470.4
