t_sec,mem_available_mb
0,9705.5
1,8288.2
2,8285.3
4,8287.1
4,8925.3
6,8928.1
6,8937.6
8,8947.7
8,8962.4
9,8955.7
10,8499.2
11,8493.5
12,8496.6
13,8500.7
14,8492.0
15,8477.8
16,8471.1
17,8467.0
18,8669.8
19,8668.0
20,8665.4
21,8654.3
22,8651.0
23,8655.6
24,8650.0
25,8659.7
26,8677.2
27,8683.9
28,8682.1
29,8680.1
30,8686.8
31,8688.8
32,8693.5
34,8688.6
34,8674.4
36,8671.8
36,8674.4
38,8676.2
38,8667.2
40,8657.9
40,8654.6
42,8653.3
42,8656.1
44,8661.5
44,8662.6
46,8677.0
46,8692.2
48,8701.7
48,8709.4
50,8711.7
50,8709.9
52,8697.8
52,8697.3
54,8688.6
54,8687.0
56,8687.0
56,8687.0
58,8688.3
58,8689.8
60,8689.3
60,8690.6
62,8691.7
62,8683.2
64,8688.0
64,8676.7
66,8676.0
66,8678.5
68,8688.8
68,8689.1
70,8688.3
70,8689.8
72,8681.6
72,8686.0
74,8685.0
74,8672.6
76,8675.7
76,8666.2
78,8664.4
78,8667.2
80,8677.2
80,8670.3
82,8663.9
82,8668.5
84,8668.5
84,8678.3
86,8680.6
86,8681.4
88,8669.5
88,8679.6
90,8688.3
90,8687.0
92,8684.4
92,8681.1
94,8672.9
94,8668.0
96,8677.5
96,8671.8
98,8668.7
98,8668.0
100,8667.7
100,8673.1
102,8694.5
102,8700.9
104,8693.2
104,8695.3
106,8696.3
106,8701.9
108,8707.3
108,8704.5
110,8690.6
110,8693.7
112,8709.4
112,8703.7
114,8697.3
114,8691.9
116,8686.5
116,8679.6
118,8676.2
118,8663.6
120,8660.5
120,8665.9
122,8662.3
122,8663.1
124,8663.6
124,8671.6
126,8665.7
126,8673.4
128,8667.7
128,8674.4
130,8683.2
130,8685.7
132,8686.8
132,8682.4
134,8692.9
134,8692.4
136,6435.7
136,6437.5
138,6438.8
138,6441.9
140,6441.7
140,6450.9
142,6458.1
142,6463.5
144,6459.2
144,6455.8
146,6450.9
146,6444.2
148,6436.3
148,6429.6
150,6419.3
150,6413.9
152,6409.5
152,6426.2
154,6677.4
154,6965.8
156,7248.6
156,7525.5
158,7789.7
158,8046.3
160,8299.5
160,8549.4
162,8762.9
162,8985.0
164,9179.8
164,9347.0
166,9508.1
166,9651.2
168,9763.1
168,9841.6
170,9873.0
170,9873.0
172,9873.0
172,9873.0
174,9873.0
174,9873.0
176,9822.8
176,9741.0
178,9620.1
178,9473.4
180,9301.5
180,9117.8
