t_sec,mem_available_mb
0,9721.7
1,8302.0
2,8299.2
4,8301.0
4,8940.2
6,8943.1
6,8952.6
8,8962.6
8,8977.3
9,8970.6
10,8513.4
11,8507.7
12,8510.8
13,8514.9
14,8506.2
15,8492.0
16,8485.3
17,8481.2
18,8684.3
19,8682.5
20,8679.9
21,8668.8
22,8665.5
23,8670.1
24,8664.4
25,8674.2
26,8691.8
27,8698.5
28,8696.7
29,8694.6
30,8701.3
31,8703.4
32,8708.0
34,8703.1
34,8688.9
36,8686.3
36,8688.9
38,8690.7
38,8681.7
40,8672.4
40,8669.1
42,8667.8
42,8670.6
44,8676.0
44,8677.1
46,8691.5
46,8706.7
48,8716.2
48,8724.0
50,8726.3
50,8724.5
52,8712.4
52,8711.9
54,8703.1
54,8701.6
56,8701.6
56,8701.6
58,8702.8
58,8704.4
60,8703.9
60,8705.2
62,8706.2
62,8697.7
64,8702.6
64,8691.2
66,8690.5
66,8693.0
68,8703.4
68,8703.6
70,8702.8
70,8704.4
72,8696.1
72,8700.5
74,8699.5
74,8687.1
76,8690.2
76,8680.7
78,8678.9
78,8681.7
80,8691.8
80,8684.8
82,8678.4
82,8683.0
84,8683.0
84,8692.8
86,8695.1
86,8695.9
88,8684.0
88,8694.1
90,8702.8
90,8701.6
92,8699.0
92,8695.6
94,8687.4
94,8682.5
96,8692.0
96,8686.3
98,8683.3
98,8682.5
100,8682.2
100,8687.6
102,8709.0
102,8715.5
104,8707.7
104,8709.8
106,8710.8
106,8716.5
108,8721.9
108,8719.1
110,8705.2
110,8708.3
112,8724.0
112,8718.3
114,8711.9
114,8706.4
116,8701.0
116,8694.1
118,8690.7
118,8678.1
120,8675.0
120,8680.4
122,8676.8
122,8677.6
124,8678.1
124,8686.1
126,8680.2
126,8687.9
128,8682.2
128,8688.9
130,8697.7
130,8700.3
132,8701.3
132,8696.9
134,8707.5
134,8707.0
136,6446.5
136,6448.3
138,6449.6
138,6452.7
140,6452.5
140,6461.7
142,6469.0
142,6474.4
144,6470.0
144,6466.6
146,6461.7
146,6455.0
148,6447.1
148,6440.4
150,6430.0
150,6424.6
152,6420.2
152,6437.0
154,6688.6
154,6977.5
156,7260.8
156,7538.1
158,7802.8
158,8059.8
160,8313.4
160,8563.7
162,8777.6
162,9000.0
164,9195.1
164,9362.7
166,9524.0
166,9667.3
168,9779.4
168,9858.1
170,9889.5
170,9889.5
172,9889.5
172,9889.5
174,9889.5
174,9889.5
176,9839.2
176,9757.3
178,9636.1
178,9489.2
180,9317.0
180,9133.0
182,8926.3
182,8698.7
184,8456.4
184,8979.7
186,8731.5
186,8478.9
188,8212.1
188,7932.4
190,7651.2
190,7367.2
192,7222.9
192,7232.4
194,7232.7
194,7226.0
196,7223.4
196,7221.1
198,7220.5
198,7479.3
200,7468.8
200,7474.4
202,7466.2
202,7452.5
204,7455.6
204,7462.1
206,7453.8
206,7442.7
208,7447.9
208,7438.3
210,7446.8
210,7459.2
212,7450.7
212,7447.6
214,7454.1
214,7455.9
216,7453.8
216,7452.0
218,7446.3
218,7441.2
220,7451.7
220,7460.0
222,7459.7
222,7461.8
224,7462.1
224,7463.6
226,7463.9
226,7470.6
228,7470.0
228,7466.7
230,7462.8
230,7465.1
232,7463.6
232,7475.2
234,7488.9
234,7482.7
236,7475.7
236,7470.6
238,7477.0
238,7468.8
240,7472.4
240,7458.7
242,7444.5
242,7446.3
244,7455.1
244,7467.7
246,7470.0
246,7484.0
248,7483.2
248,7490.4
250,7497.4
250,7488.1
252,7476.0
252,7463.1
254,7448.9
254,7438.3
256,7442.0
256,7444.8
258,7451.0
258,7464.1
260,7472.4
260,7484.2
262,7494.5
262,7496.6
264,7490.4
264,7484.0
266,7475.2
266,7465.7
268,7463.6
268,7453.5
270,7451.5
270,7461.5
272,7473.1
272,7482.9
274,7484.2
274,7497.6
276,7502.3
276,7506.9
278,7508.2
278,7496.1
280,7490.7
280,7481.6
282,7478.0
282,8484.3
284,7921.6
284,7870.6
286,7871.4
286,7867.2
288,7859.2
288,7857.7
290,7851.5
290,7853.1
292,7848.9
292,7847.4
294,7842.2
294,7850.0
296,7859.8
296,7865.9
298,7884.5
298,7893.3
300,7893.8
300,7899.7
302,7911.6
302,6995.5
304,6993.7
304,6986.3
306,6968.5
306,6954.3
308,6959.2
308,6953.8
310,6945.5
310,6945.5
312,8034.2
312,8035.5
314,8039.1
314,8051.0
316,8052.0
316,8048.7
318,8049.5
318,8052.8
320,8053.3
320,8053.6
322,8062.3
322,8060.5
324,8054.4
324,8063.4
326,8062.3
326,8058.5
328,8055.6
328,8056.4
330,8045.8
330,8036.1
332,8042.8
332,8041.5
334,8041.5
334,6676.4
336,6689.8
336,6695.3
338,6706.9
338,6722.3
340,6714.3
340,6711.0
342,6710.5
342,6712.5
344,6708.9
344,6698.4
346,6696.3
346,6687.0
348,6679.0
348,6673.9
350,6677.5
350,6672.8
352,6672.1
352,6677.7
354,6671.5
354,6671.8
356,6680.6
356,6688.8
358,6684.4
358,6688.6
360,6690.9
360,6697.3
362,6694.7
362,6700.7
364,6700.2
364,6693.7
366,6690.9
366,6681.6
368,6670.8
368,7275.2
370,7276.7
370,6249.6
372,6250.9
372,6294.5
374,6616.4
374,6990.6
376,7353.8
376,7705.1
378,8044.0
378,8354.9
380,8649.5
380,8919.9
382,9160.1
382,9369.1
384,9544.4
384,9681.8
386,9783.1
386,9840.8
388,9851.6
388,9817.6
390,9758.6
390,9663.5
392,9534.3
392,9829.4
394,9615.5
394,8722.7
396,8811.9
396,8521.9
398,8191.7
398,7847.9
400,7488.9
400,7113.3
402,6731.3
402,5793.2
404,5764.0
404,5754.7
406,5755.8
406,5751.4
408,5748.0
408,5753.2
410,5767.4
410,6451.2
412,5768.2
412,5783.1
414,5786.7
414,5781.8
416,5789.0
416,5789.0
418,5785.9
418,5782.8
420,5778.7
420,5771.0
422,5780.5
422,5797.0
424,5797.3
424,5804.5
426,5806.3
426,5805.3
428,5813.3
428,5810.9
430,5815.6
430,5813.5
432,5805.0
432,5800.4
434,5797.0
434,5791.1
436,5785.4
436,5785.7
438,5775.6
438,5768.7
440,5770.7
440,6422.8
442,6425.4
442,6432.1
444,6432.1
444,6439.3
446,6439.1
446,6437.3
448,6444.0
448,6439.1
450,6432.4
450,6425.9
452,6423.6
452,6426.2
454,6431.8
454,6432.6
456,6432.1
456,6431.3
458,6440.1
458,6449.6
460,6451.2
460,6449.4
462,6437.0
462,6434.2
464,6434.4
464,6444.2
466,6435.5
466,6433.9
468,6435.5
468,6432.1
470,6440.6
470,6446.5
472,6452.5
472,6447.6
474,6461.5
474,6465.9
476,6461.7
476,4441.8
478,4436.6
478,4427.9
480,4411.9
480,4401.6
482,4395.4
482,4724.5
484,4721.2
484,4734.1
486,4743.9
486,4745.9
488,4743.4
488,4752.9
490,4750.1
490,4742.8
492,6088.0
492,6076.9
494,6068.7
494,6973.6
496,5958.9
496,5965.6
498,5971.5
498,5977.2
500,5988.3
500,6000.6
502,6005.3
502,6009.9
504,6020.0
504,6011.7
506,6002.4
506,6009.7
508,6000.6
508,5996.3
510,5989.8
510,5988.3
512,5980.3
512,5976.4
514,5971.5
514,5961.5
516,5966.1
516,5970.5
518,5976.7
518,5978.0
520,5987.0
520,5989.8
522,5999.6
522,5999.6
524,5992.1
524,5989.6
526,5988.0
526,6005.3
528,6005.3
528,6004.8
530,6002.4
530,6010.4
532,6013.0
532,5998.8
534,5999.6
534,5991.1
536,6112.5
536,6105.3
538,6111.5
538,6106.8
540,6102.7
540,6116.6
542,6123.3
542,6115.6
544,6114.3
544,6124.6
546,6115.1
546,6110.4
548,6111.0
548,6101.9
550,6088.3
550,6089.3
552,6087.5
552,6079.0
554,6084.7
554,6096.0
556,6100.9
556,6104.5
558,6107.1
558,6095.2
560,6091.1
560,6099.9
562,6098.3
562,6092.9
564,6091.6
564,6101.9
566,6103.7
566,6112.8
568,6121.8
568,6123.1
570,6119.5
570,6118.2
572,6113.0
572,6110.7
574,6104.3
574,6114.3
576,6114.0
576,6110.4
578,6114.8
578,6117.4
580,6132.6
580,6128.2
582,6143.4
582,6142.9
584,6140.9
584,6038.5
586,6045.7
586,6043.2
588,6025.9
588,6019.5
590,6008.6
590,6838.8
592,6836.0
592,6835.0
594,6820.0
594,6813.8
596,6817.2
596,6816.9
598,6821.0
598,6813.6
600,6808.9
600,6806.4
602,6812.3
602,6816.4
604,6824.4
604,6828.8
606,6830.8
606,6837.8
608,6841.1
608,6839.3
610,6841.7
610,6846.6
612,6842.7
612,6836.5
614,6831.1
614,6822.6
616,6814.3
616,6813.8
618,6807.6
618,6811.2
620,6816.1
620,7621.6
622,7621.6
622,7623.4
624,7636.8
624,7646.3
626,7656.7
626,7631.9
628,7624.7
628,7621.6
630,7618.8
630,7614.9
632,7618.8
632,7736.3
634,7723.7
634,7728.0
636,7732.7
636,7735.3
638,7741.2
638,7747.4
640,7748.2
640,7740.9
642,7741.7
642,7740.2
644,7740.4
644,7738.4
646,7735.0
646,7727.0
648,7724.2
648,7714.4
650,7716.4
650,7716.7
652,7707.2
652,7711.6
654,7719.5
654,7722.6
656,7714.6
656,7724.2
658,7724.2
658,7730.1
660,7735.0
660,7729.3
662,7723.2
662,7731.1
664,7736.6
664,7739.1
666,7740.2
666,7740.7
668,7733.5
668,7739.1
670,7744.5
