t_sec,mem_available_mb
0,8920.4
1,7617.8
2,7615.2
4,7616.8
4,8203.4
6,8206.0
6,8214.7
8,8223.9
8,8237.4
9,8231.3
10,7811.7
11,7806.5
12,7809.3
13,7813.1
14,7805.1
15,7792.1
16,7785.9
17,7782.1
18,7968.5
19,7966.9
20,7964.5
21,7954.3
22,7951.2
23,7955.5
24,7950.3
25,7959.3
26,7975.4
27,7981.5
28,7979.9
29,7978.0
30,7984.1
31,7986.0
32,7990.3
34,7985.8
34,7972.8
36,7970.4
36,7972.8
38,7974.4
38,7966.1
40,7957.6
40,7954.6
42,7953.4
42,7956.0
44,7960.9
44,7961.9
46,7975.1
46,7989.1
48,7997.8
48,8004.9
50,8007.1
50,8005.4
52,7994.3
52,7993.8
54,7985.8
54,7984.4
56,7984.4
56,7984.4
58,7985.5
58,7987.0
60,7986.5
60,7987.7
62,7988.6
62,7980.8
64,7985.3
64,7974.9
66,7974.2
66,7976.6
68,7986.0
68,7986.2
70,7985.5
70,7987.0
72,7979.4
72,7983.4
74,7982.5
74,7971.1
76,7974.0
76,7965.2
78,7963.5
78,7966.1
80,7975.4
80,7969.0
82,7963.1
82,7967.3
84,7967.3
84,7976.3
86,7978.4
86,7979.2
88,7968.3
88,7977.5
90,7985.5
90,7984.4
92,7982.0
92,7978.9
94,7971.3
94,7966.9
96,7975.6
96,7970.4
98,7967.6
98,7966.9
100,7966.6
100,7971.6
102,7991.2
102,7997.1
104,7990.0
104,7991.9
106,7992.9
106,7998.1
108,8003.0
108,8000.4
110,7987.7
110,7990.5
112,8004.9
112,7999.7
114,7993.8
114,7988.9
116,7983.9
116,7977.5
118,7974.4
118,7962.8
120,7960.0
120,7965.0
122,7961.7
122,7962.4
124,7962.8
124,7970.2
126,7964.7
126,7971.8
128,7966.6
128,7972.8
130,7980.8
130,7983.2
132,7984.1
132,7980.1
134,7989.8
134,7989.3
136,5915.2
136,5916.8
138,5918.0
138,5920.9
140,5920.6
140,5929.1
142,5935.8
142,5940.7
144,5936.7
144,5933.6
146,5929.1
146,5923.0
148,5915.7
148,5909.5
150,5900.1
150,5895.1
152,5891.1
152,5906.4
154,6137.3
154,6402.4
156,6662.3
156,6916.8
158,7159.7
158,7395.5
160,7628.2
160,7857.8
162,8054.1
162,8258.2
164,8437.3
164,8591.0
166,8739.0
166,8870.5
168,8973.4
168,9045.5
170,9074.4
170,9074.4
172,9074.4
172,9074.4
174,9074.4
174,9074.4
176,9028.3
176,8953.1
178,8841.9
178,8707.1
180,8549.1
180,8380.3
182,8190.6
182,7981.8
184,7759.4
184,8239.5
186,8011.8
186,7780.0
188,7535.2
188,7278.6
190,7020.6
190,6760.0
192,6627.5
192,6636.3
194,6636.5
194,6630.4
196,6628.0
196,6625.9
198,6625.4
198,6862.9
200,6853.2
200,6858.4
202,6850.8
202,6838.3
204,6841.1
204,6847.0
206,6839.4
206,6829.3
208,6834.0
208,6825.3
210,6833.1
210,6844.4
212,6836.6
212,6833.8
214,6839.7
214,6841.3
216,6839.4
216,6837.8
218,6832.6
218,6827.9
220,6837.6
220,6845.1
222,6844.9
222,6846.8
224,6847.0
224,6848.4
226,6848.7
226,6854.8
228,6854.3
228,6851.3
230,6847.7
230,6849.9
232,6848.4
232,6859.1
234,6871.6
234,6865.9
236,6859.5
236,6854.8
238,6860.7
238,6853.2
240,6856.5
240,6843.9
242,6830.9
242,6832.6
244,6840.6
244,6852.2
246,6854.3
246,6867.1
248,6866.4
248,6873.0
250,6879.4
250,6870.9
252,6859.8
252,6848.0
254,6835.0
254,6825.3
256,6828.6
256,6831.2
258,6836.8
258,6848.9
260,6856.5
260,6867.4
262,6876.8
262,6878.7
264,6873.0
264,6867.1
266,6859.1
266,6850.3
268,6848.4
268,6839.2
270,6837.3
270,6846.5
272,6857.2
272,6866.2
274,6867.4
274,6879.7
276,6883.9
276,6888.2
278,6889.3
278,6878.2
280,6873.3
280,6865.0
282,6861.7
282,7785.0
284,7268.7
284,7221.9
286,7222.6
286,7218.8
288,7211.5
288,7210.0
290,7204.4
290,7205.8
292,7202.0
292,7200.6
294,7195.9
294,7203.0
296,7211.9
296,7217.6
298,7234.6
298,7242.7
300,7243.2
300,7248.6
302,7259.5
302,6418.9
304,6417.3
304,6410.4
306,6394.1
306,6381.1
308,6385.6
308,6380.6
310,6373.1
310,6373.1
312,7372.1
312,7373.2
314,7376.5
314,7387.4
316,7388.4
316,7385.3
318,7386.0
318,7389.1
320,7389.6
320,7389.8
322,7397.8
322,7396.2
324,7390.5
324,7398.8
326,7397.8
326,7394.3
328,7391.7
328,7392.4
330,7382.7
330,7373.7
332,7379.9
332,7378.7
334,7378.7
334,6126.2
336,6138.5
336,6143.4
338,6154.1
338,6168.2
340,6160.9
340,6157.8
342,6157.4
342,6159.3
344,6156.0
344,6146.3
346,6144.4
346,6135.8
348,6128.5
348,6123.8
350,6127.1
350,6122.8
352,6122.1
352,6127.3
354,6121.7
354,6121.9
356,6129.9
356,6137.5
358,6133.5
358,6137.3
360,6139.4
360,6145.3
362,6142.9
362,6148.4
364,6147.9
364,6142.0
366,6139.4
366,6130.9
368,6120.9
368,6675.5
370,6677.0
370,5734.5
372,5735.7
372,5775.7
374,6071.0
374,6414.4
376,6747.7
376,7070.0
378,7381.0
378,7666.3
380,7936.6
380,8184.7
382,8405.1
382,8596.9
384,8757.7
384,8883.8
386,8976.7
386,9029.7
388,9039.6
388,9008.4
390,8954.3
390,8867.0
392,8748.5
392,9019.3
394,8823.0
394,8003.8
396,8085.6
396,7819.5
398,7516.6
398,7201.1
400,6871.6
400,6527.0
402,6176.5
402,5315.7
404,5288.9
404,5280.4
406,5281.4
406,5277.3
408,5274.3
408,5279.0
410,5292.0
410,5919.4
412,5292.7
412,5306.4
414,5309.7
414,5305.3
416,5311.9
416,5311.9
418,5309.0
418,5306.2
420,5302.4
420,5295.3
422,5304.1
422,5319.2
424,5319.4
424,5326.1
426,5327.7
426,5326.8
428,5334.1
428,5332.0
430,5336.2
430,5334.3
432,5326.5
432,5322.3
434,5319.2
434,5313.8
436,5308.6
436,5308.8
438,5299.6
438,5293.2
440,5295.1
440,5893.4
442,5895.8
442,5901.9
444,5901.9
444,5908.6
446,5908.3
446,5906.7
448,5912.8
448,5908.3
450,5902.2
450,5896.3
452,5894.1
452,5896.5
454,5901.7
454,5902.4
456,5901.9
456,5901.2
458,5909.3
458,5918.0
460,5919.4
460,5917.8
462,5906.4
462,5903.8
464,5904.1
464,5913.1
466,5905.0
466,5903.6
468,5905.0
468,5901.9
470,5909.8
470,5915.2
472,5920.6
472,5916.1
474,5928.9
474,5932.9
476,5929.1
476,4075.7
478,4070.9
478,4062.9
480,4048.2
480,4038.8
482,4033.1
482,4335.1
484,4332.0
484,4343.9
486,4352.9
486,4354.7
488,4352.4
488,4361.1
490,4358.5
490,4351.9
492,5586.2
492,5576.0
494,5568.5
494,6398.8
496,5467.7
496,5473.9
498,5479.3
498,5484.5
500,5494.7
500,5506.0
502,5510.3
502,5514.6
504,5523.8
504,5516.2
506,5507.7
506,5514.3
508,5506.0
508,5502.0
510,5496.1
510,5494.7
512,5487.4
512,5483.8
514,5479.3
514,5470.1
516,5474.3
516,5478.4
518,5484.0
518,5485.2
520,5493.5
520,5496.1
522,5505.1
522,5505.1
524,5498.2
524,5495.9
526,5494.5
526,5510.3
528,5510.3
528,5509.8
530,5507.7
530,5515.0
532,5517.4
532,5504.4
534,5505.1
534,5497.3
536,5608.7
536,5602.1
538,5607.7
538,5603.5
540,5599.7
540,5612.5
542,5618.6
542,5611.5
544,5610.3
544,5619.8
546,5611.0
546,5606.8
548,5607.3
548,5599.0
550,5586.5
550,5587.4
552,5585.7
552,5577.9
554,5583.1
554,5593.5
556,5598.0
556,5601.4
558,5603.7
558,5592.8
560,5589.1
560,5597.1
562,5595.7
562,5590.7
564,5589.5
564,5599.0
566,5600.6
566,5608.9
568,5617.2
568,5618.4
570,5615.1
570,5613.9
572,5609.2
572,5607.0
574,5601.1
574,5610.3
576,5610.1
576,5606.8
578,5610.8
578,5613.2
580,5627.1
580,5623.1
582,5637.1
582,5636.6
584,5634.7
584,5540.8
586,5547.4
586,5545.1
588,5529.2
588,5523.3
590,5513.4
590,6275.1
592,6272.5
592,6271.6
594,6257.9
594,6252.2
596,6255.3
596,6255.0
598,6258.8
598,6252.0
600,6247.7
600,6245.3
602,6250.8
602,6254.6
604,6261.9
604,6265.9
606,6267.8
606,6274.2
608,6277.3
608,6275.6
610,6277.8
