t_sec,mem_available_mb
0,9721.7
1,8302.0
2,8299.2
4,8301.0
4,8940.2
6,8943.1
6,8952.6
8,8962.6
8,8977.3
9,8970.6
10,8513.4
11,8507.7
12,8510.8
13,8514.9
14,8506.2
15,8492.0
16,8485.3
17,8481.2
18,8684.3
19,8682.5
20,8679.9
21,8668.8
22,8665.5
23,8670.1
24,8664.4
25,8674.2
26,8691.8
27,8698.5
28,8696.7
29,8694.6
30,8701.3
31,8703.4
32,8708.0
34,8703.1
34,8688.9
36,8686.3
36,8688.9
38,8690.7
38,8681.7
40,8672.4
40,8669.1
42,8667.8
42,8670.6
44,8676.0
44,8677.1
46,8691.5
46,8706.7
48,8716.2
48,8724.0
50,8726.3
50,8724.5
52,8712.4
52,8711.9
54,8703.1
54,8701.6
56,8701.6
56,8701.6
58,8702.8
58,8704.4
60,8703.9
60,8705.2
62,8706.2
62,8697.7
64,8702.6
64,8691.2
66,8690.5
66,8693.0
68,8703.4
68,8703.6
70,8702.8
70,8704.4
72,8696.1
72,8700.5
74,8699.5
74,8687.1
76,8690.2
76,8680.7
78,8678.9
78,8681.7
80,8691.8
80,8684.8
82,8678.4
82,8683.0
84,8683.0
84,8692.8
86,8695.1
86,8695.9
88,8684.0
88,8694.1
90,8702.8
90,8701.6
92,8699.0
92,8695.6
94,8687.4
94,8682.5
96,8692.0
96,8686.3
98,8683.3
98,8682.5
100,8682.2
100,8687.6
102,8709.0
102,8715.5
104,8707.7
104,8709.8
106,8710.8
106,8716.5
108,8721.9
108,8719.1
110,8705.2
110,8708.3
112,8724.0
112,8718.3
114,8711.9
114,8706.4
116,8701.0
116,8694.1
118,8690.7
118,8678.1
120,8675.0
120,8680.4
122,8676.8
122,8677.6
124,8678.1
124,8686.1
126,8680.2
126,8687.9
128,8682.2
128,8688.9
130,8697.7
130,8700.3
132,8701.3
132,8696.9
134,8707.5
134,8707.0
136,6446.5
136,6448.3
138,6449.6
138,6452.7
140,6452.5
140,6461.7
142,6469.0
142,6474.4
144,6470.0
144,6466.6
146,6461.7
146,6455.0
148,6447.1
148,6440.4
150,6430.0
150,6424.6
152,6420.2
152,6437.0
154,6688.6
154,6977.5
156,7260.8
156,7538.1
158,7802.8
158,8059.8
160,8313.4
160,8563.7
162,8777.6
162,9000.0
164,9195.1
164,9362.7
166,9524.0
166,9667.3
168,9779.4
168,9858.1
170,9889.5
170,9889.5
172,9889.5
172,9889.5
174,9889.5
174,9889.5
176,9839.2
176,9757.3
178,9636.1
178,9489.2
180,9317.0
180,9133.0
