t_sec,mem_available_mb
0,8920.4
1,7617.8
2,7615.2
4,7616.8
4,8203.4
6,8206.0
6,8214.7
8,8223.9
8,8237.4
9,8231.3
10,7811.7
11,7806.5
12,7809.3
13,7813.1
14,7805.1
15,7792.1
16,7785.9
17,7782.1
18,7968.5
19,7966.9
20,7964.5
21,7954.3
22,7951.2
23,7955.5
24,7950.3
25,7959.3
26,7975.4
27,7981.5
28,7979.9
29,7978.0
30,7984.1
31,7986.0
32,7990.3
34,7985.8
34,7972.8
36,7970.4
36,7972.8
38,7974.4
38,7966.1
40,7957.6
40,7954.6
42,7953.4
42,7956.0
44,7960.9
44,7961.9
46,7975.1
46,7989.1
48,7997.8
48,8004.9
50,8007.1
50,8005.4
52,7994.3
52,7993.8
54,7985.8
54,7984.4
56,7984.4
56,7984.4
58,7985.5
58,7987.0
60,7986.5
60,7987.7
62,7988.6
62,7980.8
64,7985.3
64,7974.9
66,7974.2
66,7976.6
68,7986.0
68,7986.2
70,7985.5
70,7987.0
72,7979.4
72,7983.4
74,7982.5
74,7971.1
76,7974.0
76,7965.2
78,7963.5
78,7966.1
80,7975.4
80,7969.0
82,7963.1
82,7967.3
84,7967.3
84,7976.3
86,7978.4
86,7979.2
88,7968.3
88,7977.5
90,7985.5
90,7984.4
92,7982.0
92,7978.9
94,7971.3
94,7966.9
96,7975.6
96,7970.4
98,7967.6
98,7966.9
100,7966.6
100,7971.6
102,7991.2
102,7997.1
104,7990.0
104,7991.9
106,7992.9
106,7998.1
108,8003.0
108,8000.4
110,7987.7
110,7990.5
112,8004.9
112,7999.7
114,7993.8
114,7988.9
116,7983.9
116,7977.5
118,7974.4
118,7962.8
120,7960.0
120,7965.0
122,7961.7
122,7962.4
124,7962.8
124,7970.2
126,7964.7
126,7971.8
128,7966.6
128,7972.8
130,7980.8
130,7983.2
132,7984.1
132,7980.1
134,7989.8
134,7989.3
136,5915.2
136,5916.8
138,5918.0
138,5920.9
140,5920.6
140,5929.1
142,5935.8
142,5940.7
144,5936.7
144,5933.6
146,5929.1
146,5923.0
148,5915.7
148,5909.5
150,5900.1
150,5895.1
152,5891.1
152,5906.4
154,6137.3
154,6402.4
156,6662.3
156,6916.8
158,7159.7
158,7395.5
160,7628.2
160,7857.8
162,8054.1
162,8258.2
164,8437.3
164,8591.0
166,8739.0
166,8870.5
168,8973.4
168,9045.5
170,9074.4
170,9074.4
172,9074.4
172,9074.4
174,9074.4
174,9074.4
176,9028.3
176,8953.1
178,8841.9
178,8707.1
180,8549.1
180,8380.3
