token_idx,layer_0_active_k,layer_1_active_k,layer_2_active_k,layer_3_active_k,layer_4_active_k,layer_5_active_k,layer_6_active_k,layer_7_active_k,layer_8_active_k,layer_9_active_k,layer_10_active_k,layer_11_active_k,layer_12_active_k,layer_13_active_k,layer_14_active_k,layer_15_active_k,total_active_experts,avg_active_experts_per_layer,expert_weight_demand_mib_no_kv
0,8,8,8,8,8,6,4,5,7,8,4,3,3,3,4,5,92,5.75,310.500000
1,8,8,8,8,8,7,7,7,6,4,3,3,3,7,5,5,97,6.0625,327.375000
2,7,8,8,8,8,8,8,8,8,8,7,6,5,2,3,2,104,6.5,351.000000
3,8,8,8,8,8,8,7,6,7,6,7,6,5,5,4,5,106,6.625,357.750000
4,8,7,8,7,7,7,8,6,8,7,7,7,6,5,7,7,112,7.0,378.000000
5,8,8,8,8,8,8,8,8,8,8,7,6,6,4,6,6,115,7.1875,388.125000
6,8,8,8,8,8,8,8,8,8,7,6,8,6,6,4,7,116,7.25,391.500000
7,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,8,125,7.8125,421.875000
8,8,8,8,8,8,8,8,8,8,7,7,6,7,8,7,8,122,7.625,411.750000
9,8,8,8,8,8,8,8,8,7,8,7,6,4,6,5,6,113,7.0625,381.375000
10,8,8,8,8,8,8,8,7,8,6,5,8,5,5,5,5,110,6.875,371.250000
11,8,8,8,8,2,8,8,7,6,5,4,5,4,3,4,6,94,5.875,317.250000
12,8,8,8,8,8,8,8,6,6,5,7,8,7,6,7,7,115,7.1875,388.125000
13,8,8,8,8,8,8,8,7,5,6,5,5,4,3,4,6,101,6.3125,340.875000
14,6,8,8,8,6,6,6,5,5,6,5,7,5,4,7,8,100,6.25,337.500000
15,8,8,8,8,8,8,8,8,7,6,6,5,4,6,5,5,108,6.75,364.500000
16,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,116,7.25,391.500000
17,7,8,7,8,8,8,7,6,7,5,6,6,5,4,5,6,103,6.4375,347.625000
18,8,8,8,7,8,7,5,5,5,4,5,5,4,4,5,5,93,5.8125,313.875000
19,8,8,8,8,8,8,7,5,5,5,4,4,4,3,3,4,92,5.75,310.500000
20,8,8,8,8,4,8,8,5,4,4,4,5,3,3,4,5,89,5.5625,300.375000
21,8,8,8,8,8,8,7,7,8,6,5,4,3,4,2,2,96,6.0,324.000000
22,7,8,7,7,5,6,5,5,6,6,6,6,4,4,6,4,92,5.75,310.500000
23,6,8,8,8,8,8,7,6,6,5,6,4,6,4,5,5,100,6.25,337.500000
24,8,8,8,8,8,8,8,6,7,6,5,5,4,4,4,4,101,6.3125,340.875000
25,8,8,8,8,8,8,8,6,5,5,4,5,4,3,3,4,95,5.9375,320.625000
26,8,8,8,8,7,7,6,5,5,5,5,6,6,7,7,8,106,6.625,357.750000
27,8,8,8,8,8,8,8,8,8,7,7,7,5,5,6,5,114,7.125,384.750000
28,8,8,8,8,8,8,8,8,8,8,7,7,4,5,7,6,116,7.25,391.500000
29,8,8,8,8,8,8,8,8,8,8,6,6,4,5,4,5,110,6.875,371.250000
30,8,8,8,8,8,8,8,8,6,8,5,5,4,4,4,5,105,6.5625,354.375000
31,8,8,8,8,8,7,6,6,6,6,5,6,4,6,5,8,105,6.5625,354.375000
32,8,8,8,8,8,8,8,7,7,6,7,8,5,5,6,7,114,7.125,384.750000
33,8,8,8,8,8,8,7,6,6,5,5,4,4,5,5,7,102,6.375,344.250000
34,8,8,8,8,2,8,8,5,4,5,4,5,3,3,5,5,89,5.5625,300.375000
35,8,8,8,8,7,7,6,6,6,6,6,7,5,7,6,8,109,6.8125,367.875000
36,8,8,8,8,8,8,8,8,8,7,7,8,5,5,6,6,116,7.25,391.500000
37,8,8,8,8,8,8,8,8,8,7,6,8,6,5,6,6,116,7.25,391.500000
38,8,8,8,8,8,8,7,5,6,5,5,7,7,5,6,6,107,6.6875,361.125000
39,8,6,8,8,8,8,8,7,8,6,6,5,6,6,6,8,112,7.0,378.000000
40,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,8,120,7.5,405.000000
41,8,8,8,8,8,8,8,6,8,6,6,8,6,5,6,7,114,7.125,384.750000
42,8,8,8,8,8,8,8,8,8,8,5,7,6,6,5,6,115,7.1875,388.125000
43,8,8,8,8,8,8,8,8,8,6,6,5,3,4,5,5,106,6.625,357.750000
44,7,8,8,8,7,8,8,8,8,6,5,6,5,4,5,4,105,6.5625,354.375000
45,6,8,7,7,6,7,7,5,6,7,6,8,5,5,7,6,103,6.4375,347.625000
46,8,8,6,8,8,8,8,8,7,8,7,6,5,6,6,7,114,7.125,384.750000
47,8,8,8,8,8,8,8,8,8,8,6,6,4,6,6,5,113,7.0625,381.375000
48,8,8,8,8,8,8,8,8,8,6,6,8,7,6,6,7,118,7.375,398.250000
49,8,8,8,8,8,8,8,8,7,8,7,6,4,4,4,4,108,6.75,364.500000
50,8,8,8,8,8,8,7,6,7,5,6,6,6,7,6,8,112,7.0,378.000000
51,8,8,8,8,8,8,8,6,6,7,8,6,4,3,4,4,104,6.5,351.000000
52,8,8,8,8,8,8,5,5,5,6,5,6,5,5,6,8,104,6.5,351.000000
53,8,8,8,8,8,8,8,8,8,8,8,8,3,3,5,4,111,6.9375,374.625000
54,8,8,8,8,8,7,6,7,8,5,4,3,4,3,2,3,92,5.75,310.500000
55,8,8,8,6,6,7,5,6,6,6,6,7,6,6,6,8,105,6.5625,354.375000
56,8,8,8,8,8,8,8,8,8,8,6,8,6,7,7,7,121,7.5625,408.375000
57,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,4,115,7.1875,388.125000
58,8,8,8,8,8,8,8,8,7,6,6,5,4,3,4,4,103,6.4375,347.625000
59,8,8,8,8,5,6,5,5,6,5,6,7,5,5,3,3,93,5.8125,313.875000
60,6,4,8,6,5,8,8,8,8,7,4,4,3,3,2,3,87,5.4375,293.625000
61,8,8,7,5,8,8,8,8,6,6,3,2,2,3,3,2,87,5.4375,293.625000
62,8,5,3,7,4,7,7,7,8,7,5,3,3,4,4,3,85,5.3125,286.875000
63,8,8,8,8,8,8,8,8,8,4,6,5,5,3,4,1,100,6.25,337.500000
64,5,8,8,8,8,8,8,8,8,8,5,4,4,2,5,3,100,6.25,337.500000
65,6,7,7,7,5,6,8,8,8,6,6,5,5,5,5,5,99,6.1875,334.125000
66,8,8,6,8,6,7,8,8,8,6,7,5,4,5,6,5,105,6.5625,354.375000
67,8,8,8,8,8,8,8,8,8,8,6,5,3,3,2,2,101,6.3125,340.875000
68,8,8,7,7,7,7,7,7,6,7,6,7,6,6,7,6,109,6.8125,367.875000
69,8,8,8,8,8,8,8,8,8,8,6,6,5,5,5,7,114,7.125,384.750000
70,8,8,8,8,8,8,8,8,8,8,7,8,5,6,6,5,117,7.3125,394.875000
71,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,127,7.9375,428.625000
72,8,8,8,8,8,8,8,8,8,8,6,7,6,6,5,7,117,7.3125,394.875000
73,8,8,8,8,8,8,8,8,8,8,8,7,5,6,6,6,118,7.375,398.250000
74,7,8,8,8,7,7,7,7,7,8,8,8,5,5,6,6,112,7.0,378.000000
75,8,8,8,8,8,8,8,8,8,8,6,8,4,5,2,2,107,6.6875,361.125000
76,6,8,6,7,8,8,8,8,8,6,7,7,6,4,5,6,108,6.75,364.500000
77,7,8,8,8,8,8,8,7,7,6,6,5,4,4,6,6,106,6.625,357.750000
78,7,8,8,8,8,8,8,8,7,7,8,8,7,5,7,8,120,7.5,405.000000
79,8,8,8,8,8,8,8,7,5,7,7,7,5,3,4,6,107,6.6875,361.125000
80,8,8,8,8,8,8,6,5,6,6,6,6,5,5,5,5,103,6.4375,347.625000
81,8,8,8,8,8,8,8,6,6,7,5,5,3,4,4,3,99,6.1875,334.125000
82,8,8,8,8,8,8,8,6,5,4,5,5,3,2,4,4,94,5.875,317.250000
83,6,7,8,8,5,7,8,6,8,6,4,5,5,3,3,3,92,5.75,310.500000
84,7,8,8,7,6,7,6,5,6,5,6,7,6,5,6,6,101,6.3125,340.875000
85,8,8,8,8,8,8,8,8,8,6,5,6,3,5,4,4,105,6.5625,354.375000
86,8,8,8,8,8,8,8,7,6,5,4,5,4,3,4,4,98,6.125,330.750000
87,8,8,7,8,8,5,7,7,6,7,5,8,4,5,2,3,98,6.125,330.750000
88,5,7,8,7,5,6,4,5,6,6,7,7,6,7,6,7,99,6.1875,334.125000
89,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,5,117,7.3125,394.875000
90,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,6,118,7.375,398.250000
91,8,8,8,8,8,8,8,8,8,8,7,7,5,5,5,5,114,7.125,384.750000
92,8,8,8,8,8,8,8,8,7,8,6,6,4,4,4,5,108,6.75,364.500000
93,8,8,8,8,8,8,6,7,7,6,6,7,4,7,5,7,110,6.875,371.250000
94,8,8,8,8,8,8,8,8,8,7,8,8,5,5,5,6,116,7.25,391.500000
95,8,8,8,8,8,8,8,7,7,7,6,5,4,6,4,7,109,6.8125,367.875000
96,8,8,8,8,8,8,8,6,5,5,5,6,4,3,6,7,103,6.4375,347.625000
97,8,8,8,8,8,8,6,6,7,6,8,8,6,7,6,8,116,7.25,391.500000
98,8,8,8,8,8,8,8,8,8,8,7,8,5,5,5,5,115,7.1875,388.125000
99,8,8,8,8,8,8,8,8,8,8,7,8,6,5,5,6,117,7.3125,394.875000
100,8,8,8,8,8,8,8,7,8,5,5,6,4,3,4,6,104,6.5,351.000000
101,8,8,8,8,8,8,7,6,8,7,5,6,6,5,6,6,110,6.875,371.250000
102,8,8,8,8,8,8,8,6,6,8,7,6,4,4,4,5,106,6.625,357.750000
103,8,8,8,8,8,7,6,5,7,6,6,8,6,7,6,8,112,7.0,378.000000
104,8,8,8,8,8,8,8,8,8,8,7,7,5,5,6,6,116,7.25,391.500000
105,8,8,8,8,8,8,8,7,6,6,6,6,4,4,5,6,106,6.625,357.750000
106,7,8,8,8,8,8,8,8,8,7,8,5,6,7,5,6,115,7.1875,388.125000
107,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8,118,7.375,398.250000
108,8,8,8,8,8,8,8,5,5,6,3,3,3,3,5,6,95,5.9375,320.625000
109,8,8,8,8,8,8,8,8,8,6,5,7,5,7,5,6,113,7.0625,381.375000
110,8,8,8,8,8,8,8,8,8,7,8,5,4,4,6,6,112,7.0,378.000000
111,7,8,8,8,8,8,8,8,8,7,6,8,5,5,8,7,117,7.3125,394.875000
112,8,8,8,8,8,8,8,8,8,8,7,8,6,6,7,7,121,7.5625,408.375000
113,8,8,8,8,8,8,7,7,6,5,7,8,5,5,4,4,106,6.625,357.750000
114,8,7,8,7,7,8,8,6,7,7,7,8,7,5,5,8,113,7.0625,381.375000
115,8,8,8,8,8,8,8,8,8,8,6,6,4,6,5,7,114,7.125,384.750000
116,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,126,7.875,425.250000
117,8,8,8,8,8,8,8,8,8,8,7,8,5,6,5,6,117,7.3125,394.875000
118,8,8,8,8,8,8,8,7,6,6,6,8,6,6,7,8,116,7.25,391.500000
119,8,8,8,8,8,8,8,8,7,7,6,8,8,7,7,8,122,7.625,411.750000
120,8,8,8,8,8,8,8,8,8,8,7,8,6,6,5,6,118,7.375,398.250000
121,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,116,7.25,391.500000
122,8,8,8,8,8,8,8,8,8,8,6,8,6,5,5,5,115,7.1875,388.125000
123,8,8,8,8,8,8,8,8,7,5,6,6,4,4,5,7,108,6.75,364.500000
124,8,8,8,8,8,8,8,6,6,5,6,6,6,5,5,8,109,6.8125,367.875000
125,8,8,8,8,8,8,8,8,8,8,7,8,5,4,5,7,116,7.25,391.500000
126,8,8,8,7,7,8,8,7,6,6,6,5,7,6,5,8,110,6.875,371.250000
127,8,8,8,8,8,8,8,8,6,8,8,7,5,5,5,6,114,7.125,384.750000
128,7,8,8,8,8,8,7,6,6,6,6,7,7,7,5,8,112,7.0,378.000000
129,8,8,8,8,8,8,8,8,8,8,8,8,6,5,4,7,118,7.375,398.250000
130,5,8,8,8,8,8,8,7,7,7,7,8,7,7,6,8,117,7.3125,394.875000
131,8,8,8,8,8,8,8,8,8,8,6,8,6,6,6,6,118,7.375,398.250000
132,7,8,8,8,8,8,8,8,8,7,7,7,6,5,7,8,118,7.375,398.250000
133,8,8,8,8,8,8,8,8,8,8,7,8,5,5,6,7,118,7.375,398.250000
134,8,8,8,8,8,8,8,7,7,6,6,8,5,4,4,4,107,6.6875,361.125000
135,8,8,8,7,8,8,8,7,7,6,7,7,7,6,6,8,116,7.25,391.500000
136,8,8,8,8,8,8,8,8,8,8,6,6,5,6,4,6,113,7.0625,381.375000
137,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
138,8,8,8,8,8,8,8,8,8,8,7,8,6,6,6,6,119,7.4375,401.625000
139,8,8,8,8,8,8,8,8,8,8,5,6,6,5,6,7,115,7.1875,388.125000
140,8,8,8,8,8,8,8,8,8,8,8,8,6,5,6,6,119,7.4375,401.625000
141,8,8,8,8,8,8,8,8,8,8,7,7,7,5,6,7,119,7.4375,401.625000
142,8,8,8,8,8,8,8,8,8,6,6,8,6,5,5,7,115,7.1875,388.125000
143,8,8,8,8,8,8,8,8,8,8,6,8,8,7,8,8,125,7.8125,421.875000
144,8,8,8,8,8,8,8,8,8,8,8,8,6,6,7,7,122,7.625,411.750000
145,8,8,8,8,8,8,8,8,8,7,6,4,4,5,4,5,107,6.6875,361.125000
146,8,8,8,8,8,8,8,8,8,7,8,7,6,5,5,6,116,7.25,391.500000
147,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,126,7.875,425.250000
148,8,8,8,8,8,8,8,8,8,8,7,7,5,5,5,4,113,7.0625,381.375000
149,8,8,8,8,8,8,8,8,7,7,6,6,5,5,5,6,111,6.9375,374.625000
150,7,8,8,7,7,8,6,6,8,6,6,7,7,7,7,8,113,7.0625,381.375000
151,8,8,8,8,8,8,8,8,8,8,8,8,6,8,6,8,124,7.75,418.500000
152,8,8,8,8,8,8,8,8,8,8,7,6,6,5,6,4,114,7.125,384.750000
153,8,8,8,8,8,8,8,8,8,6,6,6,4,3,4,3,104,6.5,351.000000
154,8,8,8,8,8,8,8,8,8,7,6,8,5,4,4,3,109,6.8125,367.875000
155,5,8,8,7,5,7,7,7,7,7,5,8,7,7,7,8,110,6.875,371.250000
156,8,8,8,8,8,8,8,8,8,8,8,8,5,4,5,3,113,7.0625,381.375000
157,6,8,8,8,8,8,8,8,8,7,7,7,4,3,4,3,105,6.5625,354.375000
158,8,8,8,8,5,8,8,8,7,8,7,8,5,6,3,3,108,6.75,364.500000
159,6,5,8,7,4,8,7,8,7,8,7,8,8,7,7,8,113,7.0625,381.375000
160,8,8,8,8,8,8,8,8,8,8,7,8,8,7,6,5,121,7.5625,408.375000
161,8,8,8,8,8,8,8,8,8,8,5,6,6,5,5,7,114,7.125,384.750000
162,5,8,8,8,8,8,7,8,7,6,7,8,7,5,6,6,112,7.0,378.000000
