id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00000,summary,1.415059,2.457597,5.680032,44,32,0,156.951406
req_00001,reasoning,3.465465,6.729014,9.863591,41,32,0,195.616823
req_00002,summary,4.602563,10.914864,14.022629,78,32,1,0.000000
req_00003,reasoning,6.392782,14.882560,18.003401,44,32,1,0.000000
req_00004,hebrew,6.805848,19.014887,22.121264,48,32,0,149.636094
req_00005,hebrew,13.573122,22.917314,26.006003,43,32,1,0.000000
req_00006,reasoning,13.592630,26.896175,29.980305,44,32,1,0.000000
req_00007,reasoning,19.211061,30.769644,33.867099,43,32,1,0.000000
req_00008,reasoning,20.361727,34.664835,37.769506,49,32,1,0.000000
req_00009,hebrew,20.962795,38.652994,41.816248,39,32,1,0.000000
req_00010,reasoning,22.045067,42.674711,45.751347,49,32,1,0.000000
req_00011,reasoning,22.669358,46.536933,49.631575,43,32,1,0.000000
req_00012,hebrew,24.468898,50.521852,53.598501,48,32,1,0.000000
req_00013,reasoning,26.616299,54.494461,57.582270,42,32,1,0.000000
req_00014,hebrew,30.384800,58.426354,61.504616,48,32,1,0.000000
req_00015,hebrew,30.828942,62.293269,65.391252,42,32,1,0.000000
req_00016,hebrew,37.118289,66.187482,69.276779,46,32,1,0.000000
req_00017,reasoning,38.590003,70.173735,73.256229,49,32,1,0.000000
req_00018,reasoning,39.286749,74.042118,77.140352,48,32,1,0.000000
req_00019,reasoning,41.053879,77.927659,81.033021,46,32,1,0.000000
req_00020,summary,41.204002,81.939023,85.039591,43,32,0,59.959792
req_00021,reasoning,41.324095,85.887457,89.005243,43,32,1,0.000000
req_00022,reasoning,43.771228,89.798995,92.904113,41,32,1,0.000000
req_00023,summary,45.317039,93.743275,96.837386,42,32,1,0.000000
req_00024,reasoning,49.708969,97.674703,100.752876,43,32,1,0.000000
req_00025,summary,50.659277,101.601031,104.687252,42,32,1,0.000000
req_00026,summary,51.701913,105.476249,108.569386,44,32,1,0.000000
req_00027,hebrew,54.063423,109.488581,112.582220,48,32,0,64.607605
req_00028,reasoning,55.116494,113.494274,116.592401,44,32,0,60.491718
req_00029,summary,55.160832,117.510003,120.604939,49,32,0,59.850989
req_00030,reasoning,55.747390,121.461624,124.250222,48,29,1,0.000000
req_00031,summary,57.775907,125.105304,128.212504,48,32,1,0.000000
req_00032,hebrew,59.045368,129.131316,132.232242,42,32,0,68.715625
