id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00000,reasoning,0.000000,0.900378,1.291779,44,4,0,55.622135
req_00001,hebrew,0.000000,2.159357,2.531878,49,4,0,60.700156
req_00002,summary,0.000000,3.416094,3.803584,49,4,0,69.395625
req_00003,hebrew,0.000000,4.657172,5.049914,41,4,0,61.441875
req_00004,summary,0.000000,5.899567,6.285817,44,4,0,56.625833
req_00005,hebrew,0.000000,7.123024,7.517150,39,4,0,64.020833
req_00006,summary,0.000000,8.373746,8.759137,44,4,0,62.579167
req_00007,reasoning,0.000000,9.629112,10.008607,44,4,0,63.413854
req_00008,summary,0.000000,11.011479,11.397944,78,4,0,60.612605
req_00009,hebrew,0.000000,12.249175,12.641162,43,4,0,57.967344
req_00010,hebrew,0.000000,13.581121,13.967404,78,4,1,0.000000
req_00011,hebrew,0.000000,14.750128,15.131713,44,4,1,0.000000
req_00012,reasoning,0.000000,16.006088,16.384895,48,4,0,68.982864
req_00013,summary,0.000000,17.239640,17.630199,41,4,0,59.140104
req_00014,reasoning,0.000000,18.479954,18.870458,44,4,0,60.462968
req_00015,summary,0.000000,19.725963,20.104116,48,4,0,62.572761
req_00016,hebrew,0.000000,20.950564,21.339026,43,4,0,50.229167
req_00017,reasoning,0.000000,22.187666,22.576343,42,4,0,57.612447
req_00018,reasoning,0.000000,23.369535,23.748567,44,4,1,0.000000
req_00019,reasoning,0.000000,24.532849,24.921687,44,4,1,0.000000
req_00020,reasoning,0.000000,25.710531,26.107058,41,4,1,0.000000
req_00021,reasoning,0.000000,26.896816,27.284060,41,4,1,0.000000
req_00022,hebrew,0.000000,28.166945,28.553124,49,4,0,72.005469
req_00023,summary,0.000000,29.549787,29.935690,78,4,0,58.889948
req_00024,summary,0.000000,30.729010,31.114269,44,4,1,0.000000
req_00025,summary,0.000000,31.900854,32.294116,42,4,1,0.000000
req_00026,summary,0.000000,33.081440,33.470946,42,4,1,0.000000
req_00027,reasoning,0.000000,34.344065,34.726587,43,4,0,69.238542
req_00028,hebrew,0.000000,35.604335,35.984075,43,4,0,68.380469
req_00029,reasoning,0.000000,36.837186,37.224595,49,4,0,61.036302
req_00030,reasoning,0.000000,38.008692,38.390190,48,4,1,0.000000
req_00031,reasoning,0.000000,39.181583,39.560214,48,4,1,0.000000
req_00032,reasoning,0.000000,40.349219,40.727983,44,4,1,0.000000
req_00033,summary,0.000000,41.600161,41.979799,44,4,0,68.184219
req_00034,hebrew,0.000000,43.002178,43.384045,78,4,0,64.615938
req_00035,reasoning,0.000000,44.227557,44.609028,42,4,0,58.371823
req_00036,summary,0.000000,45.449717,45.836740,41,4,0,54.397916
