id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00002,reasoning,3.569682,5.665293,9.396151,44,19,0,78.271823
req_00003,reasoning,3.905478,5.665293,12.421056,48,24,0,78.271823
req_00004,reasoning,4.701510,10.752239,17.094993,48,24,1,0.000000
req_00005,reasoning,4.740453,13.315321,20.134718,49,24,1,0.000000
req_00001,hebrew,1.479919,21.867646,26.423497,43,24,0,88.206823
req_00007,hebrew,4.819692,21.867646,26.423497,44,24,0,88.206823
req_00000,summary,1.366023,2.291722,28.389576,48,24,0,67.613542
req_00009,summary,8.235484,27.406075,39.219235,46,24,1,0.000000
req_00010,summary,9.446263,29.756513,41.087371,49,24,1,0.000000
req_00006,reasoning,4.801185,18.449950,45.804977,48,24,1,0.000000
req_00008,hebrew,7.753140,47.681746,60.530938,44,24,1,0.000000
req_00013,hebrew,12.063461,47.681746,60.530938,78,24,1,0.000000
req_00012,reasoning,11.470383,42.071449,62.120013,44,24,1,0.000000
req_00011,summary,10.517547,40.090806,73.060577,42,24,1,0.000000
req_00014,reasoning,13.282043,61.521710,85.068761,41,24,1,0.000000
req_00016,summary,13.995907,63.569429,87.005875,48,24,1,0.000000
req_00017,reasoning,14.220785,74.497456,90.145176,41,24,1,0.000000
req_00019,reasoning,14.767301,88.464667,94.819612,46,24,1,0.000000
req_00015,hebrew,13.850854,96.498205,101.033561,42,24,1,0.000000
req_00021,hebrew,16.078093,96.498205,101.033561,44,24,1,0.000000
req_00020,reasoning,15.580883,91.045490,105.267150,46,24,1,0.000000
req_00018,summary,14.236011,86.027072,116.161972,44,24,1,0.000000
req_00022,reasoning,17.918070,103.282855,120.242931,48,24,1,0.000000
req_00023,reasoning,19.421444,103.282855,120.242931,42,24,1,0.000000
req_00024,summary,19.853743,106.682632,124.499704,49,24,1,0.000000
req_00025,hebrew,19.983964,126.290189,130.855204,78,24,1,0.000000
req_00026,hebrew,21.286267,126.290189,130.855204,44,24,1,0.000000
req_00027,summary,21.474434,121.700921,137.641658,43,24,1,0.000000
req_00028,summary,22.003121,132.594511,138.846013,49,24,1,0.000000
req_00029,summary,23.630988,132.594511,138.846013,46,24,1,0.000000
req_00030,reasoning,23.871672,140.527260,145.067324,48,24,1,0.000000
req_00031,reasoning,23.910410,140.527260,145.067324,48,24,1,0.000000
req_00032,hebrew,24.090156,146.698897,151.252437,44,24,1,0.000000
req_00033,hebrew,24.156017,146.698897,151.252437,44,24,1,0.000000
req_00035,reasoning,25.996401,153.784173,169.072730,43,24,1,0.000000
req_00036,reasoning,27.571691,153.784173,169.072730,48,24,1,0.000000
req_00037,reasoning,29.005242,153.784173,169.072730,48,24,1,0.000000
req_00038,reasoning,29.297379,170.644357,175.222643,41,24,1,0.000000
req_00039,reasoning,29.788248,170.644357,175.222643,41,24,1,0.000000
req_00034,summary,24.822238,176.063298,178.237064,43,24,1,0.000000
req_00040,hebrew,29.958369,179.131248,181.283372,41,24,1,0.000000
