id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00000,reasoning,0.046511,0.954230,8.295557,48,32,0,54.364011
req_00003,reasoning,3.159980,4.335982,9.497178,44,19,1,0.000000
req_00004,hebrew,6.496256,11.210266,17.350834,42,32,0,94.520729
req_00005,hebrew,7.132850,11.210266,17.350834,39,32,0,94.520729
req_00002,reasoning,2.417438,3.346399,22.029120,39,32,1,0.000000
req_00008,reasoning,9.195627,23.475821,34.736178,44,17,1,0.000000
req_00006,reasoning,8.303794,19.080143,35.327629,44,32,1,0.000000
req_00007,reasoning,8.936053,19.080143,35.327629,42,32,1,0.000000
req_00010,reasoning,11.450632,36.924655,42.639157,48,29,1,0.000000
req_00011,reasoning,11.490783,36.924655,43.712592,49,32,1,0.000000
req_00012,reasoning,11.519425,43.526872,50.314756,44,32,1,0.000000
req_00009,hebrew,10.908605,52.136474,58.264552,78,32,1,0.000000
req_00014,hebrew,11.863677,52.136474,58.264552,49,32,1,0.000000
req_00001,summary,1.300926,59.991465,66.076077,44,32,0,79.186093
req_00016,summary,12.984792,59.991465,66.076077,49,32,0,79.186093
req_00013,reasoning,11.811932,44.596593,68.957450,46,32,1,0.000000
req_00015,reasoning,12.247198,68.300086,74.837115,49,32,1,0.000000
req_00017,reasoning,13.042956,68.300086,74.837115,41,32,1,0.000000
req_00018,hebrew,14.130128,76.512672,82.607740,48,32,1,0.000000
req_00019,hebrew,15.172225,76.512672,82.607740,43,32,1,0.000000
req_00020,reasoning,15.817466,85.885707,109.424210,44,32,1,0.000000
req_00021,reasoning,15.831128,85.885707,109.424210,39,32,1,0.000000
req_00022,reasoning,18.280188,85.885707,109.424210,41,32,1,0.000000
req_00023,reasoning,18.546211,85.885707,109.424210,39,32,1,0.000000
req_00025,reasoning,23.913156,110.992124,117.079326,48,32,1,0.000000
req_00026,reasoning,25.028673,110.992124,117.079326,44,32,1,0.000000
req_00028,reasoning,25.779997,118.655768,122.369401,44,19,1,0.000000
req_00029,reasoning,26.535917,118.655768,125.381697,43,32,1,0.000000
req_00030,reasoning,28.978673,123.249279,130.002112,46,32,1,0.000000
req_00031,reasoning,29.303006,126.260628,130.002112,44,19,1,0.000000
req_00024,hebrew,20.403591,131.704312,149.012556,49,32,1,0.000000
req_00033,hebrew,29.621108,131.704312,149.012556,41,32,1,0.000000
req_00032,reasoning,29.498207,151.496932,160.684517,49,32,1,0.000000
req_00034,reasoning,32.667915,151.496932,160.684517,49,32,1,0.000000
req_00035,reasoning,35.078245,151.496932,160.684517,46,32,1,0.000000
req_00036,reasoning,37.546494,161.794021,179.122994,43,32,1,0.000000
req_00037,reasoning,38.723049,161.794021,179.122994,42,32,1,0.000000
req_00027,summary,25.483741,180.754485,186.830568,42,32,1,0.000000
req_00039,summary,43.331740,180.754485,186.830568,44,32,1,0.000000
req_00038,hebrew,42.419795,189.360333,209.868465,43,32,1,0.000000
req_00040,hebrew,43.816192,189.360333,209.868465,48,32,1,0.000000
req_00041,hebrew,46.543838,189.360333,209.868465,46,32,1,0.000000
req_00044,reasoning,48.264460,212.442406,231.560198,48,29,1,0.000000
req_00042,reasoning,46.706077,212.442406,231.962511,78,32,1,0.000000
req_00043,reasoning,48.057825,212.442406,231.962511,48,32,1,0.000000
req_00046,summary,49.631474,233.633968,239.692529,41,32,1,0.000000
req_00048,summary,50.668803,233.633968,239.692529,43,32,1,0.000000
req_00047,reasoning,49.654953,242.211938,262.671998,41,32,1,0.000000
req_00049,reasoning,50.780491,242.211938,262.671998,43,32,1,0.000000
req_00050,reasoning,53.079872,242.211938,262.671998,48,32,1,0.000000
req_00045,hebrew,49.566483,264.310016,270.434215,41,32,1,0.000000
req_00051,hebrew,54.122806,264.310016,270.434215,41,32,1,0.000000
req_00053,reasoning,54.544443,272.102782,278.193717,48,32,1,0.000000
req_00054,reasoning,54.819410,272.102782,278.193717,46,32,1,0.000000
req_00056,reasoning,55.769042,279.848517,297.167124,48,32,1,0.000000
req_00057,reasoning,58.625688,279.848517,297.167124,44,32,1,0.000000
req_00052,summary,54.376921,298.059279,300.955282,41,32,1,0.000000
req_00055,hebrew,55.074277,301.802183,304.722753,42,32,1,0.000000
