id,adapter_id,arrival,first_token,finish,n_input_tokens,n_output_tokens,cache_hit,acquire_ms
req_00001,reasoning,1.187996,3.152229,8.909569,44,19,1,0.000000
req_00000,reasoning,0.561368,1.482689,11.151213,46,32,0,77.971250
req_00003,hebrew,2.548308,12.834604,18.951048,42,32,0,63.308490
req_00005,hebrew,7.576713,12.834604,18.951048,41,32,0,63.308490
req_00002,reasoning,1.335301,3.152229,19.924725,49,32,1,0.000000
req_00004,summary,5.627840,21.760470,39.005372,42,32,0,133.514948
req_00006,summary,7.800415,21.760470,39.005372,48,32,0,133.514948
req_00007,reasoning,8.663604,19.924725,49.399001,44,17,1,0.000000
req_00010,summary,13.220502,51.058711,57.080361,39,32,1,0.000000
req_00011,summary,13.938219,51.058711,57.080361,42,32,1,0.000000
req_00009,hebrew,12.015332,58.907446,64.969497,44,32,1,0.000000
req_00012,hebrew,14.465827,58.907446,64.969497,78,32,1,0.000000
req_00008,reasoning,11.956834,40.463090,70.814163,44,32,1,0.000000
req_00014,reasoning,16.934681,66.700352,82.811484,42,32,1,0.000000
req_00015,reasoning,17.113003,66.700352,82.811484,46,32,1,0.000000
req_00016,reasoning,18.152324,72.250562,88.606108,41,32,1,0.000000
req_00017,reasoning,25.424617,84.476029,100.607189,44,32,1,0.000000
req_00018,reasoning,25.748383,84.476029,100.607189,41,32,1,0.000000
req_00019,reasoning,28.175648,90.040791,104.267550,42,32,1,0.000000
req_00021,reasoning,30.502212,101.492922,108.299797,42,32,1,0.000000
req_00022,reasoning,31.627058,105.146481,112.130930,41,32,1,0.000000
req_00023,reasoning,32.975354,109.328592,116.139801,78,32,1,0.000000
req_00020,hebrew,28.225259,117.796638,123.892964,39,32,1,0.000000
req_00025,hebrew,38.286147,117.796638,123.892964,42,32,1,0.000000
req_00026,hebrew,42.408506,125.471661,131.570185,48,32,1,0.000000
req_00027,hebrew,47.990829,125.471661,131.570185,42,32,1,0.000000
req_00024,reasoning,36.480916,112.998516,135.274566,39,32,1,0.000000
req_00028,reasoning,52.117958,132.523755,145.526828,43,32,1,0.000000
req_00029,hebrew,54.169567,147.157584,153.286306,48,32,1,0.000000
req_00031,hebrew,55.557027,147.157584,153.286306,46,32,1,0.000000
req_00013,summary,15.580634,154.135304,157.047825,44,32,1,0.000000
req_00030,reasoning,54.821596,136.603017,158.524147,39,32,1,0.000000
