backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,1.086094,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,2359296,7.322604,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-0","MUL_MAT","f32",-1,2,-1,2048,10,1,1,81920,1.244219,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_q_norm.weight","","",-1,-1,7,0,0,0,0,8192,0.194114,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,6,-1,128,16,10,1,81920,0.348958,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,2359296,3.853230,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-0","MUL_MAT","f32",-1,7,-1,2048,10,1,1,81920,1.529739,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_k_norm.weight","","",-1,-1,8,0,0,0,0,8192,0.219271,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,11,-1,128,16,10,1,81920,0.421354,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,2359296,3.789740,1,"decode_ensure"
"OpenCL","COMPUTE","Vcur-0","MUL_MAT","f32",-1,12,-1,2048,10,1,1,81920,1.646459,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,15,-1,2048,512,1,1,2097152,0.445260,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,17,-1,2048,512,1,1,2097152,0.203750,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,24,-1,256,64,1,1,32768,0.198542,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,25,-1,128,16,10,1,81920,1.239479,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,2359296,4.474114,1,"decode_ensure"
"OpenCL","COMPUTE","node_28","MUL_MAT","f32",-1,27,-1,2048,10,1,1,81920,1.660886,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-0","ADD","f32",-1,28,-1,2048,10,1,1,81920,0.428229,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_gate_inp.weight","","",-1,-1,10,0,0,0,0,524288,2.347969,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-0","MUL_MAT","f32",-1,31,-1,64,10,1,1,2560,0.683334,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-0","SOFT_MAX","f32",-1,32,-1,64,10,1,1,2560,0.217344,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-0","ARGSORT","i32",-1,34,-1,64,10,1,1,2560,0.203437,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-0","GET_ROWS","f32",-1,36,-1,1,8,10,1,320,0.194739,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_gate_exps.weight","","",-1,-1,11,0,0,0,0,75497472,109.006927,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_gate-0","MUL_MAT_ID","f32",-1,38,-1,1024,8,10,1,327680,16.703802,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_up_exps.weight","","",-1,-1,13,0,0,0,0,75497472,65.969427,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_up-0","MUL_MAT_ID","f32",-1,39,-1,1024,8,10,1,327680,7.965521,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weighted-0","GLU","f32",-1,40,-1,1024,8,10,1,327680,0.162135,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_down_exps.weight","","",-1,-1,12,0,0,0,0,75497472,63.403385,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_down-0","MUL_MAT_ID","f32",-1,41,-1,2048,8,10,1,655360,8.178907,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_43","MUL","f32",-1,42,-1,2048,8,10,1,655360,0.457135,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_52","ADD","f32",-1,51,-1,2048,10,1,1,81920,0.149323,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_53","ADD","f32",-1,52,-1,2048,10,1,1,81920,0.135312,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_54","ADD","f32",-1,53,-1,2048,10,1,1,81920,0.144011,1,"clFinish_profiled"
