backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,11.800365,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","Qcur-0","MUL_MAT","f32",-1,2,-1,4096,20,1,1,327680,2.258959,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,4,-1,128,32,20,1,327680,1.258489,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","MUL_MAT","f32",-1,5,-1,1024,20,1,1,81920,1.976042,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,7,-1,128,8,20,1,81920,0.846927,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","MUL_MAT","f32",-1,8,-1,1024,20,1,1,81920,2.241198,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,11,-1,1024,512,1,1,1048576,1.452136,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,13,-1,1024,512,1,1,1048576,0.926093,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,20,-1,256,64,1,1,32768,1.453490,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,21,-1,128,32,20,1,327680,5.843490,1,"clFinish_profiled"
"OpenCL","COMPUTE","attn_out-0","MUL_MAT","f32",-1,23,-1,4096,20,1,1,327680,2.410000,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-0","ADD","f32",-1,24,-1,4096,20,1,1,327680,1.127708,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-0","MUL_MAT","f32",-1,27,-1,14336,20,1,1,1146880,3.624948,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-0","MUL_MAT","f32",-1,28,-1,14336,20,1,1,1146880,3.687656,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_swiglu-0","GLU","f32",-1,29,-1,14336,20,1,1,1146880,1.213021,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-0","MUL_MAT","f32",-1,30,-1,4096,20,1,1,327680,5.008750,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-0","ADD","f32",-1,31,-1,4096,20,1,1,327680,1.266667,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","MUL_MAT","f32",-1,34,-1,4096,20,1,1,327680,2.336041,1,"clFinish_profiled"
