backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"OpenCL","LOAD","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,2359296,3.964323,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,2359296,0.000886,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,2359296,3.000729,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,2359296,2.312396,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,2359296,0.000937,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,2359296,1.860416,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,2359296,1.913854,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,2359296,0.001093,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,2359296,2.220468,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,2359296,1.886146,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,2359296,0.001458,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,2359296,2.471354,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,9437184,14.337291,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,9437184,0.001667,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,9437184,6.413646,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,9437184,5.165990,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,9437184,0.001250,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,9437184,3.887604,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,9437184,4.298594,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,9437184,0.001614,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,9437184,3.948021,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,9437184,4.433542,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,9437184,0.001823,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,9437184,3.898958,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,33030144,40.665990,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,33030144,0.001406,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,33030144,18.035260,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,33030144,13.853594,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,33030144,0.001094,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,33030144,11.367864,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_up.weight","","",-1,-1,10,0,0,0,0,33030144,12.937344,1,"plan_stage"
