backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE","inp_embd","GET_ROWS","",-1,0,-1,2048,10,1,1,81920,0.570260,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.570260,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","attn_norm-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.062552,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0","MUL_MAT","",-1,1,-1,2048,10,1,1,81920,4.811198,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,4.873750,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","Qcur_normed-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.121354,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur_normed-0 (reshaped)","RESHAPE","",-1,1,-1,128,16,10,1,81920,0.001250,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0","ROPE","",-1,2,-1,128,16,10,1,81920,2.211719,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0","MUL_MAT","",-1,3,-1,2048,10,1,1,81920,1.730677,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,4,-1,0,0,0,0,0,4.065000,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","Kcur_normed-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.062552,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur_normed-0 (reshaped)","RESHAPE","",-1,1,-1,128,16,10,1,81920,0.002240,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0","ROPE","",-1,2,-1,128,16,10,1,81920,0.067708,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0","MUL_MAT","",-1,3,-1,2048,10,1,1,81920,1.404532,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0","RESHAPE","",-1,4,-1,128,16,10,1,81920,0.001406,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0 (view)","VIEW","",-1,5,-1,2048,10,1,1,81920,0.001146,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view)","SET_ROWS","",-1,6,-1,2048,512,1,1,2097152,0.018906,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0 (view)","VIEW","",-1,7,-1,2048,10,1,1,81920,0.001042,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view)","SET_ROWS","",-1,8,-1,2048,512,1,1,2097152,0.018437,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view)","VIEW","",-1,9,-1,128,16,256,1,1048576,0.000886,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view) (permuted)","PERMUTE","",-1,10,-1,128,256,16,1,1048576,0.000886,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view) (permuted) (transposed)","TRANSPOSE","",-1,11,-1,256,128,16,1,1048576,0.000886,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","v_cont-0","CONT","",-1,12,-1,256,128,16,1,1048576,0.901667,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view)","VIEW","",-1,13,-1,128,16,256,1,1048576,0.000938,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view) (permuted)","PERMUTE","",-1,14,-1,128,256,16,1,1048576,0.000885,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0 (view)","VIEW","",-1,15,-1,128,16,10,1,81920,0.000833,1,"chunk_size_1"
