backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE","inp_embd","GET_ROWS","",-1,0,-1,2048,10,1,1,81920,0.358854,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.358854,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","attn_norm-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.107032,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0","MUL_MAT","",-1,1,-1,2048,10,1,1,81920,3.642865,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,3.749897,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","Qcur_normed-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.124114,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur_normed-0 (reshaped)","RESHAPE","",-1,1,-1,128,16,10,1,81920,0.000729,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0","ROPE","",-1,2,-1,128,16,10,1,81920,0.160208,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0","MUL_MAT","",-1,3,-1,2048,10,1,1,81920,1.185052,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,4,-1,0,0,0,0,0,1.470103,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","Kcur_normed-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.111875,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur_normed-0 (reshaped)","RESHAPE","",-1,1,-1,128,16,10,1,81920,0.000573,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0","ROPE","",-1,2,-1,128,16,10,1,81920,0.150260,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0","MUL_MAT","",-1,3,-1,2048,10,1,1,81920,1.577448,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0","RESHAPE","",-1,4,-1,128,16,10,1,81920,0.000781,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0 (view)","VIEW","",-1,5,-1,2048,10,1,1,81920,0.000573,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view)","SET_ROWS","",-1,6,-1,2048,512,1,1,2097152,0.010208,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0 (view)","VIEW","",-1,7,-1,2048,10,1,1,81920,0.000521,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view)","SET_ROWS","",-1,8,-1,2048,512,1,1,2097152,0.010260,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view)","VIEW","",-1,9,-1,128,16,256,1,1048576,0.000573,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view) (permuted)","PERMUTE","",-1,10,-1,128,256,16,1,1048576,0.000417,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view) (permuted) (transposed)","TRANSPOSE","",-1,11,-1,256,128,16,1,1048576,0.000468,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","v_cont-0","CONT","",-1,12,-1,256,128,16,1,1048576,2.851146,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view)","VIEW","",-1,13,-1,128,16,256,1,1048576,0.000729,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view) (permuted)","PERMUTE","",-1,14,-1,128,256,16,1,1048576,0.000417,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0 (view)","VIEW","",-1,15,-1,128,16,10,1,81920,0.000520,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0 (view) (permuted)","PERMUTE","",-1,16,-1,128,10,16,1,81920,0.000625,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","kq-0","MUL_MAT","",-1,17,-1,256,10,16,1,163840,0.360000,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","kq_soft_max-0","SOFT_MAX","",-1,18,-1,256,10,16,1,163840,0.448698,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","kqv-0","MUL_MAT","",-1,19,-1,128,10,16,1,81920,0.198333,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","kqv-0 (permuted)","PERMUTE","",-1,20,-1,128,16,10,1,81920,0.000834,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","kqv_out-0","CONT","",-1,21,-1,2048,10,1,1,81920,0.103906,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","node_32","MUL_MAT","",-1,22,-1,2048,10,1,1,81920,2.187083,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","ffn_inp-0","ADD","",-1,23,-1,2048,10,1,1,81920,0.050000,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,24,-1,0,0,0,0,0,8.066248,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","ffn_norm-0","MUL","",-1,0,-1,2048,10,1,1,81920,0.050834,1,"chunk_size_1"
