backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,1.074635,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,3.242917,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,2.604583,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.503281,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,2.619219,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,0.359115,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.457239,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.531927,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,7,-1,2048,512,1,1,2097152,0.168542,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,9,-1,2048,512,1,1,2097152,0.160261,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,16,-1,256,64,1,1,32768,0.162396,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,17,-1,128,16,10,1,81920,1.190833,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,2.497083,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_gate_inp.weight","","",-1,-1,7,0,0,0,0,524288,2.006927,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-0","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.627135,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-0","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.160990,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-0","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.173542,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-0","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.143334,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,29.562917,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,3.016042,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.attn_q_norm.weight","","",-1,-1,10,0,0,0,0,8192,0.759896,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-1","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.398125,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,4.452916,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.attn_k_norm.weight","","",-1,-1,11,0,0,0,0,8192,0.357812,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-1","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.530313,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-1","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.651511,1,"clFinish_profiled"
