backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"OpenCL","LOAD","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,2.627135,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,0.022396,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,0.000625,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,0.007708,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_norm.weight","","",-1,-1,2,0,0,0,0,8192,0.237344,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_norm.weight","","",-1,-1,2,0,0,0,0,8192,0.002188,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_norm.weight","","",-1,-1,2,0,0,0,0,8192,0.000468,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_norm.weight","","",-1,-1,2,0,0,0,0,8192,0.003073,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,0.403177,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,0.002395,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,0.000416,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,0.003333,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_norm.weight","","",-1,-1,6,0,0,0,0,8192,0.283125,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_norm.weight","","",-1,-1,6,0,0,0,0,8192,0.001511,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_norm.weight","","",-1,-1,6,0,0,0,0,8192,0.000313,1,"plan_stage"
"OpenCL","PREPARE","blk.0.ffn_norm.weight","","",-1,-1,6,0,0,0,0,8192,0.003021,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_gate_inp.weight","","",-1,-1,7,0,0,0,0,524288,0.888021,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_gate_inp.weight","","",-1,-1,7,0,0,0,0,524288,0.025313,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_gate_inp.weight","","",-1,-1,7,0,0,0,0,524288,0.000261,1,"plan_stage"
