backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.911979,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,3.467604,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,2.563698,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.478229,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,1.994219,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,0.325521,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.411093,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.494219,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,7,-1,2048,512,1,1,2097152,0.129948,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,9,-1,2048,512,1,1,2097152,0.126927,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,16,-1,256,64,1,1,32768,0.127395,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,17,-1,128,16,10,1,81920,1.189063,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,1.789167,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_gate_inp.weight","","",-1,-1,7,0,0,0,0,524288,1.862083,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-0","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.604531,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-0","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.139740,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-0","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.137344,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-0","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.122864,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,25.273385,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,3.308073,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.attn_q_norm.weight","","",-1,-1,10,0,0,0,0,8192,0.766927,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-1","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.420260,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,3.065573,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.attn_k_norm.weight","","",-1,-1,11,0,0,0,0,8192,0.344584,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-1","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.450208,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-1","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.507865,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l1 (view)","SET_ROWS","f16",-1,7,-1,2048,512,1,1,2097152,0.177969,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l1 (view)","SET_ROWS","f16",-1,9,-1,2048,512,1,1,2097152,0.177448,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-1","FLASH_ATTN_EXT","f32",-1,16,-1,128,16,10,1,81920,1.194896,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,4.002813,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.ffn_gate_inp.weight","","",-1,-1,13,0,0,0,0,524288,1.723750,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-1","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.679583,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-1","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.205000,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-1","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.171198,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-1","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.201928,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,42.584480,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,2.518802,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.2.attn_q_norm.weight","","",-1,-1,15,0,0,0,0,8192,0.786928,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-2","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.435313,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,2.705833,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.2.attn_k_norm.weight","","",-1,-1,16,0,0,0,0,8192,0.338072,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-2","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.428021,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,3,-1,0,0,0,0,0,4.457604,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","cache_k_l2 (view)","SET_ROWS","f16",-1,0,-1,2048,512,1,1,2097152,0.447395,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l2 (view)","SET_ROWS","f16",-1,2,-1,2048,512,1,1,2097152,0.169062,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-2","FLASH_ATTN_EXT","f32",-1,9,-1,128,16,10,1,81920,1.189844,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,3.934166,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.2.ffn_gate_inp.weight","","",-1,-1,18,0,0,0,0,524288,1.662552,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-2","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.671614,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-2","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.205365,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-2","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.202500,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-2","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.196355,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,37.083541,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,2.006146,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.3.attn_q_norm.weight","","",-1,-1,20,0,0,0,0,8192,0.740209,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-3","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.415000,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,2.402656,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.3.attn_k_norm.weight","","",-1,-1,21,0,0,0,0,8192,0.304791,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-3","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.414948,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,3,-1,0,0,0,0,0,3.104115,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","cache_k_l3 (view)","SET_ROWS","f16",-1,0,-1,2048,512,1,1,2097152,0.431354,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l3 (view)","SET_ROWS","f16",-1,2,-1,2048,512,1,1,2097152,0.155468,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-3","FLASH_ATTN_EXT","f32",-1,9,-1,128,16,10,1,81920,1.241354,1,"clFinish_profiled"
