backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.519375,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,1.536407,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_q_norm.weight","","",-1,-1,4,0,0,0,0,8192,2.113854,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.373698,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,1.073854,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_k_norm.weight","","",-1,-1,5,0,0,0,0,8192,0.311563,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.360521,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.486667,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,7,-1,2048,512,1,1,2097152,0.127552,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,9,-1,2048,512,1,1,2097152,0.122552,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,16,-1,256,64,1,1,32768,0.117500,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,17,-1,128,16,10,1,81920,1.133750,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,1.094896,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_gate_inp.weight","","",-1,-1,7,0,0,0,0,524288,1.263802,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-0","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.603490,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-0","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.133907,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-0","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.130521,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-0","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.122031,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,13.192344,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.802292,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.attn_q_norm.weight","","",-1,-1,10,0,0,0,0,8192,0.827552,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-1","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.388125,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.660208,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.attn_k_norm.weight","","",-1,-1,11,0,0,0,0,8192,0.286719,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-1","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.363229,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-1","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.464531,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l1 (view)","SET_ROWS","f16",-1,7,-1,2048,512,1,1,2097152,0.132552,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l1 (view)","SET_ROWS","f16",-1,9,-1,2048,512,1,1,2097152,0.130157,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-1","FLASH_ATTN_EXT","f32",-1,16,-1,128,16,10,1,81920,1.158855,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,0.689635,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.1.ffn_gate_inp.weight","","",-1,-1,13,0,0,0,0,524288,1.009323,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-1","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.592240,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-1","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.127552,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-1","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.127552,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-1","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.121823,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,11.419479,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.799323,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.2.attn_q_norm.weight","","",-1,-1,15,0,0,0,0,8192,0.727240,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-2","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.350781,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.796615,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.2.attn_k_norm.weight","","",-1,-1,16,0,0,0,0,8192,0.280990,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-2","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.346250,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,3,-1,0,0,0,0,0,0.841510,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","cache_k_l2 (view)","SET_ROWS","f16",-1,0,-1,2048,512,1,1,2097152,0.332708,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l2 (view)","SET_ROWS","f16",-1,2,-1,2048,512,1,1,2097152,0.122291,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-2","FLASH_ATTN_EXT","f32",-1,9,-1,128,16,10,1,81920,1.134792,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,0.819375,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.2.ffn_gate_inp.weight","","",-1,-1,18,0,0,0,0,524288,1.014583,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-2","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.581302,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-2","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.123125,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-2","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.126146,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-2","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.117552,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,10.195729,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.837031,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.3.attn_q_norm.weight","","",-1,-1,20,0,0,0,0,8192,0.712031,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-3","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.348750,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.684740,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.3.attn_k_norm.weight","","",-1,-1,21,0,0,0,0,8192,0.264323,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-3","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.355833,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,3,-1,0,0,0,0,0,0.683646,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","cache_k_l3 (view)","SET_ROWS","f16",-1,0,-1,2048,512,1,1,2097152,0.319688,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l3 (view)","SET_ROWS","f16",-1,2,-1,2048,512,1,1,2097152,0.126459,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-3","FLASH_ATTN_EXT","f32",-1,9,-1,128,16,10,1,81920,1.154323,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,0.690521,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.3.ffn_gate_inp.weight","","",-1,-1,23,0,0,0,0,524288,0.913958,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-3","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.609167,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-3","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.129584,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-3","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.131354,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-3","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.119896,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,21,-1,0,0,0,0,0,10.158594,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.826250,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.4.attn_q_norm.weight","","",-1,-1,26,0,0,0,0,8192,0.680104,1,"decode_ensure"
"OpenCL","COMPUTE","Qcur-4","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.353386,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.686042,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.4.attn_k_norm.weight","","",-1,-1,27,0,0,0,0,8192,0.279375,1,"decode_ensure"
"OpenCL","COMPUTE","Kcur-4","ROPE","f32",-1,3,-1,128,16,10,1,81920,0.363282,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-4","MUL_MAT","f32",-1,4,-1,2048,10,1,1,81920,1.471771,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l4 (view)","SET_ROWS","f16",-1,7,-1,2048,512,1,1,2097152,0.130208,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l4 (view)","SET_ROWS","f16",-1,9,-1,2048,512,1,1,2097152,0.119739,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-4","FLASH_ATTN_EXT","f32",-1,16,-1,128,16,10,1,81920,1.164271,1,"clFinish_profiled"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,2,-1,0,0,0,0,0,0.828489,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.4.ffn_gate_inp.weight","","",-1,-1,29,0,0,0,0,524288,0.946302,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_moe_logits-4","MUL_MAT","f32",-1,2,-1,64,10,1,1,2560,0.632760,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_probs-4","SOFT_MAX","f32",-1,3,-1,64,10,1,1,2560,0.114479,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_argsort-4","ARGSORT","i32",-1,5,-1,64,10,1,1,2560,0.121823,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_moe_weights-4","GET_ROWS","f32",-1,7,-1,1,8,10,1,320,0.110937,1,"clFinish_profiled"
