backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"OpenCL","LOAD","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,121856,2.851302,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,121856,0.004219,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,121856,0.140781,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,121856,0.147709,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,121856,0.214115,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,121856,0.000156,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,121856,0.029791,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,121856,0.033750,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,852992,1.142344,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,852992,0.000208,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,852992,0.353229,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,852992,0.357240,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,852992,0.762396,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,852992,0.000521,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,852992,0.118750,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,852992,0.122604,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,4630528,3.930990,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,4630528,0.000886,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,4630528,2.818385,1,"plan_stage"
"OpenCL","PREPARE","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,4630528,2.824531,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,4630528,2.077761,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,4630528,0.000469,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,4630528,6.642291,1,"plan_stage"
"OpenCL","PREPARE","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,4630528,6.647031,1,"plan_stage"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.549896,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","norm-0","RMS_NORM","f32",-1,0,-1,896,18,1,1,64512,0.478750,1,"clFinish_profiled"
"OpenCL","COMPUTE","attn_norm-0","MUL","f32",-1,0,-1,896,18,1,1,64512,0.212552,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_3","MUL_MAT","f32",-1,0,-1,896,18,1,1,64512,1.107343,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ADD","f32",-1,0,-1,896,18,1,1,64512,0.190417,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,0,-1,64,14,18,1,64512,0.269688,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_7","MUL_MAT","f32",-1,0,-1,128,18,1,1,9216,0.350625,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ADD","f32",-1,0,-1,128,18,1,1,9216,0.188594,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,0,-1,64,2,18,1,9216,0.191510,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_11","MUL_MAT","f32",-1,0,-1,128,18,1,1,9216,0.332865,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","ADD","f32",-1,0,-1,128,18,1,1,9216,0.185625,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,0,-1,128,512,1,1,131072,0.190730,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,0,-1,128,512,1,1,131072,0.177604,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,0,-1,256,64,1,1,32768,0.204115,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,0,-1,64,14,18,1,64512,1.939323,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_27","MUL_MAT","f32",-1,0,-1,896,18,1,1,64512,1.661719,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-0","ADD","f32",-1,0,-1,896,18,1,1,64512,0.653333,1,"clFinish_profiled"
"OpenCL","COMPUTE","norm-0","RMS_NORM","f32",-1,0,-1,896,18,1,1,64512,0.354687,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_norm-0","MUL","f32",-1,0,-1,896,18,1,1,64512,0.342812,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-0","MUL_MAT","f32",-1,0,-1,4864,18,1,1,350208,5.293542,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-0","MUL_MAT","f32",-1,0,-1,4864,18,1,1,350208,5.656355,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_swiglu-0","GLU","f32",-1,0,-1,4864,18,1,1,350208,0.987240,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-0","MUL_MAT","f32",-1,0,-1,896,18,1,1,64512,5.245989,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-0","ADD","f32",-1,0,-1,896,18,1,1,64512,0.845677,1,"clFinish_profiled"
"OpenCL","COMPUTE","norm-1","RMS_NORM","f32",-1,0,-1,896,18,1,1,64512,0.803958,1,"clFinish_profiled"
"OpenCL","COMPUTE","attn_norm-1","MUL","f32",-1,0,-1,896,18,1,1,64512,0.419375,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_38","MUL_MAT","f32",-1,0,-1,896,18,1,1,64512,1.462812,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","ADD","f32",-1,0,-1,896,18,1,1,64512,0.738698,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","ROPE","f32",-1,0,-1,64,14,18,1,64512,0.532448,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_42","MUL_MAT","f32",-1,0,-1,128,18,1,1,9216,0.885365,1,"clFinish_profiled"
