backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,10.332396,1,"delegate_cpu_graph"
"OpenCL","RELOAD_ENSURE","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,13647872,42.075209,1,"decode_ensure"
"OpenCL","COMPUTE","node_3","MUL_MAT","f32",-1,2,-1,3584,10,1,1,143360,4.464584,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ADD","f32",-1,3,-1,3584,10,1,1,143360,0.157760,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,5,-1,128,28,10,1,143360,0.150416,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,1949696,0.608854,1,"decode_ensure"
"OpenCL","COMPUTE","node_7","MUL_MAT","f32",-1,6,-1,512,10,1,1,20480,0.918073,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ADD","f32",-1,7,-1,512,10,1,1,20480,0.125782,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,9,-1,128,4,10,1,20480,0.116979,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,1949696,0.643177,1,"decode_ensure"
"OpenCL","COMPUTE","node_11","MUL_MAT","f32",-1,10,-1,512,10,1,1,20480,0.854010,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","ADD","f32",-1,11,-1,512,10,1,1,20480,0.113073,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,14,-1,512,512,1,1,524288,0.139948,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,16,-1,512,512,1,1,524288,0.103959,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,23,-1,256,64,1,1,32768,0.134427,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,24,-1,128,28,10,1,143360,1.546979,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,13647872,7.174791,1,"decode_ensure"
"OpenCL","COMPUTE","node_27","MUL_MAT","f32",-1,26,-1,3584,10,1,1,143360,4.469271,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-0","ADD","f32",-1,27,-1,3584,10,1,1,143360,0.487552,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,72138752,98.530052,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_gate-0","MUL_MAT","f32",-1,30,-1,18944,10,1,1,757760,28.179323,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_up.weight","","",-1,-1,10,0,0,0,0,72138752,43.616875,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_up-0","MUL_MAT","f32",-1,31,-1,18944,10,1,1,757760,23.084375,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_swiglu-0","GLU","f32",-1,32,-1,18944,10,1,1,757760,0.543333,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,72138752,51.913490,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_out-0","MUL_MAT","f32",-1,33,-1,3584,10,1,1,143360,22.333125,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-0","ADD","f32",-1,34,-1,3584,10,1,1,143360,0.595312,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,13647872,32.266042,1,"decode_ensure"
"OpenCL","COMPUTE","node_38","MUL_MAT","f32",-1,37,-1,3584,10,1,1,143360,4.645417,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","ADD","f32",-1,38,-1,3584,10,1,1,143360,0.213334,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","ROPE","f32",-1,40,-1,128,28,10,1,143360,0.136562,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,1949696,0.172292,1,"decode_ensure"
