backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"OpenCL","LOAD","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,1949696,3.032917,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,1949696,0.004896,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,1949696,1.074896,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_k.weight","","",-1,-1,4,0,0,0,0,1949696,1.083802,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,1949696,1.478333,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,1949696,0.000834,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,1949696,1.749792,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_v.weight","","",-1,-1,5,0,0,0,0,1949696,1.755938,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,1949696,1.794322,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,1949696,0.000990,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,1949696,1.760157,1,"plan_stage"
"OpenCL","PREPARE","blk.1.attn_k.weight","","",-1,-1,13,0,0,0,0,1949696,1.766094,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,1949696,1.906302,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,1949696,0.000833,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,1949696,1.727969,1,"plan_stage"
"OpenCL","PREPARE","blk.1.attn_v.weight","","",-1,-1,14,0,0,0,0,1949696,1.733438,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,13647872,12.554011,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,13647872,0.001198,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,13647872,6.018281,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_output.weight","","",-1,-1,6,0,0,0,0,13647872,6.025105,1,"plan_stage"
"OpenCL","LOAD","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,13647872,5.509323,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,13647872,0.000677,1,"plan_stage"
"OpenCL","XFORM","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,13647872,6.744583,1,"plan_stage"
"OpenCL","PREPARE","blk.0.attn_q.weight","","",-1,-1,3,0,0,0,0,13647872,6.750572,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,13647872,5.845261,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,13647872,0.000833,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,13647872,6.417813,1,"plan_stage"
"OpenCL","PREPARE","blk.1.attn_output.weight","","",-1,-1,15,0,0,0,0,13647872,6.422552,1,"plan_stage"
"OpenCL","LOAD","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,13647872,5.697604,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,13647872,0.000833,1,"plan_stage"
"OpenCL","XFORM","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,13647872,6.347916,1,"plan_stage"
"OpenCL","PREPARE","blk.1.attn_q.weight","","",-1,-1,12,0,0,0,0,13647872,6.352396,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,72138752,60.684739,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,72138752,0.001875,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,72138752,56.195677,1,"plan_stage"
"OpenCL","PREPARE","blk.0.ffn_down.weight","","",-1,-1,9,0,0,0,0,72138752,56.212396,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,72138752,28.571927,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,72138752,0.003125,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,72138752,40.424323,1,"plan_stage"
"OpenCL","PREPARE","blk.0.ffn_gate.weight","","",-1,-1,8,0,0,0,0,72138752,40.449531,1,"plan_stage"
"OpenCL","LOAD","blk.0.ffn_up.weight","","",-1,-1,10,0,0,0,0,72138752,25.570834,1,"plan_stage"
"OpenCL","TRANSFER","blk.0.ffn_up.weight","","",-1,-1,10,0,0,0,0,72138752,0.001979,1,"plan_stage"
"OpenCL","XFORM","blk.0.ffn_up.weight","","",-1,-1,10,0,0,0,0,72138752,33.458020,1,"plan_stage"
"OpenCL","PREPARE","blk.0.ffn_up.weight","","",-1,-1,10,0,0,0,0,72138752,33.483542,1,"plan_stage"
"OpenCL","LOAD","blk.1.ffn_down.weight","","",-1,-1,18,0,0,0,0,72138752,26.453541,1,"plan_stage"
"OpenCL","TRANSFER","blk.1.ffn_down.weight","","",-1,-1,18,0,0,0,0,72138752,0.001667,1,"plan_stage"
"OpenCL","XFORM","blk.1.ffn_down.weight","","",-1,-1,18,0,0,0,0,72138752,38.774948,1,"plan_stage"
"OpenCL","PREPARE","blk.1.ffn_down.weight","","",-1,-1,18,0,0,0,0,72138752,38.796458,1,"plan_stage"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,16.706458,1,"delegate_cpu_graph"
"OpenCL","COMPUTE","norm-0","RMS_NORM","f32",-1,0,-1,3584,10,1,1,143360,0.643281,1,"clFinish_profiled"
"OpenCL","COMPUTE","attn_norm-0","MUL","f32",-1,0,-1,3584,10,1,1,143360,0.581771,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_3","MUL_MAT","f32",-1,0,-1,3584,10,1,1,143360,2.610573,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ADD","f32",-1,0,-1,3584,10,1,1,143360,0.201979,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-0","ROPE","f32",-1,0,-1,128,28,10,1,143360,0.247083,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_7","MUL_MAT","f32",-1,0,-1,512,10,1,1,20480,0.381406,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ADD","f32",-1,0,-1,512,10,1,1,20480,0.160990,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-0","ROPE","f32",-1,0,-1,128,4,10,1,20480,0.173333,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_11","MUL_MAT","f32",-1,0,-1,512,10,1,1,20480,0.378802,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-0","ADD","f32",-1,0,-1,512,10,1,1,20480,0.157865,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l0 (view)","SET_ROWS","f16",-1,0,-1,512,512,1,1,524288,0.194636,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l0 (view)","SET_ROWS","f16",-1,0,-1,512,512,1,1,524288,0.162083,1,"clFinish_profiled"
"OpenCL","COMPUTE"," (copy)","CPY","f16",-1,0,-1,256,64,1,1,32768,0.205260,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-0","FLASH_ATTN_EXT","f32",-1,0,-1,128,28,10,1,143360,2.023594,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_27","MUL_MAT","f32",-1,0,-1,3584,10,1,1,143360,2.211823,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-0","ADD","f32",-1,0,-1,3584,10,1,1,143360,0.291771,1,"clFinish_profiled"
"OpenCL","COMPUTE","norm-0","RMS_NORM","f32",-1,0,-1,3584,10,1,1,143360,0.204010,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_norm-0","MUL","f32",-1,0,-1,3584,10,1,1,143360,0.196563,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_gate-0","MUL_MAT","f32",-1,0,-1,18944,10,1,1,757760,10.698021,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_up-0","MUL_MAT","f32",-1,0,-1,18944,10,1,1,757760,10.785416,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_swiglu-0","GLU","f32",-1,0,-1,18944,10,1,1,757760,0.324688,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-0","MUL_MAT","f32",-1,0,-1,3584,10,1,1,143360,10.860052,1,"clFinish_profiled"
"OpenCL","COMPUTE","l_out-0","ADD","f32",-1,0,-1,3584,10,1,1,143360,0.223906,1,"clFinish_profiled"
"OpenCL","COMPUTE","norm-1","RMS_NORM","f32",-1,0,-1,3584,10,1,1,143360,0.203385,1,"clFinish_profiled"
"OpenCL","COMPUTE","attn_norm-1","MUL","f32",-1,0,-1,3584,10,1,1,143360,0.196770,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_38","MUL_MAT","f32",-1,0,-1,3584,10,1,1,143360,2.215573,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","ADD","f32",-1,0,-1,3584,10,1,1,143360,0.309792,1,"clFinish_profiled"
"OpenCL","COMPUTE","Qcur-1","ROPE","f32",-1,0,-1,128,28,10,1,143360,0.279010,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_42","MUL_MAT","f32",-1,0,-1,512,10,1,1,20480,0.482031,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-1","ADD","f32",-1,0,-1,512,10,1,1,20480,0.258646,1,"clFinish_profiled"
"OpenCL","COMPUTE","Kcur-1","ROPE","f32",-1,0,-1,128,4,10,1,20480,0.288958,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_46","MUL_MAT","f32",-1,0,-1,512,10,1,1,20480,0.474115,1,"clFinish_profiled"
"OpenCL","COMPUTE","Vcur-1","ADD","f32",-1,0,-1,512,10,1,1,20480,0.253229,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_k_l1 (view)","SET_ROWS","f16",-1,0,-1,512,512,1,1,524288,0.255521,1,"clFinish_profiled"
"OpenCL","COMPUTE","cache_v_l1 (view)","SET_ROWS","f16",-1,0,-1,512,512,1,1,524288,0.252032,1,"clFinish_profiled"
"OpenCL","COMPUTE","__fattn__-1","FLASH_ATTN_EXT","f32",-1,0,-1,128,28,10,1,143360,1.642448,1,"clFinish_profiled"
"OpenCL","COMPUTE","node_61","MUL_MAT","f32",-1,0,-1,3584,10,1,1,143360,2.262709,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_inp-1","ADD","f32",-1,0,-1,3584,10,1,1,143360,0.294427,1,"clFinish_profiled"
"OpenCL","COMPUTE","norm-1","RMS_NORM","f32",-1,0,-1,3584,10,1,1,143360,0.356666,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_norm-1","MUL","f32",-1,0,-1,3584,10,1,1,143360,0.099843,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.1.ffn_gate.weight","","",-1,-1,17,0,0,0,0,72138752,120.994739,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_gate-1","MUL_MAT","f32",-1,0,-1,18944,10,1,1,757760,28.254896,1,"clFinish_profiled"
"OpenCL","RELOAD_ENSURE","blk.1.ffn_up.weight","","",-1,-1,19,0,0,0,0,72138752,38.765052,1,"decode_ensure"
"OpenCL","COMPUTE","ffn_up-1","MUL_MAT","f32",-1,0,-1,18944,10,1,1,757760,21.751927,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_swiglu-1","GLU","f32",-1,0,-1,18944,10,1,1,757760,0.474792,1,"clFinish_profiled"
"OpenCL","COMPUTE","ffn_out-1","MUL_MAT","f32",-1,0,-1,3584,10,1,1,143360,10.982917,1,"clFinish_profiled"
