backend,kind,name,op,quant,token,op_id,weight_id,ne0,ne1,ne2,ne3,bytes,ms,ok,extra
"CPU_Elastic","COMPUTE","inp_embd","GET_ROWS","",-1,0,-1,4096,20,1,1,327680,0.361459,1,"chunk_size_1"
"CPU_Elastic","COMPUTE_GRAPH","ggml_cgraph","GRAPH","",-1,1,-1,0,0,0,0,0,0.361459,1,"delegate_cpu_graph"
"CPU_Elastic","COMPUTE","attn_norm-0","MUL","",-1,0,-1,4096,20,1,1,327680,0.333906,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0","MUL_MAT","",-1,1,-1,4096,20,1,1,327680,10.365729,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0 (reshaped)","RESHAPE","",-1,2,-1,128,32,20,1,327680,0.001614,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Qcur-0","ROPE","",-1,3,-1,128,32,20,1,327680,0.137396,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0","MUL_MAT","",-1,4,-1,1024,20,1,1,81920,2.521927,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0 (reshaped)","RESHAPE","",-1,5,-1,128,8,20,1,81920,0.000625,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0","ROPE","",-1,6,-1,128,8,20,1,81920,0.044166,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0","MUL_MAT","",-1,7,-1,1024,20,1,1,81920,2.444427,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0","RESHAPE","",-1,8,-1,128,8,20,1,81920,0.000469,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Kcur-0 (view)","VIEW","",-1,9,-1,1024,20,1,1,81920,0.000365,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view)","SET_ROWS","",-1,10,-1,1024,512,1,1,1048576,0.007656,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","Vcur-0 (view)","VIEW","",-1,11,-1,1024,20,1,1,81920,0.000521,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view)","SET_ROWS","",-1,12,-1,1024,512,1,1,1048576,0.006927,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view)","VIEW","",-1,13,-1,128,8,256,1,524288,0.000312,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view) (permuted)","PERMUTE","",-1,14,-1,128,256,8,1,524288,0.000573,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_v_l0 (view) (permuted) (transposed)","TRANSPOSE","",-1,15,-1,256,128,8,1,524288,0.000469,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","v_cont-0","CONT","",-1,16,-1,256,128,8,1,524288,0.755052,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view)","VIEW","",-1,17,-1,128,8,256,1,524288,0.000521,1,"chunk_size_1"
"CPU_Elastic","COMPUTE","cache_k_l0 (view) (permuted)","PERMUTE","",-1,18,-1,128,256,8,1,524288,0.000677,1,"chunk_size_1"
