run,kind,name,med_ms,ideal_ms,serial_ms,competition,speedup_vs_serial,classification,size_mib,rate_mib_s
llm-8b-ffn-kernels-only-slots-1,single,disk_load,8.059,,,,,,32.0,3970.8
llm-8b-ffn-kernels-only-slots-1,single,cpu_xform,11.330,,,,,,32.0,2824.3
llm-8b-ffn-kernels-only-slots-1,single,gpu_write,1.773,,,,,,32.0,18052.5
llm-8b-ffn-kernels-only-slots-1,single,gpu_write_raw,1.670,,,,,,31.5,18861.1
llm-8b-ffn-kernels-only-slots-1,single,gpu_write_two,3.012,,,,,,31.5,10458.6
llm-8b-ffn-kernels-only-slots-1,single,gpu_xform,13.413,,,,,,31.5,2348.5
llm-8b-ffn-kernels-only-slots-1,single,gpu_xform_kernels,8.394,,,,,,31.5,3752.7
llm-8b-ffn-kernels-only-slots-1,single,cpu_compute,186.849,,,,,,32.0,171.3
llm-8b-ffn-kernels-only-slots-1,single,gpu_compute,237.617,,,,,,32.0,134.7
llm-8b-ffn-kernels-only-slots-1,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute:kernels-only,7095.070,,7063.382,,1.00,pipeline,,3.38
llm-8b-ffn-kernels-only-slots-2,single,disk_load,6.955,,,,,,32.0,4601.3
llm-8b-ffn-kernels-only-slots-2,single,cpu_xform,11.335,,,,,,32.0,2823.0
llm-8b-ffn-kernels-only-slots-2,single,gpu_write,1.763,,,,,,32.0,18148.5
llm-8b-ffn-kernels-only-slots-2,single,gpu_write_raw,1.673,,,,,,31.5,18823.5
llm-8b-ffn-kernels-only-slots-2,single,gpu_write_two,2.821,,,,,,31.5,11168.1
llm-8b-ffn-kernels-only-slots-2,single,gpu_xform,15.189,,,,,,31.5,2073.9
llm-8b-ffn-kernels-only-slots-2,single,gpu_xform_kernels,8.387,,,,,,31.5,3755.7
llm-8b-ffn-kernels-only-slots-2,single,cpu_compute,186.840,,,,,,32.0,171.3
llm-8b-ffn-kernels-only-slots-2,single,gpu_compute,240.077,,,,,,32.0,133.3
llm-8b-ffn-kernels-only-slots-2,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute:kernels-only,5862.189,,11426.942,,1.95,pipeline,,4.09
llm-8b-ffn-kernels-only-slots-4,single,disk_load,6.289,,,,,,32.0,5088.1
llm-8b-ffn-kernels-only-slots-4,single,cpu_xform,11.336,,,,,,32.0,2822.8
llm-8b-ffn-kernels-only-slots-4,single,gpu_write,1.747,,,,,,32.0,18315.1
llm-8b-ffn-kernels-only-slots-4,single,gpu_write_raw,1.737,,,,,,31.5,18134.9
llm-8b-ffn-kernels-only-slots-4,single,gpu_write_two,2.842,,,,,,31.5,11085.0
llm-8b-ffn-kernels-only-slots-4,single,gpu_xform,14.877,,,,,,31.5,2117.4
llm-8b-ffn-kernels-only-slots-4,single,gpu_xform_kernels,8.112,,,,,,31.5,3883.4
llm-8b-ffn-kernels-only-slots-4,single,cpu_compute,186.848,,,,,,32.0,171.3
llm-8b-ffn-kernels-only-slots-4,single,gpu_compute,238.088,,,,,,32.0,134.4
llm-8b-ffn-kernels-only-slots-4,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute:kernels-only,5833.869,,11739.365,,2.01,pipeline,,4.11
llm-8b-ffn-kernels-only-slots-8,single,disk_load,7.074,,,,,,32.0,4523.8
llm-8b-ffn-kernels-only-slots-8,single,cpu_xform,11.327,,,,,,32.0,2825.1
llm-8b-ffn-kernels-only-slots-8,single,gpu_write,1.752,,,,,,32.0,18260.2
llm-8b-ffn-kernels-only-slots-8,single,gpu_write_raw,1.663,,,,,,31.5,18943.8
llm-8b-ffn-kernels-only-slots-8,single,gpu_write_two,3.017,,,,,,31.5,10442.2
llm-8b-ffn-kernels-only-slots-8,single,gpu_xform,15.346,,,,,,31.5,2052.7
llm-8b-ffn-kernels-only-slots-8,single,gpu_xform_kernels,8.397,,,,,,31.5,3751.3
llm-8b-ffn-kernels-only-slots-8,single,cpu_compute,186.874,,,,,,32.0,171.2
llm-8b-ffn-kernels-only-slots-8,single,gpu_compute,237.970,,,,,,32.0,134.5
llm-8b-ffn-kernels-only-slots-8,pipeline,disk_load->cpu_xform->gpu_xform->gpu_compute:kernels-only,5855.569,,12409.529,,2.12,pipeline,,4.10
