run,kind,name,med_ms,ideal_ms,serial_ms,competition,speedup_vs_serial,classification,size_mib,rate_mib_s
balanced-gpu-compute,single,disk_load,6.889,,,,,,32.0,4645.1
balanced-gpu-compute,single,cpu_xform,11.324,,,,,,32.0,2825.7
balanced-gpu-compute,single,gpu_write,1.617,,,,,,32.0,19790.0
balanced-gpu-compute,single,gpu_write_raw,0.374,,,,,,9.0,24046.7
balanced-gpu-compute,single,gpu_write_two,1.775,,,,,,9.0,5069.4
balanced-gpu-compute,single,gpu_xform,4.967,,,,,,9.0,1812.0
balanced-gpu-compute,single,gpu_xform_kernels,3.176,,,,,,9.0,2833.9
balanced-gpu-compute,single,cpu_compute,186.854,,,,,,32.0,171.3
balanced-gpu-compute,single,gpu_compute,238.263,,,,,,32.0,134.3
balanced-gpu-compute,overlap,disk_load+cpu_xform,11.084,11.324,18.213,0.98,1.64,good,,
balanced-gpu-compute,overlap,disk_load+gpu_xform,7.039,6.889,11.856,1.02,1.68,good,,
balanced-gpu-compute,overlap,disk_load+cpu_compute,188.359,186.854,193.743,1.01,1.03,poor,,
balanced-gpu-compute,overlap,disk_load+gpu_compute,239.558,238.263,245.151,1.01,1.02,poor,,
balanced-gpu-compute,overlap,cpu_xform+gpu_xform,11.237,11.324,16.291,0.99,1.45,good,,
balanced-gpu-compute,overlap,cpu_xform+cpu_compute,188.388,186.854,198.178,1.01,1.05,partial,,
balanced-gpu-compute,overlap,cpu_xform+gpu_compute,239.415,238.263,249.587,1.00,1.04,poor,,
balanced-gpu-compute,overlap,gpu_write+gpu_compute,243.961,238.263,239.879,1.02,0.98,poor,,
balanced-gpu-compute,overlap,gpu_write_raw+gpu_compute,240.224,238.263,238.637,1.01,0.99,poor,,
balanced-gpu-compute,overlap,gpu_write_two+gpu_compute,240.820,238.263,240.038,1.01,1.00,poor,,
balanced-gpu-compute,overlap,gpu_xform+gpu_compute,243.904,238.263,243.229,1.02,1.00,poor,,
balanced-gpu-compute,overlap,gpu_xform_kernels+gpu_compute,240.244,238.263,241.438,1.01,1.00,poor,,
balanced-gpu-compute,overlap,cpu_compute+gpu_compute,243.745,238.263,425.116,1.02,1.74,good,,
balanced-gpu-compute,overlap,disk_load+cpu_xform+gpu_xform+gpu_compute,244.834,238.263,261.443,1.03,1.07,partial,,
long-gpu-compute,single,disk_load,6.761,,,,,,32.0,4733.1
