t_sec,mem_available_mb
0,4634.1
0,4777.8
2,4732.1
2,4674.8
4,4758.6
4,4805.3
6,4804.8
6,4802.7
8,4751.8
8,4754.6
10,4811.1
10,4814.5
12,4820.5
12,4821.0
14,4612.0
14,4581.5
16,4688.6
16,4657.9
18,4689.3
18,4596.8
20,4594.9
20,4663.6
22,4555.1
22,4554.0
24,4549.9
24,4650.1
26,4728.1
26,4622.9
28,4454.0
28,4675.8
30,4581.2
30,4745.7
32,4753.4
32,4852.1
34,4965.2
34,5079.2
36,5186.4
36,5286.0
38,5279.2
38,5243.9
40,5178.1
40,5362.5
42,5630.4
42,5670.9
44,5684.1
44,5703.4
46,5705.9
46,5691.6
48,5667.8
48,5630.2
50,5353.5
50,5362.8
52,5238.7
52,5244.2
54,5064.5
54,5152.1
56,5052.2
56,4985.4
58,4872.0
58,4774.6
60,4763.4
60,4764.4
62,4762.9
62,4673.2
64,4607.3
64,4577.7
66,4607.3
66,4752.3
68,4751.7
68,4682.2
70,4683.1
70,4684.1
72,4684.5
72,4496.4
74,4690.1
74,4521.4
76,4620.6
76,4479.1
78,4733.7
78,4736.6
80,4743.4
80,4744.5
82,4746.4
82,4754.8
84,4463.1
84,4459.6
86,4502.1
86,4447.0
88,4443.3
88,4692.7
90,4712.3
90,4710.3
92,4730.8
92,4733.2
94,4731.8
94,4352.8
96,4551.9
96,4562.7
98,4488.9
98,4473.0
100,4742.0
100,4736.8
102,4672.9
102,4676.5
104,4676.2
104,4675.6
106,4676.7
106,4663.8
108,4473.7
108,4539.5
110,4455.1
110,4454.3
112,4396.7
112,4395.7
114,4688.6
114,4684.5
116,4387.0
116,4625.2
118,4627.6
118,4623.9
120,4621.8
120,4720.3
122,4497.7
122,4651.0
124,4463.1
124,4463.5
126,4069.6
126,4070.8
128,4376.8
128,4378.8
130,4381.4
130,4304.3
132,4303.2
132,4301.9
134,4096.6
134,4041.2
136,4184.4
136,4125.4
138,4104.7
138,4100.9
140,4296.2
140,4294.9
142,4375.4
142,4374.3
144,4288.7
144,4162.3
146,4149.1
146,4109.2
148,4055.3
148,4318.9
150,4325.2
150,4346.1
152,4346.8
152,4347.1
154,4347.2
154,4170.1
156,4124.7
156,4075.1
158,4017.6
158,4329.1
160,4363.4
160,4315.6
162,4311.2
162,4316.7
164,4315.3
164,4311.6
166,4263.9
166,4008.2
168,4172.2
168,4170.1
170,4169.0
170,4167.1
172,4345.2
172,4366.0
174,4366.9
174,4387.6
176,4390.6
176,4386.5
178,4382.3
178,4348.5
180,4126.9
180,4130.9
