t_sec,mem_available_mb
0,3752.1
0,4196.0
2,4200.7
2,4198.7
4,4197.0
4,4189.6
6,4190.6
6,4191.8
8,4193.8
8,4197.0
10,4198.2
10,4203.0
12,4200.9
12,4201.2
14,4202.7
14,4202.7
16,4202.0
16,4200.3
18,4197.2
18,4191.8
20,4193.9
20,4195.3
22,4477.2
22,4474.7
24,4473.1
24,4470.2
26,4467.6
26,4466.6
28,4467.1
28,4470.0
30,4470.4
30,4470.8
32,4472.5
32,4471.9
34,4472.5
34,4474.7
36,4475.6
36,4471.6
38,4469.4
38,4469.5
40,4262.3
40,4263.8
42,4265.2
42,4265.8
44,4263.7
44,4265.8
46,4269.7
46,4270.9
48,4271.5
48,4273.7
50,4276.8
50,4276.1
52,4280.1
52,4279.5
54,4276.7
54,4698.7
56,4697.1
56,4695.0
58,4695.9
58,4693.7
60,4690.3
60,4688.0
62,4691.0
62,4696.7
64,4790.6
64,4793.0
66,4790.2
66,4793.1
68,4793.5
68,4795.5
70,4792.8
70,4791.1
72,4790.4
72,4789.1
74,4789.2
74,4791.6
76,4795.0
76,4795.8
78,4795.6
78,4795.7
80,4796.5
80,4795.0
82,4793.0
82,4789.5
84,4782.0
84,4783.4
86,4787.2
86,4787.4
88,4786.2
88,4786.7
90,4787.9
90,4787.3
92,4792.0
92,5132.3
94,5126.4
94,5128.7
96,5130.7
96,4994.9
98,4995.4
98,4996.6
100,4995.0
100,4994.8
102,4996.4
102,4994.8
104,4995.1
104,4993.1
106,4994.0
106,4994.7
108,4996.7
108,4998.3
110,4999.6
110,5113.9
112,5116.7
112,5115.2
114,5115.8
114,5114.9
116,5543.6
116,5542.8
118,5544.5
118,5543.2
120,5542.0
120,5542.9
122,5538.5
122,5537.3
124,5534.2
124,5533.3
126,5533.6
126,5535.0
128,5532.4
128,5529.5
130,5530.5
130,5532.1
132,5534.2
132,5534.3
134,5528.8
134,5525.2
136,5528.9
136,5531.9
138,5531.0
138,5527.3
140,5529.6
140,5530.3
142,5532.6
142,5537.1
144,5535.4
144,5535.1
146,5540.9
146,5541.3
148,5539.5
148,5540.1
150,5538.8
150,5538.6
152,5539.4
152,5537.8
154,5533.3
154,5531.4
156,5529.3
156,5526.9
158,5078.6
158,5078.1
160,5123.7
160,4968.7
162,4968.1
162,4968.3
164,4966.8
164,4968.0
166,4968.9
166,4969.1
168,4965.9
168,4964.7
170,4966.9
170,4973.9
172,4977.3
172,4973.9
174,5222.0
174,4794.9
176,4795.8
176,4799.4
178,4799.1
178,4796.6
180,4795.3
180,4796.6
182,4800.6
182,4800.1
184,4801.2
184,4798.5
186,4799.2
186,4798.6
188,4800.0
188,4800.1
190,4796.1
190,4792.7
192,4792.9
192,4793.1
194,4789.5
194,4791.8
196,4795.3
196,4796.6
198,4798.2
198,4798.3
200,4798.4
200,4799.5
202,4799.8
202,4796.6
204,4797.0
204,4798.6
206,4797.7
206,4798.8
208,4797.5
208,4797.0
210,4800.3
210,4800.9
212,4797.1
212,4795.3
214,4794.8
214,4798.4
216,4800.4
216,4803.2
218,4799.2
218,4801.7
220,4802.5
220,4798.6
222,4798.9
222,4795.1
224,4792.1
224,4788.7
226,4790.0
226,4786.9
228,4786.3
228,4790.6
230,4790.0
230,4793.0
232,4800.4
232,4803.6
234,4807.8
234,4810.8
236,4808.0
236,4810.4
238,4814.4
238,4812.6
240,4807.5
240,4805.8
242,4804.1
242,4862.6
244,4953.9
244,5040.8
246,5124.8
246,5206.8
248,5282.5
248,5355.4
250,5424.5
250,5486.1
252,5542.5
252,5593.5
254,5631.1
254,5666.3
256,5693.2
256,5706.6
258,5713.8
258,5709.6
260,6135.2
260,5960.5
262,5932.2
262,5890.0
264,5841.6
264,5995.3
266,5929.2
266,5861.3
268,5784.7
268,5706.8
270,5623.1
270,5536.6
272,5446.3
272,5351.9
274,5295.3
274,5291.9
276,5293.2
276,5295.9
278,5294.6
278,5294.0
280,5295.5
280,5293.4
282,5289.7
282,5186.0
284,5184.2
284,5208.3
286,5208.0
286,5209.8
288,5207.8
288,5211.6
290,5213.2
290,5352.0
292,5387.2
292,5389.6
294,5390.3
294,5392.2
296,5393.3
296,5392.2
298,5392.8
298,5393.8
300,5392.0
300,5391.9
