t_sec,mem_available_mb
0,4352.0
0,4352.0
2,4352.0
2,4352.0
4,4352.0
4,4352.0
6,4352.0
6,4352.0
8,4352.0
8,4352.0
10,4352.0
10,4352.0
12,4352.0
12,4352.0
14,4352.0
14,4352.0
16,4352.0
16,4352.0
18,4352.0
18,4352.0
20,4352.0
20,4352.0
22,4352.0
22,4352.0
24,4352.0
24,4352.0
26,4352.0
26,4352.0
28,4352.0
28,4352.0
30,4352.0
30,4352.0
32,4352.0
32,4352.0
34,4352.0
34,4352.0
36,4352.0
36,4352.0
38,4352.0
38,4352.0
40,4352.0
40,4352.0
42,4352.0
42,4352.0
44,4352.0
44,4352.0
46,4352.0
46,4352.0
48,4352.0
48,4352.0
50,4352.0
50,4352.0
52,4352.0
52,4352.0
54,4352.0
54,4352.0
56,4352.0
56,4352.0
58,4352.0
58,4352.0
60,4352.0
60,4352.0
62,4352.0
62,4352.0
64,4352.0
64,4352.0
66,4352.0
66,4352.0
68,4352.0
68,4352.0
70,4352.0
70,4352.0
72,4352.0
72,4352.0
74,4352.0
74,4352.0
76,4352.0
76,4352.0
78,4352.0
78,4352.0
80,4352.0
80,4352.0
82,4352.0
82,4352.0
84,4352.0
84,4352.0
86,4352.0
86,4352.0
88,4352.0
88,4352.0
90,4352.0
90,4352.0
92,4352.0
92,4352.0
94,4352.0
94,4352.0
96,4352.0
96,4352.0
98,4352.0
98,4352.0
100,4352.0
100,4352.0
102,4352.0
102,4352.0
104,4352.0
104,4352.0
106,4352.0
106,4352.0
108,4352.0
108,4352.0
110,4352.0
110,4352.0
112,4352.0
112,4352.0
114,4352.0
114,4352.0
116,4352.0
116,4352.0
118,4352.0
118,4352.0
120,4352.0
120,4352.0
122,4352.0
122,4352.0
124,4352.0
124,4352.0
126,4352.0
126,4352.0
128,4352.0
128,4352.0
130,4352.0
130,4352.0
132,4352.0
132,4352.0
134,4352.0
134,4352.0
136,4352.0
136,4352.0
138,4352.0
138,4352.0
140,4352.0
140,4352.0
142,4352.0
142,4352.0
144,4352.0
144,4352.0
146,4352.0
146,4352.0
148,4352.0
148,4352.0
150,4352.0
150,4352.0
152,4352.0
152,4352.0
154,4352.0
154,4352.0
156,4352.0
156,4352.0
158,4352.0
158,4352.0
160,4352.0
160,4352.0
162,4352.0
162,4352.0
164,4352.0
164,4352.0
166,4352.0
166,4352.0
168,4352.0
168,4352.0
170,4352.0
170,4352.0
172,4352.0
172,4352.0
174,4352.0
174,4352.0
176,4352.0
176,4352.0
178,4352.0
178,4352.0
