t_sec,mem_available_mb
0,6214.7
1,6214.1
2,6213.8
4,6116.2
4,6117.0
6,6065.7
6,6065.6
8,6065.6
8,6059.5
9,6058.9
10,6057.0
11,6058.0
12,6058.2
13,6056.0
14,6053.9
15,6055.2
16,6129.2
17,5951.8
18,5953.1
19,5983.8
20,5987.9
21,5993.5
22,5998.2
23,5998.7
24,5994.3
25,5988.4
26,5986.9
27,5987.4
28,5984.1
29,5978.4
30,5976.9
31,5978.2
32,5978.9
34,5983.0
34,5986.1
36,5984.2
36,5987.9
38,5990.0
38,5989.8
40,5989.4
40,5987.7
42,5984.6
42,5983.5
44,5988.6
44,5986.3
46,5986.9
46,5985.6
48,5984.3
48,5984.6
50,5987.2
50,5990.1
52,5986.8
52,5984.2
54,5982.8
54,5982.7
56,5981.0
56,5981.5
58,5975.8
58,5971.9
60,5970.7
60,5971.5
62,5975.4
62,5976.2
64,5975.1
64,5975.9
66,5982.3
66,5984.6
68,5981.9
68,5982.4
70,5979.7
70,5981.2
72,5983.0
72,5986.1
74,5986.8
74,5988.1
76,5988.5
76,5985.3
78,5983.2
78,5980.2
80,5980.5
80,5977.9
82,5972.2
82,5967.4
84,5968.6
84,5971.4
86,5971.4
86,5974.0
88,5973.1
88,5970.3
90,5971.3
90,5969.3
92,5968.4
92,5967.7
94,5968.6
94,5969.7
96,5972.3
96,5975.7
98,5978.2
98,5982.7
100,5984.9
100,5985.7
102,5986.5
102,5982.4
104,5978.8
104,5976.5
106,5977.2
106,5975.6
108,5975.9
108,5976.2
110,5976.3
110,5977.7
112,5981.5
112,5981.3
114,5979.9
114,5985.0
116,5984.7
116,5987.2
118,5985.0
118,5985.0
120,5981.0
120,5980.5
122,5980.8
122,5972.6
124,5971.5
124,5971.3
126,5972.0
126,5974.8
128,5978.2
128,5980.5
130,5980.6
130,5985.4
132,5985.2
132,5987.6
134,5992.0
134,5991.2
136,5989.1
136,5989.6
138,5992.1
138,5993.7
140,5997.7
140,5995.2
142,5992.5
142,5991.1
144,5990.0
144,5989.5
146,5988.5
146,5985.0
148,5983.9
148,5981.8
150,5978.3
150,5975.7
152,5975.9
152,5977.4
154,5974.6
154,5971.6
156,5968.6
156,5968.8
158,5970.2
158,5971.9
160,5970.5
160,5966.9
162,5968.2
162,5971.3
164,5973.0
164,5971.4
166,5969.8
166,5970.8
168,5974.7
168,5979.1
170,5980.0
170,5982.5
172,5981.8
172,5984.3
174,5988.4
174,5988.4
176,5988.1
176,5985.2
178,5987.5
178,5988.6
180,5989.8
180,5990.4
182,5987.1
182,5988.1
184,5989.3
184,5989.5
186,5983.6
186,5980.0
188,5979.8
188,5977.6
190,5977.3
190,5974.6
192,5973.6
192,5972.6
194,5974.6
194,5975.5
196,5973.5
196,5972.2
198,5976.7
198,5979.4
200,6063.8
200,6066.3
202,6067.3
202,6070.1
204,6073.6
204,6075.5
206,6076.4
206,6077.0
208,6076.7
208,6076.4
210,6077.6
210,6075.3
212,6072.1
212,6067.9
214,6064.6
214,6062.3
216,6062.8
216,6061.9
218,6059.8
218,6057.8
220,5828.1
220,5832.5
222,5854.2
222,5855.8
224,5856.8
224,5856.0
226,5856.4
226,5857.4
228,5860.1
228,5861.8
230,5859.6
230,5855.5
232,5852.6
232,5852.7
234,5853.2
234,5855.7
236,5854.2
236,5852.2
238,5855.0
238,5855.9
240,5853.0
240,5852.5
242,5850.7
242,5844.9
244,5845.8
244,5849.2
246,5843.9
246,5849.1
248,5854.2
248,5842.5
250,5840.7
250,5845.8
252,5848.0
252,5844.4
254,5843.9
254,5843.7
256,5843.8
256,5849.0
258,5852.3
258,5850.9
260,5848.8
260,5848.1
262,5851.9
262,5851.5
264,5847.9
264,5845.1
266,5847.1
266,5849.3
268,5850.5
268,5852.4
270,5847.6
270,5848.6
272,5853.1
272,5858.6
274,6055.7
274,6241.0
276,6418.6
276,6447.1
278,6579.9
278,6669.0
280,6727.2
280,6729.0
282,6712.8
282,6659.4
284,6569.0
284,6547.4
286,6394.7
286,6221.8
288,5879.2
288,5713.5
290,5697.4
290,5700.0
292,5697.1
292,5699.4
294,5701.2
294,5700.3
296,5699.5
296,5695.2
298,5688.4
298,5688.5
300,5690.3
300,5692.1
302,5688.9
302,5690.9
304,5751.1
304,5633.7
306,5707.4
306,5588.2
308,5587.4
308,5586.1
310,5587.9
310,5583.7
312,5582.6
312,5586.0
314,5590.8
314,5592.6
316,5592.4
316,5589.6
318,5592.0
318,5593.8
320,5594.3
320,5595.4
322,5594.9
322,5591.8
324,5592.7
324,5593.9
326,5592.9
326,5594.8
328,5596.3
328,5596.6
330,5597.1
330,5600.4
332,5601.9
332,5604.4
334,5605.3
334,5604.6
336,5599.9
336,5596.1
338,5596.5
338,5595.5
340,5593.9
340,5593.0
342,5591.8
342,5591.8
344,5449.3
344,5450.7
346,5490.4
346,5492.5
348,5469.9
348,5468.8
350,5442.3
350,5549.6
352,5549.2
352,5474.0
354,5472.6
354,5471.7
356,5612.4
356,5612.8
358,5505.6
358,5637.5
360,5602.8
360,5599.7
362,5599.7
362,5684.5
364,5557.7
364,5668.6
366,5509.1
366,5531.3
368,5536.5
368,5536.1
370,5535.4
370,5532.2
372,5526.6
372,5523.5
374,5521.3
374,5526.1
376,5522.0
376,5523.2
378,5531.4
378,5667.0
380,5671.3
380,5678.4
382,5678.8
382,5678.6
384,5684.4
384,5686.6
386,5680.5
386,5678.1
388,5677.8
388,5674.3
390,5677.0
390,5672.6
392,5666.9
392,5663.1
394,5663.5
394,5660.0
396,5661.0
396,5662.0
398,5660.1
398,5660.5
400,5659.6
400,5660.5
402,5660.3
402,5661.7
404,5660.4
404,5657.3
406,5661.4
406,5666.4
408,5668.1
408,5669.6
410,5668.0
410,5667.9
412,5668.7
412,5674.7
414,5671.8
414,5667.3
416,5671.1
416,5671.9
418,5672.0
418,5670.8
420,5666.5
420,5662.6
422,5662.1
422,5660.6
424,5659.3
424,5656.4
426,5657.3
426,5660.6
428,5664.3
428,5750.2
430,5749.4
430,5751.1
432,5749.6
432,5751.8
434,5752.9
434,5750.1
436,5749.2
436,5748.2
438,5749.3
438,5747.4
440,5750.0
440,5754.1
442,5754.8
442,5757.9
444,5763.9
444,5763.0
446,5764.0
446,5769.4
448,5766.4
