t_sec,mem_available_mb
0,6798.7
0,7097.7
2,7377.4
2,7623.8
4,7830.5
4,8237.5
6,8337.0
6,8374.5
8,8348.7
8,8257.4
10,8105.6
10,7905.6
12,7661.5
12,7388.7
14,7093.1
14,6898.1
16,6894.7
16,6894.8
18,6898.0
18,6901.3
20,6897.3
20,6895.8
22,6897.0
22,6895.3
24,6894.7
24,6894.6
26,6896.8
26,6895.9
28,6896.8
28,6898.5
30,6901.3
30,6903.8
32,6946.5
32,6951.0
34,6951.2
34,6952.3
36,6955.2
36,6955.0
38,6954.8
38,6952.2
40,6948.5
40,6944.4
42,6940.3
42,6936.6
44,6934.9
44,6935.1
46,6934.6
46,6935.7
48,6938.6
48,6939.1
50,6942.1
50,6943.3
52,6943.9
52,6943.6
54,6941.6
54,6941.1
56,6938.0
56,6936.5
58,6935.9
58,6935.8
60,6938.6
60,6939.6
62,6942.8
62,6948.4
64,6952.5
64,6956.8
66,6957.1
66,6953.5
68,6956.3
68,6958.6
70,6956.7
70,6948.6
72,6945.0
72,6940.1
74,6939.8
74,6945.9
76,6940.9
76,6940.5
78,6937.9
78,6940.4
80,6944.4
80,6950.0
82,6950.8
82,6946.4
84,6790.8
84,6787.6
86,6786.3
86,6787.3
88,6789.7
88,6786.3
90,6787.1
90,6787.1
92,6785.7
92,6787.2
94,6788.7
94,6788.9
96,6788.6
96,6791.2
98,6995.1
98,6998.8
100,7003.6
100,7001.0
102,7001.0
102,7000.4
104,6999.4
104,6995.5
106,6992.7
106,6987.4
108,6985.5
108,6989.4
110,6990.4
110,6991.5
112,6992.5
112,6994.0
114,6994.7
114,7000.6
116,7001.4
116,7002.4
118,7007.1
118,7006.1
120,7005.4
120,7004.9
122,7006.3
122,7006.5
124,7005.7
124,7003.3
126,7000.4
126,7002.1
128,7005.5
128,7006.9
130,7004.5
130,7001.6
132,7001.0
132,7002.2
134,7004.4
134,7005.4
136,7001.6
136,7002.4
138,7001.9
138,7004.2
140,7004.7
140,7002.1
142,6999.3
142,6996.2
144,7000.0
144,6998.8
146,7000.7
146,7002.6
148,7001.0
148,7002.6
150,7001.1
150,7001.4
152,6998.2
152,6998.6
154,6997.6
154,6996.2
156,6668.5
156,6669.8
158,6674.4
158,6680.3
160,6683.0
160,6683.3
162,6682.1
162,6677.7
164,6679.8
164,6678.0
166,6675.8
166,6669.9
168,6667.6
168,6666.1
170,6666.1
170,6813.0
172,6810.9
172,6813.5
174,6811.0
174,6807.4
176,6806.0
176,6806.7
178,6805.6
178,6807.1
