t_sec,mem_available_mb
0,4429.9
0,4426.8
2,4428.0
2,4427.0
4,4427.2
4,4476.0
6,4666.8
6,4957.2
8,4913.9
8,5075.3
10,5159.4
10,5272.6
12,5355.1
12,5399.1
14,5671.8
14,5542.8
16,5501.1
16,5383.7
18,5281.9
18,5149.5
20,4998.4
20,4957.5
22,4517.3
22,4581.9
24,4277.7
24,4513.7
26,4305.8
26,4310.2
28,4371.7
28,4373.0
30,4371.7
30,4370.1
32,4365.7
32,4366.2
34,4367.0
34,4530.7
36,4321.3
36,4319.8
38,4306.1
38,4301.9
40,4302.0
40,4303.1
42,4306.4
42,4302.7
44,4301.7
44,4307.1
46,4308.4
46,4314.2
48,4316.8
48,4320.6
50,4319.1
50,4317.4
52,4314.2
52,4309.8
54,4309.8
54,4306.1
56,4306.4
56,4305.4
58,4305.1
58,4308.0
60,4310.4
60,4310.6
