t_sec,mem_available_mb
0,4864.0
1,4864.0
2,4864.0
4,4864.0
4,4864.0
6,4864.0
6,4864.0
8,4864.0
8,4864.0
9,4864.0
10,4864.0
11,4864.0
12,4864.0
13,4864.0
14,4864.0
15,4864.0
16,4864.0
17,4864.0
18,4864.0
19,4864.0
20,4864.0
21,4864.0
22,4864.0
23,4864.0
24,4864.0
25,4864.0
26,4864.0
27,4864.0
28,4864.0
29,4864.0
30,4864.0
31,4864.0
32,4864.0
34,4864.0
34,4864.0
36,4864.0
36,4864.0
38,4864.0
38,4864.0
40,4864.0
40,4864.0
42,4864.0
42,4864.0
44,4864.0
44,4864.0
46,4864.0
46,4864.0
48,4864.0
48,4864.0
50,4864.0
50,4864.0
52,4864.0
52,4864.0
54,4864.0
54,4864.0
56,4864.0
56,4864.0
58,4864.0
58,4864.0
60,4864.0
60,4864.0
62,4864.0
62,4864.0
64,4864.0
64,4864.0
66,4864.0
66,4864.0
68,4864.0
68,4864.0
70,4864.0
70,4864.0
72,4864.0
72,4864.0
74,4864.0
74,4864.0
76,4864.0
76,4864.0
78,4864.0
78,4864.0
80,4864.0
80,4864.0
82,4864.0
82,4864.0
84,4864.0
84,4864.0
86,4864.0
86,4864.0
88,4864.0
88,4864.0
90,4864.0
90,4864.0
92,4864.0
92,4864.0
94,4864.0
94,4864.0
96,4864.0
96,4864.0
98,4864.0
98,4864.0
100,4864.0
100,4864.0
102,4864.0
102,4864.0
104,4864.0
104,4864.0
106,4864.0
106,4864.0
108,4864.0
108,4864.0
110,4864.0
110,4864.0
112,4864.0
112,4864.0
114,4864.0
114,4864.0
116,4864.0
116,4864.0
118,4864.0
118,4864.0
120,4864.0
120,4864.0
122,4864.0
122,4864.0
124,4864.0
124,4864.0
126,4864.0
126,4864.0
128,4864.0
128,4864.0
130,4864.0
130,4864.0
132,4864.0
132,4864.0
134,4864.0
134,4864.0
136,4864.0
136,4864.0
138,4864.0
138,4864.0
140,4864.0
140,4864.0
142,4864.0
142,4864.0
144,4864.0
144,4864.0
146,4864.0
146,4864.0
148,4864.0
