t_sec,mem_available_mb
0.0,7737.2
0.0,7737.8
2.0,7737.9
2.0,7737.1
4.0,7734.8
4.0,7733.3
6.0,7729.3
6.0,7725.9
8.0,7724.4
8.0,7724.1
10.0,7722.1
10.0,7722.1
12.0,7723.5
12.0,7727.2
14.0,7730.7
14.0,7732.5
16.0,7736.6
16.0,7736.9
18.0,7738.8
18.0,7739.2
20.0,7739.1
20.0,7737.9
22.0,7737.8
22.0,7738.1
24.0,7736.9
24.0,7735.1
26.0,7737.0
26.0,7738.0
28.0,7737.2
28.0,7735.1
30.0,7759.0
30.0,7840.1
32.0,7920.4
32.0,8002.2
34.0,7852.1
34.0,7926.7
36.0,7999.3
36.0,8068.5
38.0,8129.6
38.0,8188.3
40.0,8244.3
40.0,8293.3
42.0,8339.9
42.0,8378.3
44.0,8409.3
44.0,8431.2
46.0,8448.0
46.0,8267.8
48.0,8266.2
48.0,8256.2
50.0,8242.2
50.0,8219.8
52.0,8191.2
52.0,8155.8
54.0,8112.7
54.0,8066.8
56.0,8015.5
56.0,7956.4
58.0,7892.0
58.0,7823.7
60.0,7753.0
60.0,7680.0
