t_sec,mem_available_mb
0,7013.4
0,7011.7
2,7008.6
2,7007.5
4,7012.6
4,7010.3
6,7010.9
6,7009.6
8,7008.3
8,7008.6
10,7011.2
10,7014.1
12,7010.8
12,7008.2
14,7006.8
14,7006.7
16,7005.0
16,7005.5
18,6999.8
18,6995.9
20,6994.7
20,6995.5
22,6999.4
22,7000.2
24,6999.1
24,6999.9
26,7006.3
26,7008.6
28,7005.9
28,7006.4
30,7003.7
30,7005.2
32,7007.0
32,7010.1
34,7010.8
34,7012.1
36,7012.5
36,7009.3
38,7007.2
38,7004.2
40,7004.5
40,7001.9
42,6996.2
42,6991.4
44,6992.6
44,6995.4
46,6995.4
46,6998.0
48,6997.1
48,6994.3
50,6995.3
50,6993.3
52,6992.4
52,6991.7
54,6992.6
54,6993.7
56,6996.3
56,6999.7
58,7002.2
58,7006.7
60,7008.9
60,7009.7
62,7010.5
62,7006.4
64,7002.8
64,7000.5
66,7001.2
66,6999.6
68,6999.9
68,7000.2
70,7000.3
70,7001.7
72,7005.5
72,7005.3
74,7003.9
74,7009.0
76,7008.7
76,7011.2
78,7009.0
78,7009.0
80,7005.0
80,7004.5
82,7004.8
82,6996.6
84,6995.5
84,6995.3
86,6996.0
86,6998.8
88,7002.2
88,7004.5
90,7004.6
90,7009.4
92,7009.2
92,7011.6
94,7016.0
94,7015.2
96,7013.1
96,7013.6
98,7016.1
98,7017.7
100,7021.7
100,7019.2
102,7016.5
102,7015.1
104,7014.0
104,7013.5
106,7012.5
106,7009.0
108,7007.9
108,7005.8
110,7002.3
110,6999.7
112,6999.9
112,7001.4
114,6998.6
114,6995.6
116,6992.6
116,6992.8
118,6994.2
118,6995.9
120,6994.5
120,6990.9
122,6992.2
122,6995.3
124,6997.0
124,6995.4
126,6993.8
126,6994.8
128,6998.7
128,7003.1
130,7004.0
130,7006.5
132,7005.8
132,7008.3
134,7012.4
134,7012.4
136,7012.1
136,7009.2
138,7011.5
138,7012.6
140,7013.8
140,7014.4
142,7011.1
142,7012.1
144,7013.3
144,7013.5
146,7007.6
146,7004.0
148,7003.8
148,7001.6
150,7001.3
150,6998.6
152,6997.6
152,6996.6
154,6998.6
154,6999.5
156,6997.5
156,6996.2
158,7000.7
158,7003.4
160,7087.8
160,7090.3
162,7091.3
162,7094.1
164,7097.6
164,7099.5
166,7100.4
166,7101.0
168,7100.7
168,7100.4
170,7101.6
170,7099.3
172,7096.1
172,7091.9
174,7088.6
174,7086.3
176,7086.8
176,7085.9
178,7083.8
178,7081.8
