t_sec,mem_available_mb
0,6845.4
0,6848.6
2,6848.6
2,6847.6
4,6850.2
4,6853.6
6,6855.1
6,6855.4
8,6856.2
8,6857.9
10,6854.9
10,6852.7
12,6852.0
12,6853.2
14,6852.1
14,6855.0
16,6851.4
16,6847.2
18,6848.8
18,6851.8
20,6852.1
20,6853.1
22,6860.0
22,6861.3
24,6866.3
24,6868.1
26,6868.6
26,6869.2
28,6870.4
28,6868.0
30,6860.1
30,6786.5
32,6780.9
32,6781.4
34,6784.1
34,6783.4
36,6781.2
36,6780.6
38,6782.7
38,6781.7
40,6844.9
40,6845.5
42,6845.1
42,6845.5
44,6844.9
44,6845.5
46,6843.6
46,6844.1
48,6912.0
48,6713.5
50,6712.2
50,6713.4
52,6846.2
52,6849.7
54,6853.1
54,6851.6
56,6853.1
56,6854.9
58,6854.3
58,6912.0
60,6735.2
60,6732.3
62,6732.5
62,6734.7
64,6734.0
64,6912.0
66,6903.3
66,6901.7
68,6904.0
68,6903.9
70,6904.8
70,6905.9
72,6909.1
72,6912.0
74,6909.2
74,6909.3
76,6908.0
76,6907.3
78,6904.9
78,6901.7
80,6899.8
80,6898.8
82,6900.2
82,6901.9
84,6897.0
84,6900.1
86,6899.7
86,6903.7
88,6906.2
88,6904.7
90,6904.4
90,6901.7
92,6903.8
92,6902.8
94,6903.2
94,6901.9
96,6903.7
96,6906.4
98,6907.0
98,6911.3
100,6912.0
100,6912.0
102,6912.0
102,6912.0
104,6911.4
104,6912.0
106,6912.0
106,6912.0
108,6784.4
108,6780.5
110,6778.6
110,6780.7
112,6781.7
112,6912.0
114,6886.2
114,6888.7
116,6892.6
116,6895.1
118,6893.8
118,6895.2
120,6893.7
120,6889.7
122,6889.0
122,6889.6
124,6912.0
124,6750.6
126,6756.3
126,6755.3
128,6754.6
128,6756.5
130,6758.6
130,6754.6
132,6756.5
132,6756.7
134,6753.9
134,6753.0
136,6752.0
136,6750.0
138,6746.5
138,6749.7
140,6750.3
140,6748.8
142,6744.5
142,6741.8
144,6743.2
144,6748.5
146,6747.9
146,6747.7
148,6749.0
148,6751.7
150,6754.7
150,6755.8
152,6753.4
152,6747.8
154,6750.4
154,6750.0
156,6750.6
156,6759.6
158,6859.9
158,6912.0
160,6912.0
160,6912.0
162,6912.0
162,6912.0
164,6912.0
164,6912.0
166,6912.0
166,6912.0
168,6912.0
168,6912.0
170,6912.0
170,6912.0
172,6912.0
172,6912.0
174,6912.0
174,6912.0
176,6912.0
176,6912.0
178,6912.0
178,6912.0
