t_sec,mem_available_mb
0,6567.2
0,7268.0
2,7343.7
2,7415.9
4,7489.2
4,7559.8
6,7625.9
6,7691.6
8,7742.6
8,7784.5
10,7824.1
10,7858.6
12,7877.8
12,7892.8
14,7899.9
14,7892.2
16,7883.8
16,7867.3
18,7839.7
18,7801.9
20,7763.7
20,7711.4
22,7652.6
22,7586.6
24,7516.6
24,7444.1
26,7368.4
26,7288.6
28,7204.1
28,7122.9
30,7079.7
30,6787.9
32,6787.5
32,6783.6
34,6783.8
34,6780.8
36,6781.7
36,6915.2
38,6913.6
38,6912.3
40,6905.9
40,6905.6
42,6904.5
42,6910.2
44,6915.7
44,6918.2
46,6921.0
46,6928.6
48,6936.1
48,6938.4
50,6942.2
50,6939.8
52,6935.1
52,6931.1
54,6927.6
54,6925.5
56,6926.8
56,6927.4
58,6926.4
58,6926.5
60,6930.7
60,6935.0
62,6939.1
62,6793.0
64,6788.8
64,6793.4
66,6790.2
66,6789.6
68,6788.3
68,6782.6
70,6779.7
70,6782.0
72,6784.2
72,6779.7
74,6782.9
74,6783.9
76,6783.9
76,6786.9
78,6786.7
78,6783.0
80,6783.9
80,6789.3
82,6793.6
82,6796.6
84,6796.0
84,6797.6
86,6799.1
86,6795.7
88,6795.6
88,6791.3
90,6788.3
90,6787.4
92,6789.3
92,6788.5
94,6788.5
94,6787.6
96,6786.3
96,6786.9
98,6785.0
98,6783.5
100,6780.5
100,6778.8
102,6777.9
102,6779.1
104,6779.2
104,6782.0
106,6782.0
106,6916.6
108,6916.5
108,6917.8
110,6919.7
110,6921.8
112,6919.4
112,6916.7
114,6918.1
114,6920.9
116,7075.5
116,7076.0
118,7074.4
118,7075.3
120,7075.4
120,7074.3
122,7071.0
122,7068.8
124,7062.9
124,7058.0
126,7055.8
126,7055.3
128,7052.4
128,7052.5
130,7054.5
130,7059.8
132,7064.9
132,7067.6
134,7073.5
134,7074.0
136,7076.8
136,7077.4
138,7077.2
138,7075.4
140,7075.3
140,7075.8
142,7074.0
142,7071.3
144,7074.1
144,7075.6
146,7074.4
146,7071.3
148,7106.2
148,7224.3
150,7341.3
150,7460.4
152,7241.8
152,7350.5
154,7456.3
154,7557.0
156,7646.0
156,7731.6
158,7813.2
158,7884.5
160,7952.4
160,8008.4
162,8053.5
162,8085.4
164,8109.9
164,7847.4
166,7845.0
166,7830.5
168,7810.1
168,7777.4
170,7735.8
170,7684.2
172,7621.5
172,7554.6
174,7479.8
174,7393.8
176,7299.9
176,7200.5
178,7097.4
178,6991.1
