t_sec,mem_available_mb
0,6210.9
1,5660.1
2,5659.0
4,5659.7
4,5907.7
6,5908.8
6,5912.5
8,5916.4
8,5922.1
9,5919.5
10,5742.1
11,5739.9
12,5741.1
13,5742.7
14,5739.3
15,5733.8
16,5731.2
17,5729.6
18,5808.4
19,5807.7
20,5806.7
21,5802.4
22,5801.1
23,5802.9
24,5800.7
25,5804.5
26,5811.3
27,5813.9
28,5813.2
29,5812.4
30,5815.0
31,5815.8
32,5817.6
34,5815.7
34,5810.2
36,5809.2
36,5810.2
38,5810.9
38,5807.4
40,5803.8
40,5802.5
42,5802.0
42,5803.1
44,5805.2
44,5805.6
46,5811.2
46,5817.1
48,5820.8
48,5823.8
50,5824.7
50,5824.0
52,5819.3
52,5819.1
54,5815.7
54,5815.1
56,5815.1
56,5815.1
58,5815.6
58,5816.2
60,5816.0
60,5816.5
62,5816.9
62,5813.6
64,5815.5
64,5811.1
66,5810.8
66,5811.8
68,5815.8
68,5815.9
70,5815.6
70,5816.2
72,5813.0
72,5814.7
74,5814.3
74,5809.5
76,5810.7
76,5807.0
78,5806.3
78,5807.4
80,5811.3
80,5808.6
82,5806.1
82,5807.9
84,5807.9
84,5811.7
86,5812.6
86,5812.9
88,5808.3
88,5812.2
90,5815.6
90,5815.1
92,5814.1
92,5812.8
94,5809.6
94,5807.7
96,5811.4
96,5809.2
98,5808.0
98,5807.7
100,5807.6
100,5809.7
102,5818.0
102,5820.5
104,5817.5
104,5818.3
106,5818.7
106,5820.9
108,5823.0
108,5821.9
110,5816.5
110,5817.7
112,5823.8
112,5821.6
114,5819.1
114,5817.0
116,5814.9
116,5812.2
118,5810.9
118,5806.0
120,5804.8
120,5806.9
122,5805.5
122,5805.8
124,5806.0
124,5809.1
126,5806.8
126,5809.8
128,5807.6
128,5810.2
130,5813.6
130,5814.6
132,5815.0
132,5813.3
134,5817.4
134,5817.2
136,4940.2
136,4940.9
138,4941.4
138,4942.6
140,4942.5
140,4946.1
142,4948.9
142,4951.0
144,4949.3
144,4948.0
146,4946.1
146,4943.5
148,4940.4
148,4937.8
150,4933.8
150,4931.7
152,4930.0
152,4936.5
154,5034.1
154,5146.2
156,5256.1
156,5363.7
158,5466.4
158,5566.1
160,5664.5
160,5761.6
162,5844.6
162,5930.9
164,6006.6
164,6071.6
166,6134.2
166,6189.8
168,6233.3
168,6263.8
170,6290.8
170,6304.6
172,6314.6
172,6314.2
174,6305.5
174,6285.2
176,6256.5
176,6224.7
178,6177.7
178,6120.7
180,6053.9
180,5982.5
182,5902.3
182,5814.0
184,5720.0
184,5923.0
186,5826.7
186,5728.7
188,5625.2
188,5516.7
190,5407.6
190,5297.4
192,5241.4
192,5245.1
194,5245.2
194,5242.6
196,5241.6
196,5240.7
198,5240.5
198,5340.9
200,5336.8
200,5339.0
202,5335.8
202,5330.5
204,5331.7
204,5334.2
206,5331.0
206,5326.7
208,5328.7
208,5325.0
210,5328.3
210,5333.1
212,5329.8
212,5328.6
214,5331.1
214,5331.8
216,5331.0
216,5330.3
218,5328.1
218,5326.1
220,5330.2
220,5333.4
222,5333.3
222,5334.1
224,5334.2
224,5334.8
226,5334.9
226,5337.5
228,5337.3
228,5336.0
230,5334.5
230,5335.4
232,5334.8
232,5339.3
234,5344.6
234,5342.2
236,5339.5
236,5337.5
238,5340.0
238,5336.8
240,5338.2
240,5332.9
242,5327.4
242,5328.1
244,5331.5
244,5336.4
246,5337.3
246,5342.7
248,5342.4
248,5345.2
250,5347.9
250,5344.3
252,5339.6
252,5334.6
254,5329.1
254,5325.0
256,5326.4
256,5327.5
258,5329.9
258,5335.0
260,5338.2
260,5342.8
262,5346.8
262,5347.6
264,5345.2
264,5342.7
266,5339.3
266,5335.6
268,5334.8
268,5330.9
270,5330.1
270,5334.0
272,5338.5
272,5342.3
274,5342.8
274,5348.0
276,5349.8
276,5351.6
278,5352.1
278,5347.4
280,5345.3
280,5341.8
282,5340.4
282,5730.8
284,5512.5
284,5492.7
286,5493.0
286,5491.4
288,5488.3
288,5487.7
290,5485.3
290,5485.9
292,5484.3
292,5483.7
294,5481.7
294,5484.7
296,5488.5
296,5490.9
298,5498.1
298,5501.5
300,5501.7
300,5504.0
302,5508.6
302,5153.2
304,5152.5
304,5149.6
306,5142.7
306,5137.2
308,5139.1
308,5137.0
310,5133.8
310,5133.8
312,5556.2
312,5556.7
314,5558.1
314,5562.7
316,5563.1
316,5561.8
318,5562.1
318,5563.4
320,5563.6
320,5563.7
322,5567.1
322,5566.4
324,5564.0
324,5567.5
326,5567.1
326,5565.6
328,5564.5
328,5564.8
330,5560.7
330,5556.9
332,5559.5
332,5559.0
334,5559.0
334,5029.4
336,5034.6
336,5036.7
338,5041.2
338,5047.2
340,5044.1
340,5042.8
342,5042.6
342,5043.4
344,5042.0
344,5037.9
346,5037.1
346,5033.5
348,5030.4
348,5028.4
350,5029.8
350,5028.0
352,5027.7
352,5029.9
354,5027.5
354,5027.6
356,5031.0
356,5034.2
358,5032.5
358,5034.1
360,5035.0
360,5037.5
362,5036.5
362,5038.8
364,5038.6
364,5036.1
366,5035.0
366,5031.4
368,5027.2
368,5261.7
370,5262.3
370,4863.8
372,4864.3
372,4881.2
374,5006.1
374,5151.3
376,5292.2
376,5428.5
378,5560.0
378,5680.6
380,5794.9
380,5899.8
382,5993.0
382,6074.1
384,6142.1
384,6195.4
386,6234.7
386,6257.1
388,6261.3
388,6248.1
390,6225.2
390,6188.3
392,6138.2
392,6252.7
394,6169.7
394,5823.3
396,5857.9
396,5745.4
398,5617.3
398,5483.9
400,5344.6
400,5198.9
402,5050.7
402,4686.7
404,4675.4
404,4671.8
406,4672.2
406,4670.5
408,4669.2
408,4671.2
410,4676.7
410,4942.0
412,4677.0
412,4682.8
414,4684.2
414,4682.3
416,4685.1
416,4685.1
418,4683.9
418,4682.7
420,4681.1
420,4678.1
422,4681.8
422,4688.2
424,4688.3
424,4691.1
426,4691.8
426,4691.4
428,4694.5
428,4693.6
430,4695.4
430,4694.6
432,4691.3
432,4689.5
434,4688.2
434,4685.9
436,4683.7
436,4683.8
438,4679.9
438,4677.2
440,4678.0
440,4931.0
442,4932.0
442,4934.6
444,4934.6
444,4937.4
446,4937.3
446,4936.6
448,4939.2
448,4937.3
450,4934.7
450,4932.2
452,4931.3
452,4932.3
454,4934.5
454,4934.8
456,4934.6
456,4934.3
458,4937.7
458,4941.4
460,4942.0
460,4941.3
462,4936.5
462,4935.4
464,4935.5
464,4939.3
466,4935.9
466,4935.3
468,4935.9
468,4934.6
470,4937.9
470,4940.2
472,4942.5
472,4940.6
474,4946.0
474,4947.7
476,4946.1
476,4162.4
478,4160.4
478,4157.0
480,4150.8
480,4146.8
482,4144.4
482,4272.1
484,4270.8
484,4275.8
486,4279.6
486,4280.4
488,4279.4
488,4283.1
490,4282.0
490,4279.2
492,4801.1
492,4796.8
494,4793.6
494,5144.7
496,4751.0
496,4753.6
498,4755.9
498,4758.1
500,4762.4
500,4767.2
502,4769.0
502,4770.8
504,4774.7
504,4771.5
506,4767.9
506,4770.7
508,4767.2
508,4765.5
510,4763.0
510,4762.4
512,4759.3
512,4757.8
514,4755.9
514,4752.0
516,4753.8
516,4755.5
518,4757.9
518,4758.4
520,4761.9
520,4763.0
522,4766.8
522,4766.8
524,4763.9
524,4762.9
526,4762.3
526,4769.0
528,4769.0
528,4768.8
530,4767.9
530,4771.0
532,4772.0
532,4766.5
534,4766.8
534,4763.5
536,4810.6
536,4807.8
538,4810.2
538,4808.4
540,4806.8
540,4812.2
542,4814.8
542,4811.8
544,4811.3
544,4815.3
546,4811.6
546,4809.8
548,4810.0
548,4806.5
550,4801.2
550,4801.6
552,4800.9
552,4797.6
554,4799.8
554,4804.2
556,4806.1
556,4807.5
558,4808.5
558,4803.9
560,4802.3
560,4805.7
562,4805.1
562,4803.0
564,4802.5
564,4806.5
566,4807.2
566,4810.7
568,4814.2
568,4814.7
570,4813.3
570,4812.8
572,4810.8
572,4809.9
574,4807.4
574,4811.3
576,4811.2
576,4809.8
578,4811.5
578,4812.5
580,4818.4
580,4816.7
582,4822.6
582,4822.4
584,4821.6
584,4781.9
586,4784.7
586,4783.7
588,4777.0
588,4774.5
590,4770.3
590,5092.4
592,5091.3
592,5090.9
594,5085.1
594,5082.7
596,5084.0
596,5083.9
598,5085.5
598,5082.6
600,5080.8
600,5079.8
602,5082.1
602,5083.7
604,5086.8
604,5088.5
606,5089.3
606,5092.0
608,5093.3
608,5092.6
610,5093.5
610,5095.4
612,5093.9
612,5091.5
614,5089.4
614,5086.1
616,5082.9
616,5082.7
618,5080.3
618,5081.7
620,5083.6
620,5396.1
622,5396.1
622,5396.8
624,5402.0
624,5405.7
626,5409.7
626,5400.1
628,5397.3
628,5396.1
630,5395.0
630,5393.5
632,5395.0
632,5440.6
634,5435.7
634,5437.4
636,5439.2
636,5440.2
638,5442.5
638,5444.9
640,5445.2
640,5442.4
642,5442.7
642,5442.1
644,5442.2
644,5441.4
646,5440.1
646,5437.0
648,5435.9
648,5432.1
650,5432.9
650,5433.0
652,5429.3
652,5431.0
654,5434.1
654,5435.3
656,5432.2
656,5435.9
658,5435.9
658,5438.2
660,5440.1
660,5437.9
662,5435.5
662,5438.6
664,5440.7
664,5441.7
666,5442.1
666,5442.3
668,5439.5
668,5441.7
670,5443.8
670,5440.1
672,5438.5
672,5437.4
674,5436.5
674,5436.4
676,5437.5
676,5431.6
678,5429.8
678,5431.0
680,5431.8
680,5433.0
682,5437.2
682,5435.7
684,5439.2
684,5441.3
686,5441.6
686,5442.3
688,5442.5
