t_sec,mem_available_mb
0.000,7842.4
0.000,7843.3
2.000,7843.4
2.000,7842.3
4.000,7839.0
4.000,7836.8
6.000,7830.9
6.000,7826.0
8.000,7823.8
8.000,7823.3
10.000,7820.4
10.000,7820.5
12.000,7822.5
12.000,7827.8
14.000,7832.9
14.000,7835.6
16.000,7841.5
16.000,7842.0
18.000,7844.8
18.000,7845.4
20.000,7845.2
20.000,7843.4
22.000,7843.3
22.000,7843.8
24.000,7842.0
24.000,7839.3
26.000,7842.1
26.000,7843.6
28.000,7842.4
28.000,7839.3
30.000,7874.2
30.000,7992.3
32.000,8109.3
32.000,8228.4
34.000,8009.8
34.000,8118.5
36.000,8224.3
36.000,8325.0
38.000,8414.0
38.000,8499.6
40.000,8581.2
40.000,8652.5
42.000,8720.4
42.000,8776.4
44.000,8821.5
44.000,8853.4
46.000,8877.9
46.000,8615.4
48.000,8613.0
48.000,8598.5
50.000,8578.1
50.000,8545.4
52.000,8503.8
52.000,8452.2
54.000,8389.5
54.000,8322.6
56.000,8247.8
56.000,8161.8
58.000,8067.9
58.000,7968.5
60.000,7865.4
60.000,7759.1
