t_sec,mem_available_mb
0.000,7074.4
0.000,7075.3
2.000,7075.4
2.000,7074.3
4.000,7071.0
4.000,7068.8
6.000,7062.9
6.000,7058.0
8.000,7055.8
8.000,7055.3
10.000,7052.4
10.000,7052.5
12.000,7054.5
12.000,7059.8
14.000,7064.9
14.000,7067.6
16.000,7073.5
16.000,7074.0
18.000,7076.8
18.000,7077.4
20.000,7077.2
20.000,7075.4
22.000,7075.3
22.000,7075.8
24.000,7074.0
24.000,7071.3
26.000,7074.1
26.000,7075.6
28.000,7074.4
28.000,7071.3
30.000,7106.2
30.000,7224.3
32.000,7341.3
32.000,7460.4
34.000,7241.8
34.000,7350.5
36.000,7456.3
36.000,7557.0
38.000,7646.0
38.000,7731.6
40.000,7813.2
40.000,7884.5
42.000,7952.4
42.000,8008.4
44.000,8053.5
44.000,8085.4
46.000,8109.9
46.000,7847.4
48.000,7845.0
48.000,7830.5
50.000,7810.1
50.000,7777.4
52.000,7735.8
52.000,7684.2
54.000,7621.5
54.000,7554.6
56.000,7479.8
56.000,7393.8
58.000,7299.9
58.000,7200.5
60.000,7097.4
60.000,6991.1
