t_sec,mem_available_mb
0,1650.0
1,1704.4
2,1758.1
3,1810.7
4,1861.5
5,1910.0
6,1955.6
7,1997.9
8,2036.4
9,2070.7
10,2100.3
11,2125.0
12,2144.5
13,2158.6
14,2167.2
15,2170.0
16,2167.2
17,2158.6
18,2144.5
19,2125.0
20,2100.3
21,2070.7
22,2036.4
23,2177.9
24,2135.6
25,2090.0
26,2041.5
27,1990.7
28,1938.1
29,1884.4
30,1830.0
31,1775.6
32,1721.9
33,1669.3
34,1618.5
35,1570.0
36,1524.4
37,1482.1
38,1263.6
39,1229.3
40,1199.7
41,1175.0
42,1155.5
43,1141.4
44,1132.8
45,1130.0
46,1132.8
47,1141.4
48,1155.5
49,1175.0
50,1199.7
51,1229.3
52,1263.6
53,1302.1
54,1344.4
55,1390.0
56,1438.5
57,1489.3
58,1541.9
59,1595.6
60,1650.0
