t_sec,mem_available_mb
0,6144.0
1,6144.0
2,6144.0
4,6144.0
4,6144.0
6,6144.0
6,6144.0
8,6144.0
8,6144.0
9,6144.0
10,6144.0
11,5838.8
12,6092.6
13,6086.8
14,6081.1
15,6078.0
16,6075.3
17,6079.7
18,6082.8
19,6081.3
20,6079.8
21,6083.7
22,6085.6
23,6088.8
24,6091.5
25,6085.1
26,6082.8
27,6081.5
28,6077.6
29,5669.8
30,5670.5
31,5590.9
32,5589.6
34,5590.2
34,5592.0
36,5590.0
36,5593.0
38,5589.7
38,5591.3
40,5628.3
40,5628.1
42,5632.0
42,5630.6
44,5631.6
44,5633.9
46,5638.9
46,5638.0
48,5635.9
48,5635.1
50,5636.3
50,5636.9
52,5792.6
52,5788.4
54,5784.3
54,5783.8
56,5785.2
56,5786.7
58,5783.3
58,5783.6
60,5784.6
60,5787.0
62,5789.1
62,5789.1
64,5784.9
64,5570.1
66,5567.9
66,5568.6
68,5800.6
68,5801.4
70,5801.7
70,5800.1
72,5799.7
72,5799.1
74,5803.9
74,5803.6
76,5802.5
76,5803.7
78,5804.4
78,5806.2
80,5807.2
80,5806.5
82,5801.9
82,5801.6
84,5797.8
84,5792.7
86,5792.3
86,5791.8
88,5792.9
88,5793.5
90,5794.1
90,5795.2
92,5798.1
92,5805.4
94,5804.3
94,5807.3
96,5808.8
96,5807.7
98,5520.2
98,5518.5
100,5515.3
100,5508.5
102,5511.0
102,5508.5
104,5508.7
104,5507.2
106,5508.4
106,5509.4
108,5512.8
108,5516.5
110,5512.7
110,5509.6
112,5767.6
112,5771.8
114,5771.7
114,5767.0
116,5764.0
116,5110.8
118,5114.1
118,5122.0
120,5121.7
120,5062.3
122,5062.7
122,4915.3
124,4918.6
124,4918.9
126,4918.9
126,4915.3
128,4909.9
128,4905.8
130,4900.5
130,4896.7
132,4898.2
132,4898.3
134,4897.0
134,4897.8
136,4901.6
136,5012.8
138,5183.3
138,5159.1
140,5307.4
140,5441.4
142,5559.5
142,5661.6
144,5883.4
144,5938.8
146,5970.5
146,5975.4
148,5955.0
148,5916.2
150,5854.9
150,5760.6
152,5648.6
152,5517.7
154,5372.4
154,5214.2
156,5051.0
156,4892.0
158,4858.2
158,4857.6
160,4860.8
160,4861.2
162,4856.3
162,4856.3
164,4856.9
164,4862.1
166,4860.6
166,4848.0
168,4849.9
168,4850.6
170,4824.9
170,4824.4
172,4823.1
172,4818.4
174,4821.1
174,5248.5
176,5241.2
