t_sec,mem_available_mb
0,4271.0
0,4273.6
2,4267.9
2,4266.7
4,4264.1
4,4708.0
6,4712.7
6,4710.7
8,4709.0
8,4701.6
10,4702.6
10,4703.8
12,4705.8
12,4709.0
14,4710.2
14,4715.0
16,4712.9
16,4713.2
18,4714.7
18,4714.7
20,4714.0
20,4712.3
22,4709.2
22,4703.8
24,4705.9
24,4707.3
26,4989.2
26,4986.7
28,4985.1
28,4982.2
30,4979.6
30,4978.6
32,4979.1
32,4982.0
34,4982.4
34,4982.8
36,4984.5
36,4983.9
38,4984.5
38,4986.7
40,4987.6
40,4983.6
42,4981.4
42,4981.5
44,4774.3
44,4775.8
46,4777.2
46,4777.8
48,4775.7
48,4777.8
50,4781.7
50,4782.9
52,4783.5
52,4785.7
54,4788.8
54,4788.1
56,4792.1
56,4791.5
58,4788.7
58,5210.7
60,5209.1
60,5207.0
