t_sec,mem_available_mb
0,5544.5
1,5545.4
2,5541.8
4,5536.0
4,5534.1
6,5535.0
6,5537.9
8,5539.6
8,5537.5
9,5419.8
10,5428.1
11,5318.6
12,5319.9
13,5321.3
14,5422.1
15,5423.3
16,5484.9
17,5485.8
18,5482.3
19,5484.8
20,5487.3
21,5485.8
22,5483.1
23,5481.9
24,5272.6
25,5274.3
26,5276.4
27,5275.1
28,5271.5
29,5270.4
30,5269.1
31,5263.8
32,5259.0
34,5364.3
34,5361.9
36,5360.5
36,5364.5
38,5367.0
38,5366.8
40,5371.9
40,5378.0
42,5378.7
42,5376.0
44,5377.1
44,5424.4
46,5421.3
46,5251.1
48,5413.3
48,5252.8
50,5254.9
50,5254.8
52,5251.7
52,5250.5
54,5253.7
54,5252.3
56,5253.3
56,5249.8
58,5245.1
58,5245.4
60,5243.7
60,5244.4
62,5245.3
62,5247.2
64,5247.2
64,5246.4
66,5249.8
66,5251.9
68,5254.0
68,5254.8
70,5248.9
70,5248.1
72,5246.4
72,5247.7
74,5246.9
74,5245.5
76,5246.3
76,5245.8
78,5245.9
78,5247.5
80,5249.1
80,5244.9
82,5243.7
82,5244.9
84,5246.9
84,5250.2
86,5252.3
86,5255.0
88,5255.3
88,5259.3
90,5257.6
90,5254.5
92,5253.8
92,5251.5
94,5251.9
94,5246.8
96,5244.9
96,5241.2
98,5243.7
98,5248.1
100,5251.5
100,5253.5
102,5253.1
102,5255.4
104,5255.6
104,5258.5
106,5257.6
106,5253.8
108,5251.5
108,5251.7
110,5250.9
110,5255.5
112,5255.7
112,5254.2
114,5253.5
114,5252.5
116,5250.9
116,5247.6
118,5248.5
118,5243.9
120,5242.6
120,5241.1
122,5237.9
122,5237.5
124,5238.0
124,5247.2
126,5250.9
126,5254.2
128,5256.1
128,5260.2
130,5266.1
130,5269.8
132,5272.6
132,5268.2
134,5264.5
134,5262.6
136,5264.5
136,5265.7
138,5261.0
138,5260.3
140,5258.8
140,5258.5
142,5259.0
142,5260.7
144,5260.0
144,5254.7
146,5255.7
146,5252.7
148,5253.7
148,5253.5
150,5254.7
150,5253.0
152,5249.1
152,5249.6
154,5251.4
154,5255.1
156,5253.1
156,5251.6
158,5253.3
158,5254.3
160,5258.9
160,5260.6
162,5259.5
162,5259.9
164,5257.8
164,5254.3
166,5250.0
166,5250.6
168,5251.7
168,5248.8
170,5295.2
170,5396.6
172,5504.9
172,5612.1
174,5712.1
174,5805.2
176,5888.0
176,5888.0
178,5888.0
178,5888.0
180,5888.0
180,5888.0
182,5888.0
182,5888.0
184,5888.0
184,5888.0
186,5888.0
186,5888.0
188,5888.0
188,5888.0
190,5888.0
190,5888.0
192,5888.0
192,5888.0
194,5888.0
194,5888.0
196,5888.0
196,5888.0
198,5888.0
198,5888.0
200,5888.0
200,5876.1
202,5783.9
202,5688.4
204,5583.2
204,5475.9
206,5371.6
206,5273.3
208,5249.5
208,5247.9
210,5250.0
210,5252.0
212,5254.7
212,5259.5
214,5261.4
214,5257.0
216,5257.9
216,5256.6
218,5249.8
218,5246.4
220,5248.4
220,5248.6
222,5247.0
222,5248.1
224,5246.7
224,5248.4
226,5251.5
226,5655.7
228,5654.2
228,5655.6
230,5656.8
230,5658.1
232,5660.2
232,5661.6
234,5500.6
234,5419.6
236,5421.8
236,5419.9
238,5421.4
238,5418.7
240,5418.2
240,5417.3
242,5411.8
242,5409.7
244,5408.4
244,5407.3
246,5409.5
246,5411.4
248,5409.7
248,5410.2
250,5412.9
250,5411.2
252,5408.2
252,5407.6
254,5404.9
254,5403.1
256,5406.4
256,5407.2
258,5410.2
258,5410.9
260,5414.8
260,5414.7
262,5416.4
262,5420.8
264,5421.7
264,5422.4
266,5417.0
266,5418.7
268,5418.7
268,5419.7
270,5416.8
