t_sec,mem_available_mb
0,5344.4
1,5346.1
2,5348.0
4,5507.9
4,5508.7
6,5509.5
6,5514.1
8,5515.5
8,5518.8
9,5516.7
10,5512.2
11,4950.8
12,5204.6
13,5198.8
14,5193.1
15,5190.0
16,5187.3
17,5191.7
18,5194.8
19,5193.3
20,5191.8
21,5195.7
22,5197.6
23,5200.8
24,5203.5
25,5197.1
26,5194.8
27,5193.5
28,5189.6
29,4781.8
30,4782.5
31,4702.9
32,4701.6
34,4702.2
34,4704.0
36,4702.0
36,4705.0
38,4701.7
38,4703.3
40,4740.3
40,4740.1
42,4744.0
42,4742.6
44,4743.6
44,4745.9
46,4750.9
46,4750.0
48,4747.9
48,4747.1
50,4748.3
50,4748.9
52,4904.6
52,4900.4
54,4896.3
54,4895.8
56,4897.2
56,4898.7
58,4895.3
58,4895.6
60,4896.6
60,4899.0
62,4901.1
62,4901.1
64,4896.9
64,4682.1
66,4679.9
66,4680.6
68,4912.6
68,4913.4
70,4913.7
70,4912.1
72,4911.7
72,4911.1
74,4915.9
74,4915.6
76,4914.5
76,4915.7
78,4916.4
78,4918.2
80,4919.2
80,4918.5
82,4913.9
82,4913.6
84,4909.8
84,4904.7
86,4904.3
86,4903.8
88,4904.9
88,4905.5
90,4906.1
90,4907.2
92,4910.1
92,4917.4
94,4916.3
94,4919.3
96,4920.8
96,4919.7
98,4632.2
98,4630.5
100,4627.3
100,4620.5
102,4623.0
102,4620.5
104,4620.7
104,4619.2
106,4620.4
106,4621.4
108,4624.8
108,4628.5
110,4624.7
110,4621.6
112,4879.6
112,4883.8
114,4883.7
114,4879.0
116,4876.0
116,4222.8
118,4226.1
118,4234.0
120,4233.7
120,4174.3
122,4174.7
122,4027.3
124,4030.6
124,4030.9
126,4030.9
126,4027.3
128,4021.9
128,4017.8
130,4012.5
130,4008.7
132,4010.2
132,4010.3
134,4009.0
134,4009.8
136,4013.6
136,4124.8
138,4295.3
138,4271.1
140,4419.4
140,4553.4
142,4671.5
142,4773.6
144,4995.4
144,5050.8
146,5082.5
146,5087.4
148,5067.0
148,5028.2
150,4966.9
150,4872.6
152,4760.6
152,4629.7
154,4484.4
154,4326.2
156,4163.0
156,4004.0
158,3970.2
158,3969.6
160,3972.8
160,3973.2
162,3968.3
162,3968.3
164,3968.9
164,3974.1
166,3972.6
166,3960.0
168,3961.9
168,3962.6
170,3936.9
170,3936.4
172,3935.1
172,3930.4
174,3933.1
174,4360.5
176,4353.2
176,4351.2
178,4353.0
178,4356.5
180,4358.5
180,4361.5
182,4361.7
182,4363.2
184,4564.7
184,4566.6
186,4569.1
186,4567.1
188,4561.7
188,4560.5
190,4560.2
190,4559.5
192,4560.4
192,4873.1
194,4873.0
194,4870.2
196,4869.6
196,4869.3
198,4867.5
198,4867.6
200,4869.6
200,4869.2
202,4868.7
202,4869.1
204,4873.3
204,4874.7
206,4874.2
206,4875.0
208,4872.9
208,4870.1
210,4869.2
210,4869.1
212,4867.5
212,4867.8
214,4869.1
214,4868.8
216,4868.0
216,4871.9
218,4874.3
218,4877.2
220,4883.2
220,4884.0
222,4885.4
222,4886.8
224,4889.0
224,4885.0
226,4880.4
226,4881.4
228,4877.9
228,4878.3
230,4881.3
230,4880.4
232,4877.0
232,4878.4
234,4881.3
234,4877.4
236,4873.7
236,4871.1
238,4863.4
238,4858.4
240,4857.0
240,4855.0
242,4853.6
242,4857.4
244,4856.5
244,4855.5
246,4860.6
246,4864.1
248,4866.4
248,4865.7
250,4865.2
250,4865.1
252,4870.6
252,4874.1
254,4873.5
254,4872.5
256,4871.6
256,4873.8
258,4873.2
258,4868.9
260,4864.9
260,4862.0
262,4862.0
262,4863.7
264,4861.6
264,4863.8
266,4868.3
266,4873.9
268,4876.2
268,4876.6
270,4874.9
270,4871.8
272,4872.9
272,4868.9
274,4865.5
274,4861.4
276,4862.0
276,4864.1
278,4871.1
278,4876.2
280,4877.1
280,4877.7
282,4878.2
282,4880.8
284,4879.9
284,4876.9
286,4869.2
286,4864.7
288,4862.1
288,4862.9
290,4862.8
290,4858.8
292,5168.0
292,5169.9
294,5171.8
294,5171.0
296,5173.0
296,5174.0
298,5175.8
298,5177.4
300,5179.2
300,5181.8
302,5183.9
302,5187.8
304,5188.2
304,5187.2
306,5181.5
306,5178.2
308,5176.3
308,5175.8
310,5175.8
310,5173.7
312,5176.2
312,5177.2
314,5179.8
314,5181.9
316,5181.0
316,5176.7
318,5175.4
318,5178.5
320,5176.6
320,5176.4
322,5176.7
322,5176.1
324,5176.9
324,5178.5
326,5180.4
326,5178.5
328,5178.4
328,5179.8
330,5180.8
330,5183.7
332,5188.6
332,5188.5
334,5186.7
334,5184.7
336,5182.7
336,5179.6
338,5180.9
338,5179.2
340,5177.0
340,5174.7
342,5173.4
342,5170.4
344,5172.2
344,5170.7
346,5170.5
346,5174.1
348,5176.8
348,5177.8
350,5176.5
350,5180.4
352,5179.1
352,5179.1
354,5175.2
354,5692.0
356,5687.2
356,5686.1
358,5684.4
358,5684.7
360,5687.2
360,5689.9
362,5694.0
362,5696.9
364,5698.6
364,5700.0
366,5702.6
366,5702.8
368,5698.0
368,5695.8
370,5694.7
370,5693.2
372,5695.3
372,5698.4
374,5699.0
374,5698.9
376,5705.5
376,5707.9
378,5708.5
378,5706.7
380,5702.4
380,5696.3
382,5695.3
382,5695.0
384,5694.0
384,5696.2
386,5698.1
386,5703.5
388,5706.8
388,5714.1
390,5714.9
390,5714.1
392,5712.9
392,5710.7
394,5707.5
394,5700.6
396,5700.4
396,5700.5
398,5702.7
398,5701.1
400,5701.9
400,5700.6
402,5699.5
402,5703.8
404,5705.9
404,5702.2
406,5699.8
406,5703.5
408,5703.6
408,5705.9
410,5708.3
410,5709.1
412,5707.6
412,5707.3
414,5705.5
414,5704.9
416,5703.0
416,5703.2
418,5701.4
418,5697.4
420,5696.6
420,5305.6
422,5307.1
422,5176.8
424,5177.2
424,5174.8
426,5174.4
426,5176.1
428,5178.5
428,5177.7
430,5182.3
430,5180.7
432,5180.3
432,5181.4
434,5186.9
434,5188.5
436,5420.9
436,5175.3
438,5171.1
438,5177.1
440,5177.1
440,5416.2
442,5218.6
442,5219.9
444,5219.1
444,5223.2
446,5226.3
446,5225.8
448,5226.5
448,5228.0
450,5229.0
450,5228.6
452,5230.2
452,5224.2
454,5218.5
454,5215.5
456,5217.1
456,5215.6
458,5212.8
458,5214.6
460,5214.5
460,5215.5
462,5219.1
462,5220.0
464,5219.6
464,5220.2
466,5219.4
466,5216.5
468,5213.9
468,5220.5
470,5221.4
470,5221.6
472,5221.2
472,5218.9
474,5222.7
474,5222.6
476,5224.8
476,5220.0
478,5220.4
478,5219.4
480,5218.0
480,5225.8
482,5227.6
482,5226.4
484,5225.9
484,5226.0
486,5226.5
486,5228.4
488,5224.5
488,5217.5
490,5216.5
490,5219.0
492,5220.8
492,5224.2
494,5223.4
494,5221.3
496,5223.1
496,5223.4
498,5220.0
498,5219.0
500,5216.9
500,5212.9
502,5215.5
502,5217.4
504,5222.2
504,5222.9
506,5220.8
506,5215.8
508,5217.0
508,5215.9
510,5210.9
510,5211.8
512,5209.2
512,5206.9
514,5207.5
514,5209.4
516,5206.9
516,5205.2
518,5203.8
518,5197.4
520,5197.1
520,5193.9
522,5198.4
522,5416.6
524,5319.1
524,5321.7
526,5322.3
526,5324.5
