t_sec,mem_available_mb
0,7287.9
1,7287.8
2,7287.7
4,7262.1
4,7262.3
6,7248.8
6,7248.8
8,7248.8
8,7247.2
9,7247.1
10,7246.6
11,7246.8
12,7246.9
13,7246.3
14,7245.8
15,7246.1
16,7265.5
17,7219.0
18,7219.3
19,7227.4
20,7228.4
21,7229.9
22,7231.1
23,7231.3
24,7230.1
25,7228.6
26,7228.2
27,7228.3
28,7227.5
29,7226.0
30,7225.6
31,7225.9
32,7226.1
34,7227.2
34,7228.0
36,7227.5
36,7228.4
38,7229.0
38,7228.9
40,7228.8
40,7228.4
42,7227.6
42,7227.3
44,7228.6
44,7228.0
46,7228.2
46,7227.8
48,7227.5
48,7227.6
50,7228.3
50,7229.0
52,7228.2
52,7227.5
54,7227.1
54,7227.1
56,7226.6
56,7226.8
58,7225.3
58,7224.3
60,7223.9
60,7224.1
62,7225.2
62,7225.4
64,7225.1
64,7225.3
66,7227.0
66,7227.6
68,7226.9
68,7227.0
70,7226.3
70,7226.7
72,7227.2
72,7228.0
74,7228.2
74,7228.5
76,7228.6
76,7227.8
78,7227.2
78,7226.4
80,7226.5
80,7225.8
82,7224.3
82,7223.1
84,7223.4
84,7224.1
86,7224.1
86,7224.8
88,7224.6
88,7223.8
90,7224.1
90,7223.6
92,7223.3
92,7223.2
94,7223.4
94,7223.7
96,7224.4
96,7225.2
98,7225.9
98,7227.1
100,7227.7
100,7227.9
102,7228.1
102,7227.0
104,7226.1
104,7225.5
106,7225.6
106,7225.2
108,7225.3
108,7225.4
110,7225.4
110,7225.8
112,7226.8
112,7226.7
114,7226.4
114,7227.7
116,7227.6
116,7228.3
118,7227.7
118,7227.7
120,7226.6
120,7226.5
122,7226.6
122,7224.4
124,7224.1
124,7224.1
126,7224.3
126,7225.0
128,7225.9
128,7226.5
130,7226.5
130,7227.8
132,7227.7
132,7228.4
134,7229.5
134,7229.3
136,7228.8
136,7228.9
138,7229.5
138,7230.0
140,7231.0
140,7230.4
142,7229.7
142,7229.3
144,7229.0
144,7228.9
146,7228.6
146,7227.7
148,7227.4
148,7226.8
150,7225.9
150,7225.2
152,7225.3
152,7225.7
154,7225.0
154,7224.2
156,7223.4
156,7223.4
158,7223.8
158,7224.3
160,7223.9
160,7222.9
162,7223.3
162,7224.1
164,7224.5
164,7224.1
166,7223.7
166,7224.0
168,7225.0
168,7226.1
170,7226.4
170,7227.0
172,7226.8
172,7227.5
174,7228.6
174,7228.6
176,7228.5
176,7227.7
178,7228.3
178,7228.6
180,7228.9
180,7229.1
182,7228.2
182,7228.5
184,7228.8
184,7228.9
186,7227.3
186,7226.4
188,7226.3
188,7225.7
190,7225.7
