t_sec,mem_available_mb
0,6900.6
1,6900.5
2,6900.6
4,6879.1
4,6860.2
6,6889.8
6,6889.6
8,6890.0
8,6889.8
9,6889.4
10,6889.4
11,6889.1
12,6888.6
13,6888.4
14,6888.8
15,6888.8
16,6888.9
17,6889.4
18,6889.2
19,6884.0
20,6884.0
21,6884.2
22,6884.0
23,6884.3
24,6884.1
25,6883.9
26,6884.3
27,6884.3
28,6884.7
29,6885.1
30,6885.4
31,6889.6
32,6890.1
34,6890.3
34,6889.9
36,6889.9
36,6889.4
38,6941.5
38,6937.3
40,6936.7
40,6936.7
42,6937.4
42,6937.6
44,6937.6
44,6938.0
46,6938.2
46,6938.1
48,6846.0
48,6845.7
50,6845.0
50,6844.9
52,6844.6
52,6844.4
54,6844.6
54,6845.1
56,6845.0
56,6845.0
58,6844.9
58,6845.1
60,6845.6
60,6887.8
62,6887.6
62,6887.1
64,6886.7
64,6887.0
66,6887.0
66,6886.8
68,6886.3
68,6886.3
70,6886.9
70,6886.8
72,6887.1
72,6886.5
74,6886.6
74,6886.6
76,6887.2
76,6887.0
78,6886.9
78,6887.0
80,6886.8
80,6886.5
82,6886.0
82,6886.1
84,6885.8
84,6885.0
86,6809.0
86,6808.9
88,6809.3
88,6809.9
90,6810.5
90,6810.5
92,6810.4
92,6811.1
94,6811.3
94,6811.5
96,6811.8
96,6811.7
98,6845.2
98,6844.5
100,6844.7
100,6844.6
102,6844.2
102,6844.2
104,6844.0
104,6844.1
106,6844.6
106,6845.0
108,6845.1
108,6845.0
110,6845.5
110,6846.0
112,6845.9
112,6814.4
114,6814.5
114,6814.5
116,6814.5
116,6814.5
118,6813.9
118,6813.5
120,6813.5
120,6813.3
122,6813.1
122,6812.8
124,6812.7
124,6812.6
126,6813.1
126,6813.2
128,6812.8
128,6812.5
130,6812.4
130,6812.0
132,6811.9
132,6822.7
134,6837.7
134,6852.7
136,6900.5
136,6915.0
138,6928.2
138,6941.7
140,6953.9
140,6964.0
142,6973.2
142,6981.5
144,6988.4
144,6994.5
146,6999.6
146,7002.3
148,7003.3
148,7003.4
150,7002.5
150,6999.1
152,6994.7
152,6988.4
154,6980.5
154,6861.5
156,6851.5
156,6840.5
158,6828.3
158,6816.1
160,6802.1
160,6787.9
162,6773.2
162,6758.2
164,6743.0
164,6735.6
166,6735.7
166,6735.1
168,6735.4
168,6785.1
170,6785.6
170,6786.1
172,6786.2
172,6786.1
174,6786.2
174,6786.3
176,6786.2
176,6786.0
178,6785.7
178,6785.3
180,6785.2
180,6785.0
182,6784.4
182,6784.0
184,6784.2
184,6784.4
186,6784.6
186,6783.9
188,6784.3
188,6784.6
190,6785.1
190,6785.8
192,6786.1
192,6785.9
194,6785.5
194,6785.9
196,6697.1
196,6697.5
198,6697.2
198,6696.4
200,6696.0
200,6696.4
202,6696.5
202,6696.4
204,6696.6
204,6696.4
206,6696.7
206,6737.1
208,6737.1
208,6736.4
210,6736.3
210,6736.2
212,6736.5
212,6736.0
214,6735.7
214,6735.7
216,6736.0
216,6736.9
218,6736.9
218,6805.4
220,6804.9
220,6805.6
222,6806.1
222,6690.0
224,6690.2
224,6689.9
226,6689.9
226,6689.8
228,6690.0
228,6689.9
230,6744.6
230,6744.8
232,6744.8
232,6744.8
234,6745.2
234,6745.5
236,6745.1
236,6745.0
238,6745.6
238,6745.9
240,6745.8
240,6796.6
242,6796.3
242,6796.1
244,6796.6
244,6796.5
246,6796.1
246,6795.6
248,6795.2
248,6795.6
250,6795.7
250,6795.9
252,6795.3
252,6795.2
254,6795.5
254,6795.0
256,6795.1
256,6794.7
258,6794.3
258,6794.6
260,6795.2
260,6795.6
262,6795.6
262,6796.0
264,6796.3
264,6796.5
266,6796.8
266,6796.4
268,6796.3
268,6796.8
270,6796.7
270,6796.8
272,6796.6
272,6796.4
274,6796.6
274,6797.2
276,6797.2
276,6796.6
278,6796.6
278,6796.3
280,6796.4
280,6796.3
282,6796.2
282,6796.2
284,6796.8
284,6797.0
286,6797.0
286,6797.2
288,6796.6
288,6656.8
290,6657.0
290,6657.3
292,6656.5
292,6656.4
294,6656.0
294,6719.0
296,6719.7
296,6719.4
298,6719.2
298,6718.1
300,6718.3
300,6718.4
302,6718.7
302,6719.2
304,6719.3
304,6720.0
306,6719.7
306,6719.8
308,6720.0
308,6720.0
310,6719.9
310,6719.6
312,6719.2
312,6718.4
314,6718.7
314,6718.9
316,6759.0
316,6758.6
318,6758.4
318,6758.0
320,6757.6
320,6757.5
322,6757.5
322,6757.9
324,6758.0
324,6758.1
326,6758.3
326,6758.2
328,6758.3
328,6758.6
