t_sec,mem_available_mb
0,7412.6
1,7412.5
2,7412.6
4,7391.1
4,7372.2
6,7401.8
6,7401.6
8,7402.0
8,7401.8
9,7401.4
10,7401.4
11,7401.1
12,7400.6
13,7400.4
14,7400.8
15,7400.8
16,7400.9
17,7401.4
18,7401.2
19,7396.0
20,7396.0
21,7396.2
22,7396.0
23,7396.3
24,7396.1
25,7395.9
26,7396.3
27,7396.3
28,7396.7
29,7397.1
30,7397.4
31,7401.6
32,7402.1
34,7402.3
34,7401.9
36,7401.9
36,7401.4
38,7453.5
38,7449.3
40,7448.7
40,7448.7
42,7449.4
42,7449.6
44,7449.6
44,7450.0
46,7450.2
46,7450.1
48,7358.0
48,7357.7
50,7357.0
50,7356.9
52,7356.6
52,7356.4
54,7356.6
54,7357.1
56,7357.0
56,7357.0
58,7356.9
58,7357.1
60,7357.6
60,7399.8
62,7399.6
62,7399.1
64,7398.7
64,7399.0
66,7399.0
66,7398.8
68,7398.3
68,7398.3
70,7398.9
70,7398.8
72,7399.1
72,7398.5
74,7398.6
74,7398.6
76,7399.2
76,7399.0
78,7398.9
78,7399.0
80,7398.8
80,7398.5
82,7398.0
82,7398.1
84,7397.8
84,7397.0
86,7321.0
86,7320.9
88,7321.3
88,7321.9
90,7322.5
90,7322.5
92,7322.4
92,7323.1
94,7323.3
94,7323.5
96,7323.8
96,7323.7
98,7357.2
98,7356.5
100,7356.7
100,7356.6
102,7356.2
102,7356.2
104,7356.0
104,7356.1
106,7356.6
106,7357.0
108,7357.1
108,7357.0
110,7357.5
110,7358.0
112,7357.9
112,7326.4
114,7326.5
114,7326.5
116,7326.5
116,7326.5
118,7325.9
118,7325.5
120,7325.5
120,7325.3
122,7325.1
122,7324.8
124,7324.7
124,7324.6
126,7325.1
126,7325.2
128,7324.8
128,7324.5
130,7324.4
130,7324.0
132,7323.9
132,7334.7
134,7349.7
134,7364.7
136,7412.5
136,7427.0
138,7440.2
138,7453.7
140,7465.9
140,7476.0
142,7485.2
142,7493.5
144,7500.4
144,7506.5
146,7511.6
146,7514.3
148,7515.3
148,7515.4
150,7514.5
150,7511.1
152,7506.7
152,7500.4
154,7492.5
154,7373.5
156,7363.5
156,7352.5
158,7340.3
158,7328.1
160,7314.1
160,7299.9
162,7285.2
162,7270.2
164,7255.0
164,7247.6
166,7247.7
166,7247.1
168,7247.4
168,7297.1
170,7297.6
170,7298.1
172,7298.2
172,7298.1
174,7298.2
174,7298.3
176,7298.2
176,7298.0
178,7297.7
178,7297.3
180,7297.2
180,7297.0
182,7296.4
182,7296.0
184,7296.2
184,7296.4
186,7296.6
186,7295.9
188,7296.3
188,7296.6
190,7297.1
190,7297.8
192,7298.1
192,7297.9
194,7297.5
194,7297.9
196,7209.1
196,7209.5
198,7209.2
198,7208.4
200,7208.0
200,7208.4
202,7208.5
202,7208.4
204,7208.6
204,7208.4
206,7208.7
206,7249.1
208,7249.1
208,7248.4
210,7248.3
210,7248.2
212,7248.5
212,7248.0
214,7247.7
214,7247.7
216,7248.0
216,7248.9
218,7248.9
218,7317.4
220,7316.9
220,7317.6
222,7318.1
222,7202.0
224,7202.2
224,7201.9
226,7201.9
226,7201.8
228,7202.0
228,7201.9
230,7256.6
230,7256.8
232,7256.8
232,7256.8
234,7257.2
234,7257.5
236,7257.1
236,7257.0
238,7257.6
238,7257.9
240,7257.8
240,7308.6
242,7308.3
242,7308.1
244,7308.6
244,7308.5
246,7308.1
246,7307.6
248,7307.2
248,7307.6
250,7307.7
250,7307.9
252,7307.3
252,7307.2
254,7307.5
254,7307.0
256,7307.1
256,7306.7
258,7306.3
258,7306.6
260,7307.2
260,7307.6
262,7307.6
262,7308.0
264,7308.3
264,7308.5
266,7308.8
266,7308.4
268,7308.3
268,7308.8
270,7308.7
270,7308.8
272,7308.6
272,7308.4
274,7308.6
274,7309.2
276,7309.2
276,7308.6
278,7308.6
278,7308.3
280,7308.4
280,7308.3
282,7308.2
282,7308.2
284,7308.8
284,7309.0
286,7309.0
286,7309.2
288,7308.6
288,7168.8
290,7169.0
290,7169.3
292,7168.5
292,7168.4
294,7168.0
294,7231.0
296,7231.7
296,7231.4
298,7231.2
298,7230.1
300,7230.3
300,7230.4
302,7230.7
302,7231.2
304,7231.3
304,7232.0
306,7231.7
306,7231.8
